Feature	Gain	Cover	Frequency
NE.CON.PRVT.PC.KD	0.204401451117683	0.00331700407247831	0.00203329520904816
SP.URB.TOTL.IN.ZS_rank	0.194555032759169	0.00131421039170552	0.000508323802262041
SP.URB.TOTL.IN.ZS	0.172593196449424	0.000963229652363808	0.000508323802262041
SP.RUR.TOTL.ZS	0.149481850573993	0.00321155246020972	0.00152497140678612
SP.RUR.TOTL.ZS_rank	0.0516349253723059	0.000604379389718468	0.00025416190113102
EN.URB.LCTY_lag3	0.0181089994118602	0.000402132640815283	0.000381242851696531
SH.DTH.MORT_lag4	0.0178651230866339	0.000253398650376753	0.00025416190113102
EN.URB.LCTY_lag4	0.0147804982176715	0.000403706545476008	0.000381242851696531
SH.DTH.MORT_lag3	0.0141422140515674	0.00013378189616164	0.00012708095056551
NY.GDP.PCAP.KD	0.0127370849929668	0.0013692970548309	0.000508323802262041
NY.GDP.PCAP.KD_rank	0.00961969455587792	0.00096086879537272	0.000381242851696531
NY.GDP.PCAP.KD_lag4	0.00910027797659759	0.000134568848492003	0.00012708095056551
EN.GHG.N2O.PI.MT.CE.AR5_max2	0.00759057119111735	0.000326585217100474	0.000381242851696531
BG.GSR.NFSV.GD.ZS_lag1	0.0059369051359755	0.000269137696984005	0.00025416190113102
SP.POP.5054.MA.5Y_delta2	0.0057902224075219	0.000113321135572213	0.00025416190113102
NY.GDP.DEFL.ZS_lag1	0.0055688090056161	6.37431387593697e-05	0.00012708095056551
BG.GSR.NFSV.GD.ZS_max2	0.00543428916756609	0.000268350744653643	0.00025416190113102
SP.POP.2024.FE.5Y_rank	0.0041880299693115	0.00205394558224636	0.000762485703393061
TX.VAL.MRCH.WR.ZS_lag2	0.00330417807275513	0.000299828837868146	0.000508323802262041
SH.IMM.IDPT_lag1	0.00324320495640075	0.000332880835743375	0.00025416190113102
SH.IMM.IDPT	0.00286931229598006	0.000591001200102304	0.000508323802262041
EN.GHG.N2O.PI.MT.CE.AR5	0.00244589575248767	0.000293533219225245	0.000381242851696531
NY.GDP.DEFL.ZS	0.00243988839588605	0.00528438489838478	0.00343118566526878
EG.ELC.FOSL.ZS_lag3	0.00239875737897627	5.66605677861064e-05	0.00012708095056551
SP.POP.2024.MA.5Y_lag1	0.00233511391644833	0.0013692970548309	0.000508323802262041
NY.GDP.DEFL.ZS_lag2	0.00230698293204032	0.000632709673611521	0.000635404752827551
EN.GHG.CH4.WA.MT.CE.AR5_lag2	0.00217668837562279	9.3647327313148e-05	0.00025416190113102
SP.DYN.LE00.FE.IN_lag1	0.00217582475332743	0.000244742174742765	0.00025416190113102
BG.GSR.NFSV.GD.ZS_min2	0.00208797253273954	0.000178638178992308	0.00025416190113102
EG.ELC.PETR.ZS_lag3	0.00207893201376597	7.63343760451711e-05	0.00012708095056551
SP.ADO.TFRT_lag4	0.00186713599189029	0.00109622459619509	0.000635404752827551
NY.ADJ.DMIN.CD_lag2	0.001835373534788	8.97125656613351e-05	0.00025416190113102
YearsSinceFirst_lag1	0.00182996776163388	5.82344724468315e-05	0.00012708095056551
BG.GSR.NFSV.GD.ZS_avg2	0.00166911356826807	0.000247889984064215	0.00025416190113102
NE.CON.PRVT.PC.KD_max2	0.00165708669226689	0.000339963406716638	0.000508323802262041
NE.EXP.GNFS.ZS_rank	0.00159097005767218	0.000253398650376753	0.000381242851696531
AG.LND.AGRI.K2_min2	0.00158453916053202	0.000289598457573433	0.000381242851696531
AG.CON.FERT.ZS_lag4	0.00156568147870619	0.00053512758464656	0.00025416190113102
SH.DYN.NMRT_lag2	0.0013333073752012	0.000454071494619214	0.000381242851696531
TX.VAL.MRCH.OR.ZS_lag1	0.0012993075168161	5.66605677861064e-05	0.00012708095056551
FP.CPI.TOTL_rank	0.00128753098273827	8.0269137696984e-05	0.00025416190113102
SP.DYN.TO65.FE.ZS_lag4	0.00128382327067042	0.000120403706545476	0.00025416190113102
SP.POP.2529.FE.5Y_delta1	0.00123472561823265	5.42997107950186e-05	0.00012708095056551
SH.MMR.RISK_lag4	0.00121648042494146	0.000207755415215723	0.00012708095056551
NY.GDP.DEFL.ZS_lag3	0.00116150179618906	0.000308485313502135	0.000635404752827551
SM.POP.RHCR.EA_lag1	0.00113730486443105	7.23996143933581e-05	0.00025416190113102
EN.GHG.CO2.PC.CE.AR5_lag2	0.00112628027447676	0.000107812469259675	0.00025416190113102
SE.SEC.ENRL_delta2	0.00103205593153094	0.000236872651439139	0.000635404752827551
NY.ADJ.AEDU.GN.ZS_delta2	0.00103020532961132	0.000250250841055303	0.000381242851696531
TX.VAL.MRCH.RS.ZS	0.00101212589661699	0.0013378189616164	0.000635404752827551
SP.DYN.AMRT.FE_lag4	0.000959021058493047	0.000380884927895493	0.00025416190113102
SP.POP.5054.FE.5Y_lag2	0.000894026181744879	0.00171240827086899	0.000762485703393061
EN.URB.LCTY_tend2	0.00085780385902219	7.23996143933581e-05	0.00012708095056551
NE.RSB.GNFS.ZS_rank	0.000782727043567152	8.26299946880718e-05	0.00012708095056551
EN.URB.LCTY_delta1	0.000761606280813047	9.52212319738732e-05	0.00025416190113102
FP.CPI.TOTL	0.000727492487147696	0.00654508253162565	0.00470199517092388
