Feature	Gain	Cover	Frequency
NE.CON.PRVT.PC.KD	0.3346569401369	0.0053995801071867	0.00552740672501152
SP.RUR.TOTL.ZS_rank	0.22118995100058	0.00322633295845565	0.00138185168125288
NY.GDP.PCAP.KD	0.152313987278707	0.0145240879404906	0.0064486411791801
EN.URB.LCTY_lag4	0.0635342571169769	0.00166794482814131	0.00184246890833717
EN.URB.LCTY_lag3	0.0480595348725727	0.00432189993672542	0.00460617227084293
SP.POP.2024.FE.5Y_rank	0.0126876305305924	0.0150562204727931	0.0064486411791801
SH.IMM.IDPT_rank	0.0113296733130462	0.00407372047838267	0.00322432058959005
EG.ELC.PETR.ZS_lag3	0.00843023528303907	0.000491887214733364	0.000921234454168586
NY.GDP.DEFL.ZS_lag4	0.00831048575485257	0.00106873676655704	0.00184246890833717
NY.GDP.DEFL.ZS_lag1	0.0077783881426029	0.000375622963978205	0.000921234454168586
NY.GDP.DEFL.ZS_lag2	0.00772171213910207	0.000798198798453686	0.00184246890833717
TX.VAL.MRCH.WR.ZS_lag2	0.0061380915649206	0.00146895409127191	0.00184246890833717
FP.CPI.TOTL_rank	0.00480810681017739	0.000169924674180617	0.000460617227084293
FP.CPI.TOTL_lag2	0.00371174520950259	0.00104637825679643	0.00138185168125288
PA.NUS.ATLS_lag1	0.00334390433839782	0.000223585097606074	0.000921234454168586
TX.VAL.MRCH.HI.ZS_lag3	0.0032444171611974	0.000169924674180617	0.000460617227084293
MS.MIL.XPND.GD.ZS_lag4	0.00314832156430406	0.000476236257900938	0.000921234454168586
EG.ELC.PETR.ZS_lag4	0.00308791733794197	0.000248179458342743	0.000460617227084293
AG.PRD.CROP.XD_rank	0.00299402657364156	0.000245943607366682	0.000921234454168586
SM.POP.RHCR.EO_lag4	0.00285198649262652	0.00318608764088656	0.00230308613542146
SH.DTH.MORT_lag4	0.00266109257363181	0.00195636960405315	0.00230308613542146
NY.GDP.DEFL.ZS_lag3	0.00255972384438858	0.000187811481989102	0.000460617227084293
SM.POP.RHCR.EO_lag3	0.002432291999975	0.00112239718998249	0.000921234454168586
SP.POP.2529.FE.5Y_delta1	0.00207903905415487	0.00603456178438795	0.00460617227084293
EN.GHG.N2O.PI.MT.CE.AR5_max2	0.00188754961761981	0.000885396986520055	0.000921234454168586
SE.ENR.PRIM.FM.ZS_lag1	0.00187353103306444	0.000489651363757303	0.00184246890833717
TM.VAL.MANF.ZS.UN	0.00186641165845289	0.00239459639536106	0.00138185168125288
