Feature	Gain	Cover	Frequency
NE.CON.PRVT.PC.KD	0.37064688859559	0.0039346047851227	0.00215393452039058
urbanization_gdp_interaction	0.1736896502276	0.00237392086199461	0.00114876507754164
SP.RUR.TOTL.ZS_rank	0.10387645941874	0.000397480975738127	0.000143595634692705
SP.URB.TOTL.IN.ZS	0.0516099598711084	0.000718207004437167	0.000287191269385411
EN.URB.LCTY_lag3	0.0471331622099227	0.00123447539821198	0.00114876507754164
SP.URB.TOTL.IN.ZS_rank	0.03244792321952	0.000701759515785934	0.000287191269385411
urbanization_rate_rank	0.0205218284992474	0.000397480975738127	0.000143595634692705
maternal_child_health_index_lag4	0.0173914315409985	0.000301537291939269	0.000287191269385411
SP.RUR.TOTL.ZS	0.0165447974476131	0.00101608929889838	0.000574382538770821
NY.GDP.PCAP.KD	0.0127353976532854	0.00147844647987193	0.000574382538770821
EN.URB.LCTY_lag4	0.0121461607417728	0.000307019788156346	0.000287191269385411
urbanization_gdp_interaction_rank	0.0104562921464343	0.000397480975738127	0.000143595634692705
EN.GHG.N2O.PI.MT.CE.AR5_max2	0.00791141221880396	0.000276866058962419	0.000430786904078116
SH.DTH.NMRT_delta1	0.00709954374717835	0.000562869611619968	0.000430786904078116
SH.DTH.IMRT_lag4	0.00549630730505885	0.000155337392817199	0.000143595634692705
immunization_coverage	0.00473775975226491	0.000644193305506619	0.000430786904078116
SP.POP.2024.FE.5Y_rank	0.00471570973570428	0.00198740487869063	0.000717978173463527
SP.POP.5054.MA.5Y_delta2	0.00448983442065092	9.04611875817806e-05	0.000143595634692705
NY.GDP.PCAP.KD_rank	0.00394922381226235	0.000794961951476254	0.000287191269385411
NY.GDP.DEFL.ZS	0.00385502506389722	0.00202121360536261	0.00157955198161976
EG.ELC.PETR.ZS_lag2	0.00348744288310125	0.000112391172450091	0.000287191269385411
NY.GDP.DEFL.ZS_lag1	0.00343065727919235	0.000934765605011732	0.000861573808156232
mortality_gender_gap_lag3	0.00317118316821261	0.000216558600574566	0.000430786904078116
SP.POP.1014.MA.5Y_delta3	0.00303007209396316	0.000179094876424535	0.000287191269385411
EG.ELC.PETR.ZS_avg2	0.00239023951838112	8.68061901037288e-05	0.000143595634692705
NY.GDP.DEFL.ZS_lag2	0.00226057274857756	0.000508044649449192	0.000717978173463527
FP.CPI.TOTL_rank	0.00212231589139987	0.00024579858039898	0.000430786904078116
SP.POP.0509.MA.5Y_lag4	0.00209054979432301	0.000463270930343058	0.000287191269385411
