Feature	Gain	Cover	Frequency
SP.URB.TOTL.IN.ZS	0.258274926270121	0.00376173817900754	0.00151158884783339
NE.CON.PRVT.PC.KD	0.234920100909535	0.00432888482907806	0.00285522337924085
urbanization_gdp_interaction	0.205829721845708	0.00129364645182014	0.000839771582129661
SP.RUR.TOTL.ZS	0.0820931840867787	0.00281314776428783	0.00117568021498153
EN.URB.LCTY_lag3	0.0488485942036517	0.00149189682949966	0.00117568021498153
EN.URB.LCTY_lag4	0.0356062350264662	0.00126729671807793	0.00100772589855559
NY.GDP.PCAP.KD	0.0159711499243206	0.00547070662457401	0.00184749748068525
NY.GDP.PCAP.KD_rank	0.00979820257034882	0.00220584913899108	0.000839771582129661
NY.GDP.DEFL.ZS_lag1	0.00756306906725941	0.000382698513875017	0.000671817265703729
TX.VAL.MRCH.WR.ZS_lag2	0.0053034068913594	0.000470530959682398	0.000671817265703729
SH.DTH.MORT_lag4	0.00494658904355533	0.000503154439553711	0.000503862949277796
immunization_coverage	0.00455401620963656	0.000368896272391	0.000335908632851864
TX.VAL.MRCH.WR.ZS	0.00438250247987655	0.00202014625356976	0.00134363453140746
SP.POP.5054.MA.5Y_delta2	0.0043025212149917	9.03419442590204e-05	0.000167954316425932
FM.AST.DOMS.CN_lag4	0.00361077156472301	9.15966934848401e-05	0.000167954316425932
SP.POP.2529.MA.5Y_delta1	0.00343618711466308	0.000116691678001235	0.000167954316425932
EG.ELC.PETR.ZS_lag2	0.0026485069083346	0.000120455925678694	0.000167954316425932
urbanization_change_lag4	0.00218874212357315	0.000222090612970092	0.000335908632851864
SP.POP.0509.MA.5Y_lag4	0.00214152199343786	0.000331253795616408	0.000167954316425932
TX.VAL.MRCH.OR.ZS_lag3	0.00210356231364233	9.28514427106598e-05	0.000167954316425932
SH.DTH.NMRT_delta1	0.00204349881490058	0.000337527541745507	0.000671817265703729
SH.DYN.NMRT_lag3	0.00193628884965815	0.000193231380776238	0.000335908632851864
mortality_gender_gap_lag4	0.00189668759658262	0.000269771083551241	0.000503862949277796
immunization_coverage_rank	0.00174534508015139	0.000332508544842228	0.000167954316425932
NY.ADJ.DKAP.GN.ZS_lag4	0.00171241192586431	0.000292356569615997	0.000335908632851864
SP.POP.2529.FE.5Y_delta1	0.00170053673849362	0.000170645894711483	0.000335908632851864
TX.VAL.MRCH.WR.ZS_lag3	0.00167562931339941	0.000259733089744684	0.000335908632851864
TX.VAL.MRCH.WR.ZS_lag1	0.00162902869931498	0.000262242588196323	0.000503862949277796
SP.POP.2024.FE.5Y_rank	0.00157372891325375	0.00272907956615791	0.000839771582129661
FI.RES.TOTL.MO_lag1	0.00151373876275734	0.000165626897808204	0.000335908632851864
NY.GDP.FRST.RT.ZS_lag4	0.00144094503221445	0.00193858755389148	0.000839771582129661
reserves_adequacy	0.00133245222569299	0.000100379938065578	0.000335908632851864
FM.AST.DOMS.CN	0.00132820524201815	0.00658868818477939	0.00285522337924085
BM.GSR.TRVL.ZS_lag2	0.00131328559517166	8.40681981299218e-05	0.000167954316425932
SH.IMM.IDPT_rank	0.00129584826333424	0.000366386773939361	0.000335908632851864
EN.GHG.CO2.PC.CE.AR5_lag2	0.00127158923769797	0.000110417931872136	0.000167954316425932
TM.VAL.MANF.ZS.UN_lag4	0.00119801795016871	9.28514427106598e-05	0.000167954316425932
SH.MMR.RISK_lag4	0.000988798802125398	0.000332508544842228	0.000167954316425932
SP.URB.TOTL_delta2	0.000911273303664224	0.000114182179549595	0.000167954316425932
EN.GHG.CH4.WA.MT.CE.AR5_lag4	0.000895939572270371	0.000245930848260667	0.000335908632851864
SP.POP.1564.FE.ZS_lag1	0.000893203661293589	0.00243797774576773	0.00100772589855559
SP.POP.5054.FE.5Y_lag3	0.000871594061178644	0.000651214848200439	0.000335908632851864
SM.POP.RHCR.EO_lag4	0.000871454299302897	0.000343801287874605	0.000335908632851864
SP.POP.2024.MA.5Y_lag1	0.000803884140304539	0.00226984134950789	0.000839771582129661
EN.GHG.CH4.WA.MT.CE.AR5_lag2	0.000792512848546698	0.000107908433420497	0.000167954316425932
SP.POP.0014.TO_lag4	0.000792360664179115	0.000247185597486486	0.000335908632851864
BG.GSR.NFSV.GD.ZS_lag3	0.000725129277062025	0.000127984421033612	0.000167954316425932
SP.POP.1564.FE.ZS	0.00068104676484811	0.000205778873034435	0.000335908632851864
NY.GDP.DEFL.ZS_lag4	0.000675836877669681	0.000850719975105775	0.00117568021498153
SH.MMR.DTHS_lag4	0.000670120333242264	0.000200759876131156	0.000167954316425932
SE.TER.ENRR_lag4	0.000614590745351695	0.00657237644484373	0.00251931474638898
AG.CON.FERT.ZS_lag3	0.000588608910200225	0.000496880693424612	0.000335908632851864
FM.AST.NFRG.CN	0.000570961813087031	0.00138398839607916	0.00117568021498153
