Feature	Gain	Cover	Frequency
NE.CON.PRVT.PC.KD	0.264972827494007	0.0544292237442922	0.0364372469635628
urbanization_gdp_interaction	0.21622333511067	0.0292846270928463	0.00809716599190283
NY.GDP.PCAP.KD	0.137501882775384	0.104992389649924	0.0323886639676113
SP.RUR.TOTL.ZS_rank	0.12005658880793	0.0292846270928463	0.00809716599190283
EN.URB.LCTY_lag4	0.0697471072211672	0.0224961948249619	0.0161943319838057
EN.URB.LCTY_lag3	0.0497121136007059	0.0588432267884323	0.0404858299595142
SH.IMM.IDPT_rank	0.0128514162659547	0.0360730593607306	0.0161943319838057
NY.GDP.DEFL.ZS_lag1	0.0112768791458393	0.0103805175038052	0.0161943319838057
EG.ELC.PETR.ZS_lag3	0.00890969179061588	0.00660578386605784	0.00809716599190283
NY.GDP.DEFL.ZS_lag4	0.0083683178154231	0.00487062404870624	0.00809716599190283
NY.GDP.DEFL.ZS_lag2	0.00812932527862864	0.00487062404870624	0.00809716599190283
TX.VAL.MRCH.WR.ZS_lag2	0.00719912207085339	0.00958904109589041	0.0121457489878543
FP.CPI.TOTL_rank	0.00519144677935488	0.00231354642313546	0.00404858299595142
PA.NUS.ATLS_lag1	0.00361050660756967	0.0030441400304414	0.00809716599190283
MS.MIL.XPND.GD.ZS_lag4	0.00343612958516502	0.00794520547945206	0.0121457489878543
NY.GDP.DEFL.ZS_lag3	0.00336391456665431	0.00255707762557078	0.00404858299595142
AG.PRD.CROP.XD_rank	0.00333597769568918	0.0032572298325723	0.00809716599190283
SM.POP.RHCR.EO_lag4	0.00295266880139746	0.0308980213089802	0.0161943319838057
immunization_coverage_lag3	0.00284593391151084	0.0177777777777778	0.00809716599190283
EG.ELC.PETR.ZS_lag4	0.00275615208198297	0.00337899543378995	0.00404858299595142
SM.POP.RHCR.EO_lag3	0.00262850283518534	0.0152815829528158	0.00809716599190283
FP.CPI.TOTL_lag2	0.00234069817671937	0.00255707762557078	0.00404858299595142
SP.DYN.AMRT.FE	0.00228055436698344	0.034337899543379	0.0202429149797571
NY.GDP.DEFL.ZS	0.00197224900384954	0.00511415525114155	0.00809716599190283
SE.ENR.PRIM.FM.ZS_lag1	0.00191288196713562	0.00322678843226788	0.00809716599190283
TM.VAL.MRCH.RS.ZS_lag3	0.00177773346925356	0.0026179604261796	0.00404858299595142
SE.ENR.PRIM.FM.ZS_lag2	0.00168941673401395	0.0013089802130898	0.00404858299595142
FM.AST.DOMS.CN_lag4	0.00165848971355349	0.00468797564687976	0.0121457489878543
mortality_gender_gap_lag4	0.00161937162085275	0.00255707762557078	0.00404858299595142
EN.URB.LCTY_delta3	0.00155894165898474	0.00526636225266362	0.00809716599190283
SP.ADO.TFRT_lag4	0.00155878396147903	0.00167427701674277	0.00404858299595142
EN.GHG.CH4.WA.MT.CE.AR5_lag3	0.00153509575403596	0.00511415525114155	0.00809716599190283
SP.POP.0014.MA.IN_lag4	0.00150949741675383	0.00167427701674277	0.00404858299595142
ER.FSH.AQUA.MT_min2	0.00140008450389136	0.00328767123287671	0.00404858299595142
SM.POP.RHCR.EA_delta3	0.00139906242042437	0.00176560121765601	0.00404858299595142
FP.CPI.TOTL_min2	0.00137702769389002	0.00255707762557078	0.00404858299595142
ER.FSH.AQUA.MT_rank	0.00125984745575329	0.0034703196347032	0.00404858299595142
SP.URB.TOTL_delta3	0.0012509704629975	0.00167427701674277	0.00404858299595142
SP.POP.1564.FE.ZS_lag4	0.00120948306072489	0.00328767123287671	0.00404858299595142
SP.DYN.TFRT.IN_delta1	0.001202212546228	0.00188736681887367	0.00404858299595142
FI.RES.TOTL.MO_min2	0.00118918705621248	0.00894977168949772	0.00404858299595142
FS.AST.CGOV.GD.ZS_lag4	0.00118719657353577	0.026027397260274	0.0121457489878543
SP.POP.2529.FE.5Y_delta1	0.00111158900770959	0.0034703196347032	0.00404858299595142
SP.DYN.TO65.FE.ZS	0.00108538813916598	0.0250837138508371	0.0161943319838057
EN.POP.DNST_delta2	0.00101557439541862	0.00496194824961948	0.00809716599190283
TX.VAL.MANF.ZS.UN	0.000902679034537841	0.00133942161339422	0.00404858299595142
SP.POP.6064.FE.5Y_delta2	0.000893135732218271	0.0034703196347032	0.00404858299595142
SM.POP.RHCR.EO_lag2	0.000853485222425135	0.00764079147640792	0.00404858299595142
SP.URB.GROW_lag3	0.000821414952897641	0.00149162861491629	0.00404858299595142
urbanization_gdp_interaction_delta3	0.000772678382562334	0.0174124809741248	0.00809716599190283
FI.RES.TOTL.MO_lag2	0.000730144947164864	0.00176560121765601	0.00404858299595142
TM.VAL.MMTL.ZS.UN_lag1	0.00072111719883317	0.00121765601217656	0.00404858299595142
EN.GHG.CH4.WA.MT.CE.AR5_lag4	0.000670636179383813	0.00243531202435312	0.00404858299595142
immunization_coverage_rank	0.000600493416409827	0.00879756468797565	0.00404858299595142
PA.NUS.ATLS_lag2	0.000534207300396094	0.00133942161339422	0.00404858299595142
BM.GSR.TRAN.ZS_lag2	0.000531028822129724	0.00136986301369863	0.00404858299595142
NV.IND.MANF.ZS	0.000465893678079948	0.0013089802130898	0.00404858299595142
FM.AST.NFRG.CN	0.000429208438918033	0.0265144596651446	0.0161943319838057
IT.CEL.SETS.P2_lag4	0.0004206145033506	0.00410958904109589	0.00809716599190283
SE.PRM.ENRL.FE.ZS	0.000412944339784685	0.00188736681887367	0.00404858299595142
SE.SEC.ENRL.GC.FE.ZS_delta2	0.000380967352439131	0.00127853881278539	0.00404858299595142
AG.LND.AGRI.K2_delta2	0.000371313687897796	0.00907153729071537	0.00809716599190283
SP.DYN.AMRT.MA	0.000365693631677677	0.00663622526636225	0.00404858299595142
BX.KLT.DINV.WD.GD.ZS_avg2	0.000342666932296922	0.00286149162861492	0.00404858299595142
