Feature	Gain	Cover	Frequency
NE.CON.PRVT.PC.KD	0.217747541975391	0.0004314143151427	0.000287067604420841
NY.GDP.PCAP.KD	0.1900815607803	0.00142981388866868	0.000861202813262523
SP.URB.TOTL.IN.ZS	0.187072716270091	0.000749661359868473	0.000430601406631262
SP.RUR.TOTL.ZS_rank	0.17955068240511	0.000685322607144129	0.000430601406631262
EN.URB.LCTY_min2	0.0188746963380649	9.82314885344896e-05	0.000143533802210421
SH.DTH.MORT_lag1	0.0180010320172469	0.00019531407077033	0.000287067604420841
NY.GDP.PCAP.CD	0.0155655384155847	0.000544007132410302	0.000430601406631262
SP.POP.2024.FE.5Y_rank	0.0136158864387221	0.00148553584415316	0.00114827041768336
EN.URB.LCTY_avg2	0.0136119151512619	9.76570353851651e-05	0.000143533802210421
SH.DYN.NMRT	0.00980850777267031	0.000249887119956158	0.000143533802210421
TX.VAL.MRCH.R2.ZS	0.00814609094600921	0.000720938702402248	0.00114827041768336
NY.GDP.DEFL.ZS_lag1	0.00780727665267076	0.000681875888248182	0.00129180421989379
price_instability_lag1	0.00552871750373913	0.0016084688181086	0.00172240562652505
EN.URB.LCTY_tend2	0.00510968085305214	0.000315949232128475	0.000430601406631262
SH.IMM.IDPT_rank	0.00499236536908068	0.000723810968148871	0.000717669011052103
BG.GSR.NFSV.GD.ZS	0.00404566681082182	0.000409010642319044	0.000574135208841682
year	0.00379367339674639	0.00116269317423279	0.00100473661547294
EG.ELC.PETR.ZS_avg2	0.00352052830887456	0.000267695167585217	0.000430601406631262
DT.ODA.ODAT.GN.ZS	0.00346798937644709	0.000874892146421214	0.000717669011052103
BG.GSR.NFSV.GD.ZS_max2	0.00309807544450196	0.000141889927883152	0.000430601406631262
SH.DTH.NMRT_delta1	0.00301272772199934	0.000625005026465057	0.000717669011052103
FP.CPI.TOTL_max2	0.00287533372166945	0.000192441805023708	0.000430601406631262
EG.ELC.PETR.ZS_lag1	0.00235412834235322	4.76796113939335e-05	0.000143533802210421
SP.RUR.TOTL_rank	0.00227889892435906	8.27212535027281e-05	0.000143533802210421
EN.GHG.CH4.WA.MT.CE.AR5_lag1	0.00225336822912913	5.97431275297481e-05	0.000143533802210421
vaccination_coverage_proxy_rank	0.00219059695062589	0.000152230084570993	0.000143533802210421
SP.POP.4044.MA.5Y	0.00216213193841646	0.000999548479824631	0.000574135208841682
TX.VAL.MANF.ZS.UN_lag1	0.00211956459385619	0.00510976076324143	0.00358834505526051
SP.DYN.LE00.FE.IN	0.00203531628344112	0.000195888523919655	0.000287067604420841
SP.DYN.LE00.FE.IN_lag1	0.00195147439232062	0.00112363036007872	0.000861202813262523
NY.GDP.DEFL.ZS	0.00189910981886759	0.000310779153784555	0.000430601406631262
EG.ELC.PETR.ZS_min2	0.00188132778480808	0.000304460169141985	0.000430601406631262
SP.POP.4549.MA.5Y_lag1	0.00176429537929836	0.00591284626599708	0.00373187885747093
SE.TER.ENRR	0.00175036535723282	0.000949571055833399	0.00129180421989379
SP.POP.2024.MA.5Y_rank	0.00174719994634096	0.000249887119956158	0.000143533802210421
AG.PRD.CROP.XD_max2	0.00167093301161517	0.000345246342744025	0.000430601406631262
SP.POP.80UP.FE.5Y_lag1	0.00166140940890626	5.45730491858276e-05	0.000143533802210421
MS.MIL.XPND.GD.ZS_avg2	0.00136267147642555	0.000238972510118992	0.000287067604420841
NE.EXP.GNFS.ZS	0.00132378125570561	6.43387527243441e-05	0.000143533802210421
SP.POP.65UP.MA.ZS	0.00127200739543942	0.000249887119956158	0.000143533802210421
FM.AST.NFRG.CN	0.00112586782325487	0.0105394919306566	0.00732022391273145
NE.CON.TOTL.KD_rank	0.00112456736360693	8.27212535027281e-05	0.000143533802210421
NV.IND.TOTL.CN_lag1	0.00110137285370895	0.000152804537720317	0.000143533802210421
SH.DYN.MORT.FE	0.00105829653309948	0.000332608373458886	0.000287067604420841
SP.POP.7074.FE.5Y_delta1	0.0010400483377893	0.000918550585769876	0.000861202813262523
AG.LND.AGRI.ZS	0.000989238119191149	0.00490525544208191	0.00387541265968136
SE.TER.ENRR_lag1	0.000946720095208727	0.00225702642369596	0.00200947323094589
TX.VAL.MRCH.R3.ZS_lag1	0.000913763867013155	0.000558368461143415	0.000717669011052103
NY.ADJ.DMIN.CD_lag1	0.000886872589798501	5.91686743804236e-05	0.000143533802210421
SH.MMR.DTHS_lag1	0.000882629516775471	0.0120319212126017	0.00703315630831061
EN.GHG.N2O.PI.MT.CE.AR5_max2	0.000879723868566658	0.00284296863600695	0.00186593942873547
SP.POP.2529.MA.5Y_delta1	0.000855190331980041	0.000311353606933879	0.000430601406631262
IT.CEL.SETS_max2	0.000803257417998893	5.62964086338011e-05	0.000143533802210421
SP.DYN.TO65.FE.ZS_lag1	0.000789164388053141	0.00290788184188062	0.00186593942873547
BX.TRF.PWKR.DT.GD.ZS_rank	0.000765750720641937	0.000149932271973695	0.000287067604420841
NY.GDP.TOTL.RT.ZS_lag1	0.000724782719149815	0.00616560565169986	0.00401894646189178
EG.ELC.HYRO.ZS_max2	0.000659274019650149	0.0205947198564327	0.0137792450122004
SP.POP.1014.MA.5Y_lag1	0.000604885907591103	0.0031301952106692	0.00200947323094589
DC.DAC.DEUL.CD	0.000582430938869581	0.000612941510329242	0.000717669011052103
NY.ADJ.NNTY.PC.CD	0.000569265797037649	0.00249427557436698	0.00215300703315631
