Feature	Gain	Cover	Frequency
NE.CON.PRVT.PC.KD	0.492730972217942	0.0033007133667618	0.00200184785956267
SP.RUR.TOTL.ZS_rank	0.171916710100007	0.0013145461638687	0.000615953187557746
BG.GSR.NFSV.GD.ZS_max2	0.0437985211578941	0.000935350155060422	0.00123190637511549
NY.GDP.PCAP.KD	0.0388850219259455	0.00216380857638887	0.00107791807822605
SG.LAW.INDX_lag1	0.0351180538811208	0.000254163811309333	0.000307976593778873
NY.GDP.DEFL.ZS	0.0204925322761071	0.000619011863027569	0.0016938712657838
SP.POP.2024.FE.5Y_rank	0.0157299453314329	0.00509830741932861	0.00246381275023098
SG.LAW.INDX	0.0147284991973423	0.000258263227620774	0.000307976593778873
SH.IMM.IDPT_rank	0.0131367613685013	0.00120727810371933	0.000923929781336618
SP.POP.4044.FE.5Y	0.0090823191130792	0.000405158978780738	0.000461964890668309
TM.VAL.MRCH.AL.ZS_lag1	0.00888873977755299	0.00022273495292162	0.000461964890668309
EN.URB.LCTY_lag1	0.00745656511094295	0.000390127785638788	0.000461964890668309
NY.GDP.DEFL.ZS_lag1	0.00630052040361223	0.00102212113365259	0.00184785956267324
SP.POP.2529.FE.5Y_delta1	0.00501643612216476	0.0019766018981664	0.00184785956267324
SE.PRM.ENRR	0.00490603492169332	0.00116696717665683	0.00123190637511549
SE.ENR.PRIM.FM.ZS	0.00477695251705109	0.000403109270625018	0.00123190637511549
SP.DYN.CDRT.IN_rank	0.00452293288524959	0.000166026360613355	0.000307976593778873
SP.DYN.LE00.FE.IN_lag1	0.00421499823322917	0.000200188163208695	0.000461964890668309
SM.POP.RHCR.EO_lag1	0.00409538053637922	0.000948331640046651	0.000923929781336618
EN.URB.LCTY_tend2	0.00384884716589283	0.00077957233522567	0.00123190637511549
TM.VAL.MANF.ZS.UN	0.00364219986999189	0.00163361740010918	0.00153988296889436
FI.RES.TOTL.MO_min2	0.00351036564763204	0.00124827226683374	0.000923929781336618
SP.POP.1564.FE.ZS_lag1	0.00299087105244317	7.92553820211899e-05	0.000153988296889436
SH.DTH.MORT_lag1	0.00254883497641069	0.000360065399354889	0.000461964890668309
TX.VAL.FUEL.ZS.UN_lag1	0.00250872424243526	0.000388761313534975	0.000769941484447182
SP.POP.6064.MA.5Y_delta1	0.00222555174919618	0.000172175485080516	0.000307976593778873
TM.VAL.FOOD.ZS.UN	0.00209296472716062	8.40380343845376e-05	0.000461964890668309
EN.GHG.N2O.PI.MT.CE.AR5_max2	0.00204997846167509	0.000270561476555097	0.000307976593778873
NY.GSR.NFCY.CN_lag1	0.00196536002750061	0.0092107052157557	0.00538959039113028
year	0.00192979685088305	0.00473140965945466	0.00292577764089929
FP.CPI.TOTL_max2	0.00185409013154914	0.000411991339299806	0.000923929781336618
EN.GHG.N2O.BU.MT.CE.AR5_max2	0.00183618067021878	0.000119566309083692	0.000307976593778873
SP.RUR.TOTL.ZS	0.00165081743894866	0.000146212515108057	0.000307976593778873
SP.DYN.AMRT.MA	0.00141199173932492	0.000785721459692831	0.00123190637511549
