Feature	Gain	Cover	Frequency
SP.URB.TOTL.IN.ZS	0.225901256611444	0.00293135301575802	0.0010307507301151
NE.CON.PRVT.PC.KD	0.189889354032432	0.00592936062307553	0.00223329324858272
SP.URB.TOTL.IN.ZS_rank	0.153699198340411	0.000994022821952545	0.000343583576705034
SP.RUR.TOTL.ZS_rank	0.145755293358819	0.000994022821952545	0.000343583576705034
NY.GDP.PCAP.KD_rank	0.0586629382826877	0.00311103061039667	0.00120254251846762
EN.URB.LCTY_max3	0.033320214732315	0.000978083680492664	0.000858958941762584
SH.DTH.MORT_lag1	0.0310414577705109	0.000743343597174425	0.000687167153410067
NY.GDP.PCAP.KD	0.0252062937247953	0.00541641007063938	0.00223329324858272
TX.VAL.MRCH.OR.ZS	0.0148338826890031	0.0011070458250317	0.00154612609517265
EN.URB.LCTY_avg3	0.00992746729865486	0.000779568918674153	0.000687167153410067
TX.VAL.MRCH.OR.ZS_lag1	0.00798533572710676	0.000554971925375838	0.000858958941762584
NY.GDP.DEFL.ZS	0.00620776403949809	0.00241840246332186	0.00188970967187768
EN.URB.LCTY_min3	0.00516013653794099	0.000391233472197066	0.000343583576705034
SP.POP.5559.FE.5Y_delta1	0.00486463782203643	0.00261401919942039	0.00223329324858272
FM.LBL.BMNY.GD.ZS	0.00358425065872909	0.000102879913059228	0.000343583576705034
NY.GDP.FRST.RT.ZS_max3	0.00303179399338104	0.000698424198514762	0.000343583576705034
EN.URB.LCTY_lag1	0.00299162563964248	0.000391233472197066	0.000343583576705034
SH.IMM.IDPT_rank	0.00283987594999893	0.000760731751494294	0.00051537536505755
NY.GDP.FRST.RT.ZS_avg3	0.00275874089128901	0.00145625792428908	0.000858958941762584
EN.GHG.CH4.WA.MT.CE.AR5	0.00272291966310563	9.8532874479261e-05	0.000171791788352517
NY.GDP.DEFL.ZS_max3	0.00269693439431188	0.00327476906357544	0.00326404397869782
TX.VAL.MRCH.HI.ZS_lag1	0.00236902380521344	0.000639014671255207	0.000858958941762584
NY.GDP.FRST.RT.ZS	0.00236605348869619	0.00119543560949103	0.000858958941762584
