Feature	Gain	Cover	Frequency
NE.CON.PRVT.PC.KD	0.433850018825317	0.00223815217554784	0.00127295871976723
NY.GDP.PCAP.KD	0.323512191788556	0.00720889921641174	0.00363702491362066
EN.URB.LCTY_avg3	0.0852154334940323	0.00175122952668863	0.0021822149481724
NY.GDP.DEFL.ZS	0.0256374625765384	0.000679623697152913	0.0016366612111293
EG.ELC.PETR.ZS	0.0117978673350526	0.000299861631247274	0.000727404982724132
TX.VAL.MRCH.OR.ZS_lag1	0.0101944071416039	0.000380702071019266	0.000909256228405165
EG.ELC.PETR.ZS_max3	0.0059365371081653	0.000347801892042293	0.000909256228405165
SP.ADO.TFRT_lag1	0.00487497817437167	0.000859164673855826	0.00145480996544826
SH.IMM.IDPT_rank	0.00479724873315145	0.00191103039600535	0.0016366612111293
NY.GDP.DEFL.ZS_min3	0.0042872631865254	0.0003919821323828	0.000727404982724132
SP.POP.BRTH.MF_lag1	0.00373260818157077	0.00141846771646438	0.00127295871976723
EN.GHG.CH4.WA.MT.CE.AR5_max3	0.0031836310577994	0.000209621140339003	0.000727404982724132
EN.GHG.N2O.FE.MT.CE.AR5_tend3	0.00235142095076723	0.000602543277835431	0.000727404982724132
PA.NUS.ATLS	0.00233206300637033	0.00369704011189821	0.00272776868521549
DC.DAC.TOTL.CD_rank	0.00228667586441022	0.00191667042668712	0.0010911074740862
MS.MIL.MPRT.KD_max3	0.00226751251704848	0.000647663523289567	0.000727404982724132
FP.CPI.TOTL_lag1	0.00216621925457361	0.000731323978402443	0.0010911074740862
SP.POP.7074.MA.5Y_delta1	0.00216392882763184	0.000338401840906015	0.000545553737043099
AG.CON.FERT.ZS_avg3	0.00196850936667717	0.000313961707951691	0.000727404982724132
FP.CPI.TOTL_avg3	0.00171108606901489	0.000136300741476034	0.000363702491362066
SP.POP.6064.MA.5Y_delta1	0.00166629984373704	0.00377882055678383	0.00272776868521549
SH.DTH.MORT	0.00156420542090168	0.000692783768743702	0.000727404982724132
EN.GHG.CH4.FE.MT.CE.AR5_max3	0.00156027566653201	0.000149460813066823	0.000181851245681033
TM.VAL.MRCH.RS.ZS	0.00153752885185925	0.000915564980673495	0.000909256228405165
TM.VAL.MRCH.RS.ZS_lag1	0.00146213925595721	0.000174840951134774	0.000545553737043099
SM.POP.RHCR.EA_delta1	0.0013844022456782	0.000739784024425093	0.0016366612111293
FP.CPI.TOTL	0.00126889059189925	0.00117406638692115	0.00127295871976723
SP.POP.4549.MA.5Y	0.00124085952068946	0.0168721517845057	0.00872885979268958
NY.GDP.FRST.RT.ZS_rank	0.0011717679712593	0.000438042382950563	0.000363702491362066
AG.CON.FERT.ZS_lag1	0.00109579651539045	0.000219961196588909	0.000545553737043099
SP.POP.0014.TO_lag1	0.00108835060621005	4.70002556813909e-05	0.000181851245681033
SP.POP.1014.FE.5Y_delta1	0.0010586747027476	0.000655183564198589	0.000727404982724132
SP.POP.1014.MA.5Y_delta1	0.00100735516370822	0.000349681902269548	0.000363702491362066
AG.LND.ARBL.HA.PC_min3	0.000973240464901373	0.0210288543969679	0.0105473722494999
SP.URB.TOTL_delta1	0.000951941820347824	5.45202965904135e-05	0.000181851245681033
SP.POP.2024.MA.5Y	0.000916137226315309	0.000731323978402443	0.000363702491362066
SP.POP.7579.FE.5Y_lag1	0.000904015923661944	0.000539562935222368	0.000545553737043099
NE.TRD.GNFS.ZS_tend3	0.000868456718502705	0.023518927942968	0.0150936533915257
NV.IND.TOTL.ZS_avg3	0.000843818945422628	0.000268841462497556	0.000363702491362066
FD.AST.PRVT.GD.ZS_min3	0.000839770611418328	0.000635443456812405	0.000909256228405165
TX.VAL.MRCH.RS.ZS_lag1	0.000814291431163403	0.000571523109085713	0.000363702491362066
SE.PRM.ENRR.MA	0.000761505201200142	0.000260381416474906	0.000545553737043099
SH.DTH.MORT_lag1	0.000756432332780832	9.11804960218984e-05	0.000181851245681033
FD.AST.PRVT.GD.ZS_max3	0.000744454963488172	0.000527342868745206	0.000545553737043099
SP.POP.TOTL.MA.ZS_rank	0.00073156632386674	0.000366601994314849	0.000363702491362066
SP.POP.4549.FE.5Y_delta1	0.000718731365719641	0.00013348072613515	0.000363702491362066
FI.RES.TOTL.CD_max3	0.00070945212053141	0.000129720705680639	0.000363702491362066
TX.VAL.MRCH.R5.ZS	0.000679465717305686	0.000472822572154793	0.000727404982724132
FI.RES.TOTL.CD	0.000662054811040884	0.000175780956248402	0.000363702491362066
SH.DYN.MORT.FE	0.000649966914540732	0.000786784280106484	0.000727404982724132
SE.SEC.ENRL.GC.FE.ZS_delta1	0.000645255008451724	0.00045684248522312	0.000727404982724132
SP.POP.80UP.MA.5Y	0.000613000246019418	0.000451202454541353	0.000363702491362066
EN.GHG.N2O.IP.MT.CE.AR5	0.000598329260145593	0.00101896554317255	0.000727404982724132
NY.GDP.FRST.RT.ZS_min3	0.000565614702202373	0.000264141436929417	0.000363702491362066
SP.POP.4549.MA.5Y_lag1	0.00056473196041291	0.00507132758802208	0.00272776868521549
SP.DYN.AMRT.MA_lag1	0.000542909694566158	0.00447160432552753	0.00236406619385343
SP.POP.4044.MA.5Y	0.000535638867970532	0.000399502173291823	0.000363702491362066
DC.DAC.DEUL.CD_min3	0.000528637056172958	0.000624163395448871	0.000909256228405165
BG.GSR.NFSV.GD.ZS	0.000526914909278945	0.000343101866474154	0.000727404982724132
SE.TER.ENRR	0.000516083872976822	0.00157168854998571	0.0010911074740862
IT.CEL.SETS.P2_min3	0.000512558875043696	0.000699363804539097	0.000909256228405165
AG.CON.FERT.ZS_min3	0.000497410918246573	0.00016356088977124	0.000363702491362066
FP.CPI.TOTL_max3	0.000480165776508899	0.000101520552271804	0.000363702491362066
TX.VAL.MRCH.HI.ZS_lag1	0.000476058238048794	0.000149460813066823	0.000181851245681033
EN.GHG.CH4.TR.MT.CE.AR5_max3	0.000474599290492745	0.000125960685226128	0.000181851245681033
SP.DYN.LE00.MA.IN	0.000467191676132014	0.000458722495450375	0.000545553737043099
EG.USE.PCAP.KG.OE_avg3	0.000460738230591392	0.000120320654544361	0.000181851245681033
AG.PRD.CROP.XD_avg3	0.000456586559162779	0.000256621396020394	0.000727404982724132
NE.IMP.GNFS.ZS_tend3	0.000441284023514351	0.0201048293702718	0.0145480996544826
NY.ADJ.DKAP.GN.ZS_isNA_rank	0.000436769215752187	0.00167790912782566	0.00200036370249136
SE.SEC.ENRL_delta1	0.000433591304321643	0.0012332867090797	0.0010911074740862
NY.GDS.TOTL.ZS	0.000429402062188902	0.00828708508174285	0.00454628114202582
SP.POP.5559.MA.5Y	0.000417033494381363	0.00697577794823204	0.00363702491362066
SP.POP.0004.MA.5Y	0.000401114462756284	0.0168721517845057	0.00854700854700855
EG.ELC.PETR.ZS_min3	0.0003977539518554	0.000142880777271428	0.000363702491362066
SH.DYN.MORT	0.00038913496137892	0.000529222878972462	0.000363702491362066
FM.AST.DOMS.CN_tend3	0.00038669834306882	0.000991705394877348	0.000909256228405165
SH.IMM.IDPT	0.000385732776280215	0.0013855675374874	0.0010911074740862
SP.POP.4549.FE.5Y_lag1	0.000383724888627406	0.00699175803516371	0.00381887615930169
NY.GDS.TOTL.ZS_delta1	0.000370536402562636	0.000145700792612312	0.000363702491362066
BG.GSR.NFSV.GD.ZS_min3	0.000370401362287113	0.000231241257952443	0.000545553737043099
SP.DYN.AMRT.MA	0.000366218024014845	0.0144469385913459	0.00745590107292235
NY.ADJ.NNTY.PC.CD	0.000363181992271889	0.000738844019311465	0.000727404982724132
SP.POP.5054.FE.5Y_delta1	0.00034764644394924	0.000424882311359774	0.000545553737043099
NE.EXP.GNFS.ZS_lag1	0.000340329921833368	0.000128780700567011	0.000181851245681033
NY.ADJ.NNTY.PC.CD_min3	0.000339962592184948	0.00116654634601212	0.000909256228405165
SP.POP.3539.FE.5Y	0.000333368269186724	0.00161492878521259	0.0016366612111293
AG.LND.AGRI.K2_rank	0.000326109498303005	0.000731323978402443	0.000363702491362066
SM.POP.RHCR.EO	0.000323682695729675	0.000783024259651973	0.000909256228405165
BX.TRF.PWKR.DT.GD.ZS	0.000316353741139372	0.00483068627893336	0.00345517366793963
SP.POP.80UP.FE.5Y_delta1	0.00030968465005834	0.00473386575222969	0.00272776868521549
NY.GDP.FRST.RT.ZS	0.000290675019454919	0.000261321421588533	0.000545553737043099
NE.CON.TOTL.KD.ZG_min3	0.000286333237084526	0.000145700792612312	0.000363702491362066
SP.POP.5559.FE.5Y_delta1	0.000280727634002708	0.000296101610792763	0.000363702491362066
BM.TRF.PWKR.CD.DT_delta1	0.000279608249554029	0.000720983922152537	0.000909256228405165
AG.LND.AGRI.ZS	0.000277165971270636	0.000453082464768608	0.000545553737043099
SP.POP.2024.FE.5Y_delta1	0.000269444798864729	0.00048692264885921	0.000909256228405165
IT.CEL.SETS.P2	0.000265620091587966	0.00108100588067199	0.0010911074740862
SP.POP.6569.FE.5Y_delta1	0.000264094029502385	0.0021761118380484	0.00254591743953446
SP.POP.2529.FE.5Y_rank	0.000263303594897372	0.000284821549429229	0.000181851245681033
BX.GSR.CMCP.ZS_min3	0.000256467716988289	0.000219961196588909	0.000363702491362066
SE.ENR.PRIM.FM.ZS	0.000254581674598665	0.000716283896584397	0.0010911074740862
SP.POP.1014.FE.5Y_lag1	0.000240620687092661	0.000266021447156673	0.000363702491362066
NE.EXP.GNFS.CN_tend3	0.000239649867049428	0.00357201943178571	0.00272776868521549
ER.FSH.AQUA.MT_min3	0.000227655321398179	0.000179540976702913	0.000181851245681033
BM.TRF.PWKR.CD.DT_tend3	0.000227199897544923	0.00644373505391869	0.00490998363338789
FM.AST.DOMS.CN	0.000225062064867717	0.000765164162493044	0.000727404982724132
EN.URB.MCTY.TL.ZS_lag1	0.000221628259650982	0.000218081186361654	0.000181851245681033
TX.VAL.MRCH.R1.ZS_lag1	0.000220973310650752	0.00519258824768007	0.00400072740498272
NE.CON.PRVT.KD.ZG	0.000212927609603609	0.000327121779542481	0.000545553737043099
SP.POP.3034.FE.5Y_rank	0.000212852916055359	0.000313961707951691	0.000545553737043099
FM.AST.NFRG.CN	0.000208427037030162	0.00128028696476109	0.0016366612111293
NY.ADJ.NNTY.CD_min3	0.000206885231966725	0.0003750620403375	0.000545553737043099
SP.POP.TOTL.FE.ZS_delta1	0.000204125598480144	0.000446502428973214	0.000363702491362066
EN.URB.LCTY_delta1	0.000199668126279688	3.94802147723684e-05	0.000181851245681033
SP.POP.DPND_delta1	0.000194630403630735	0.000683383717607424	0.000545553737043099
TX.VAL.MRCH.R2.ZS_lag1	0.000189625760256716	0.000572463114199341	0.000909256228405165
NY.GNP.PCAP.CD	0.000186363144539398	0.000558363037494924	0.000909256228405165
SP.DYN.TO65.FE.ZS	0.000174811355796548	0.00181984989998346	0.0010911074740862
BX.KLT.DINV.WD.GD.ZS_min3	0.000173677214763723	0.000283881544315601	0.000545553737043099
BX.PEF.TOTL.CD.WD_min3	0.000169684494164056	0.000261321421588533	0.000727404982724132
NY.GSR.NFCY.CN_lag1	0.000167477727760934	0.000947525154536841	0.000909256228405165
FS.AST.CGOV.GD.ZS_min3	0.000162826506027461	0.000610063318744454	0.000545553737043099
SP.ADO.TFRT	0.000158522587795286	0.0054134894493826	0.00309147117657756
IT.MLT.MAIN.P2	0.000152735701686429	0.000731323978402443	0.000545553737043099
FM.AST.NFRG.CN_rank	0.000151879767459242	0.000575283129540225	0.000545553737043099
DT.ODA.ODAT.GN.ZS_max3	0.000148667539630643	0.000654243559084961	0.000545553737043099
SP.POP.0509.MA.5Y	0.000146383049097259	0.00517284814029388	0.00290961993089653
year	0.000133852443128886	0.00353535923235422	0.00236406619385343
SE.PRM.ENRL	0.000132873633523273	0.000414542255109868	0.000545553737043099
FI.RES.TOTL.MO_min3	0.000121679086356829	0.000858224668742198	0.000909256228405165
SP.POP.6569.MA.5Y_delta1	0.000119950035717333	0.00180010979259727	0.0016366612111293
BX.PEF.TOTL.CD.WD_isNA_rank	0.000117759194388408	0.000330881799996992	0.000545553737043099
AG.PRD.FOOD.XD_min3	0.00011638168633716	0.00020680112499812	0.000363702491362066
NE.GDI.FTOT.ZS_isNA_rank	0.000115922653570704	0.000130660710794267	0.000363702491362066
EN.GHG.CH4.BU.MT.CE.AR5_tend3	0.000115528349704991	0.000354381927837687	0.000909256228405165
NY.GDP.PCAP.KN_isNA_rank	0.000108823265888044	0.000112800613635338	0.000363702491362066
SP.DYN.IMRT.MA.IN_lag1	0.000102586824022235	0.00102930559942246	0.000545553737043099
BX.KLT.DINV.WD.GD.ZS_avg3	9.88324172589681e-05	0.00025850140624765	0.000545553737043099
DC.DAC.CANL.CD	9.68149220253494e-05	0.00126900690339755	0.00127295871976723
TM.VAL.FOOD.ZS.UN_delta1	9.61128768373599e-05	0.00124738678578411	0.0010911074740862
NY.GDP.DEFL.ZS_lag1	9.50597203558559e-05	0.000212441155679887	0.000363702491362066
SH.MMR.RISK_delta1	9.43108756842687e-05	0.00210279143918543	0.0021822149481724
NE.IMP.GNFS.KD.ZG	9.40893035292506e-05	0.000513242792040789	0.0010911074740862
IS.AIR.GOOD.MT.K1_min3	9.38808611057584e-05	0.00218927190963919	0.00145480996544826
NE.RSB.GNFS.CD_min3	9.29130140359028e-05	0.000428642331814285	0.000545553737043099
DT.ODA.ODAT.CD	9.01422621781892e-05	0.000244401329543233	0.000363702491362066
EN.GHG.N2O.BU.MT.CE.AR5_tend3	9.00962594522667e-05	0.00421968295507528	0.00418257865066376
SP.POP.3034.FE.5Y_lag1	9.00494465729266e-05	0.0024261531982734	0.0016366612111293
SP.POP.1519.MA.5Y_rank	8.88588220550073e-05	0.000246281339770488	0.000363702491362066
