Feature	Gain	Cover	Frequency
NE.CON.PRVT.PC.KD	0.299769061380001	0.00192370176600719	0.000986301369863014
SP.URB.TOTL.IN.ZS	0.230805329662626	0.00163054735171714	0.000986301369863014
SP.RUR.TOTL.ZS	0.11888358485788	0.00094696155044936	0.000657534246575343
NY.GDP.PCAP.KD	0.0968018794129588	0.00145849284220153	0.000767123287671233
SP.URB.TOTL.IN.ZS_rank	0.0318094155948164	0.00102968006463956	0.000438356164383562
EN.URB.LCTY_avg2	0.0210267204489874	0.000301757139765834	0.000328767123287671
NY.GDP.PCAP.KD_rank	0.0190377998217247	0.00147768353749366	0.000657534246575343
SH.DTH.MORT_lag1	0.0137826391804066	0.00030440413221992	0.000328767123287671
EN.URB.LCTY_tend2	0.0115936365517224	0.000272640222770885	0.000328767123287671
EN.URB.LCTY_lag1	0.0103895892920356	0.000305065880333442	0.000328767123287671
NY.GDP.PCAP.KD_lag1	0.00814112663103238	0.000429474525675496	0.000219178082191781
SH.DTH.MORT	0.00693775980102946	0.000475135145508484	0.000328767123287671
EN.URB.LCTY_min2	0.00645719638464219	0.000202494922737599	0.000219178082191781
SP.RUR.TOTL.ZS_rank	0.00594152231807281	0.000990636925941783	0.000547945205479452
NY.GDP.DEFL.ZS	0.00568648692466845	0.000684247549381299	0.00131506849315069
TX.VAL.MRCH.OR.ZS_lag1	0.00481295152929303	0.000630645952186052	0.00131506849315069
NE.CON.PRVT.PC.KD_avg2	0.00462307864785675	0.000421533548313237	0.000547945205479452
TX.VAL.MRCH.HI.ZS	0.00412998050128247	0.000109188438731058	0.000328767123287671
NY.GNP.PCAP.CD	0.0040432794328382	0.00147569829315309	0.000986301369863014
NE.TRD.GNFS.ZS	0.00337725186093294	0.000301757139765834	0.000328767123287671
SP.POP.5054.FE.5Y_delta1	0.00335845536463948	0.000816597172085612	0.000767123287671233
NE.IMP.GNFS.ZS	0.00331229396278863	0.00063395469275366	0.000657534246575343
TX.VAL.MRCH.HI.ZS_lag1	0.00329355480432238	0.000226317854824375	0.000438356164383562
SP.POP.0509.MA.5Y_lag1	0.00266081078170971	0.0115706657649246	0.00515068493150685
SP.POP.6064.MA.5Y_delta1	0.00257665615703418	0.0113125840006512	0.00558904109589041
SP.POP.2024.MA.5Y	0.0024143580679852	0.0013254814713837	0.000767123287671233
EG.ELC.PETR.ZS_max2	0.00233983408633801	0.000174701501969693	0.000438356164383562
EG.ELC.PETR.ZS_lag1	0.00230400386063916	0.000161466539699262	0.000328767123287671
EN.URB.LCTY	0.00221318462225216	4.30136273789018e-05	0.00010958904109589
TX.VAL.MRCH.OR.ZS	0.00212444004936801	0.000468517664373268	0.000657534246575343
EG.ELC.PETR.ZS_avg2	0.00209319473056895	0.000175363250083215	0.000438356164383562
SP.POP.6064.FE.5Y_delta1	0.00200218941989592	0.00968865413006924	0.00482191780821918
BG.GSR.NFSV.GD.ZS	0.00170952147199679	0.000112497179298666	0.000328767123287671
SH.IMM.MEAS_rank	0.00142889386397214	0.000390431386977724	0.000438356164383562
