Feature	Gain	Cover	Frequency
NE.CON.PRVT.PC.KD	0.421721550887958	0.000229983203302288	0.000244006588177881
NY.GDP.PCAP.KD	0.314459687184488	0.000893392617892407	0.000528680941052075
EN.URB.LCTY_max2	0.0844762832951776	0.000383782680479534	0.000345675999918664
NY.GDP.DEFL.ZS	0.0217080615429934	0.000302061791302797	0.000671018117489172
NY.GDP.DEFL.ZS_lag1	0.0185906051868807	0.000212130625876996	0.000447345411659448
SH.IMM.IDPT_rank	0.0080165993045091	0.000161341475126968	0.000183004941133411
FP.CPI.TOTL_max2	0.00620208570158417	6.37728434229673e-05	0.000142337176437097
EG.ELC.PETR.ZS_lag1	0.00572094280163065	0.000172129396244925	0.000244006588177881
EG.ELC.PETR.ZS_avg2	0.00562045004376727	0.000182058102406585	0.000183004941133411
SG.LAW.INDX_lag1	0.00520755178129525	3.22682950253936e-05	4.06677646963135e-05
PA.NUS.ATLS	0.00468816576372603	0.000571664350923246	0.000467679294007605
MS.MIL.XPND.GD.ZS_max2	0.00399480503980321	0.000408986319197593	0.000589682588096545
SE.ENR.PRIM.FM.ZS	0.0037010225639696	0.000252227323837544	0.000528680941052075
EN.GHG.CH4.MT.CE.AR5_min2	0.00318544768549867	2.56809803604464e-05	6.10016470444702e-05
SP.POP.2024.FE.5Y_rank	0.00274117799724889	0.000218527003884988	0.000183004941133411
SP.POP.BRTH.MF_lag1	0.00271248674720771	0.000202201919715336	0.000264340470526038
BG.GSR.NFSV.GD.ZS	0.00251493839433537	0.000103583136398083	0.000203338823481567
SG.LAW.INDX	0.00244541870678383	4.04785712744583e-05	6.10016470444702e-05
EN.GHG.CH4.WA.MT.CE.AR5_max2	0.00230124441300655	2.07166272796166e-05	6.10016470444702e-05
SM.POP.RHCR.EO_lag1	0.00226119103516468	0.00047505040250402	0.000447345411659448
NY.ADJ.DMIN.CD_lag1	0.00211285389657267	3.75190530916559e-05	8.13355293926269e-05
SH.DYN.MORT.FE	0.00210517152600436	0.00035495124527933	0.000264340470526038
SP.POP.6064.MA.5Y_delta1	0.0020827241125628	0.00508722081958033	0.00335509058744586
EG.ELC.PETR.ZS_max2	0.00206610131916957	0.00012009915722469	0.000264340470526038
SM.POP.RHCR.EO	0.00201229005972263	0.00070073753102482	0.000671018117489172
EN.URB.LCTY_tend2	0.00187854725631565	0.000108165616165003	0.000223672705829724
SP.DYN.LE00.FE.IN	0.00184143512745318	0.000137569861336072	0.000162671058785254
SH.IMM.MEAS_rank	0.00179305580110526	0.000125158978633997	0.000162671058785254
AG.CON.FERT.ZS_min2	0.00171165028357005	0.00122829551419146	0.000732019764533643
FS.AST.CGOV.GD.ZS_lag1	0.00161092651035806	0.000302921006259095	0.000345675999918664
IT.CEL.SETS.P2_min2	0.00143499023380411	0.000261392283371384	0.000447345411659448
SP.DYN.AMRT.MA	0.00142046678271485	0.00846508121777108	0.00439211858720185
SH.DYN.MORT.FE_lag1	0.00140854791463134	6.79734498759771e-05	8.13355293926269e-05
BM.GSR.TRAN.ZS	0.00130048091570294	0.000141484062803649	0.000366009882266821
SP.POP.4549.FE.5Y_lag1	0.00127509636628509	0.00272542984137555	0.00146403952906729
TX.VAL.MRCH.OR.ZS_lag1	0.00127256014841644	7.81885610230692e-05	0.000203338823481567
SP.POP.3539.FE.5Y_delta1	0.00118158903678802	0.000854823413187499	0.00109802964680046
PA.NUS.ATLS_lag1	0.00113647652495584	0.000104060478040471	0.000142337176437097
EN.GHG.CH4.WA.MT.CE.AR5_lag1	0.00113321439112089	1.86163240531117e-05	4.06677646963135e-05
