Feature	Gain	Cover	Frequency
NE.CON.PRVT.PC.KD	0.438405134363186	0.00185780054179681	0.00171657448025939
SP.URB.TOTL.IN.ZS_rank	0.163980865529258	0.000822634502855959	0.000381460995613199
SP.URB.TOTL.IN.ZS	0.116111689166613	0.000822634502855959	0.000381460995613199
NY.GDP.PCAP.KD	0.0974434575144109	0.0020565862571399	0.000953652489032996
EN.URB.LCTY_avg2	0.0458287250698136	0.00064711094569132	0.000762921991226397
SH.DTH.MORT_lag1	0.021544588627917	0.000666143620564594	0.000572191493419798
NY.GDP.PCAP.KD_rank	0.010946389030688	0.000873388302518023	0.000572191493419798
NY.GDP.DEFL.ZS	0.0107469287901662	0.00168227698463217	0.00228876597367919
NE.IMP.GNFS.ZS	0.00548486372343022	0.00066825836221718	0.0011443829868396
SP.POP.2024.MA.5Y	0.00464799572296413	0.00164526900571192	0.000762921991226397
NE.TRD.GNFS.ZS	0.00436166867179859	0.000329899697803418	0.000381460995613199
EG.ELC.PETR.ZS_min2	0.00416943900893602	8.03601827982685e-05	0.000190730497806599
NY.GDP.DEFL.ZS_lag1	0.00411414404252271	0.00506163414546462	0.00381460995613199
EG.ELC.PETR.ZS_avg2	0.00324685192342893	0.000160720365596537	0.000381460995613199
TX.VAL.MRCH.OR.ZS_lag1	0.00314132589247744	0.000620676675033994	0.0011443829868396
SH.IMM.IDPT_rank	0.00307069394174329	0.000514939592404694	0.000572191493419798
EG.ELC.PETR.ZS_lag1	0.00252603619067277	0.000187154636253862	0.000381460995613199
SP.POP.5054.FE.5Y_delta1	0.00251196488234415	0.00398523064429834	0.00247949647148579
SP.POP.0509.MA.5Y_lag1	0.00238063591240983	0.00059107029189779	0.000381460995613199
SH.DYN.MORT.FE	0.00230177427648269	0.00159240046439727	0.000762921991226397
BG.GSR.NFSV.GD.ZS	0.00206353044784099	0.000425063072169788	0.000572191493419798
EN.GHG.CH4.FE.MT.CE.AR5_max2	0.00205537095090668	0.00022521998600041	0.000381460995613199
NV.IND.TOTL.CN	0.00167235885172784	0.000249539515005149	0.000190730497806599
SP.POP.6064.MA.5Y_delta1	0.00141537905777788	0.00705689289467952	0.00381460995613199
SP.DYN.CDRT.IN_rank	0.00141356785364995	0.000551947571324949	0.000381460995613199
SP.DYN.LE00.FE.IN	0.00139228393344548	0.00185674317097052	0.0013351134846462
FI.RES.TOTL.CD	0.00124379684939723	4.65243163568923e-05	0.000190730497806599
SP.DYN.LE00.MA.IN	0.00114159328878337	0.000186097265427569	0.000381460995613199
SP.POP.5054.MA.5Y_delta1	0.00112090265834798	0.00117156687553265	0.000762921991226397
FP.CPI.TOTL_min2	0.00106146742204659	0.000848011402686991	0.00152584398245279
SH.DYN.NMRT	0.00101938736930937	0.000428235184648667	0.000381460995613199
BX.GSR.NFSV.CD_ratioavg2	0.000963128691973298	0.00131854142038738	0.00190730497806599
SP.POP.DPND_lag1	0.000919100697033193	0.000807831311287857	0.000572191493419798
AG.CON.FERT.ZS_avg2	0.000909846948490087	0.00168439172628476	0.000953652489032996
SP.POP.5559.MA.5Y_rank	0.000896779380607541	0.00392601787802593	0.00209803547587259
YearsSinceFirst	0.000850291451251901	0.00065768465395425	0.000762921991226397
BG.GSR.NFSV.GD.ZS_rank	0.000819213820235015	0.000512824850752108	0.000572191493419798
TX.VAL.MRCH.RS.ZS	0.000776889970082283	0.000354219226808157	0.000381460995613199
SP.POP.1564.MA.ZS	0.000728741510905829	0.000435636780432718	0.000381460995613199
FS.AST.CGOV.GD.ZS_min2	0.000669190606091892	0.000378538755812896	0.000381460995613199
SP.POP.4549.MA.5Y_lag1	0.000663717160256488	0.00521706765692969	0.00247949647148579
SP.POP.4549.FE.5Y_lag1	0.000653600821090259	0.00351258588494537	0.00171657448025939
SP.POP.1014.MA.5Y_delta1	0.000648186903307202	0.000194556232037913	0.000381460995613199
NY.GNP.PCAP.CD	0.000643028522604764	0.000912511023090864	0.000572191493419798
IT.CEL.SETS.P2_min2	0.000570948716938133	0.000874445673344316	0.0011443829868396
AG.LND.AGRI.ZS	0.000569765929347135	0.000845896661034405	0.000953652489032996
NY.ADJ.NNTY.PC.CD	0.00056590138359135	0.000347875001850399	0.000381460995613199
SP.POP.80UP.FE.5Y_delta1	0.000554506402697597	0.0129760547802678	0.00610337592981118
NY.GDP.PCAP.KD.ZG_lag1	0.000553708999539856	9.30486327137845e-05	0.000381460995613199
MS.MIL.XPND.GD.ZS_avg2	0.000553073681578738	0.000142745061549556	0.000190730497806599
SP.POP.7579.FE.5Y_delta1	0.000550373810288808	0.00109649354686585	0.000572191493419798
NY.GDS.TOTL.ZS	0.000532053810612136	0.021500578381842	0.0101087163837498
SP.POP.BRTH.MF_lag1	0.000523069838162568	0.00144225380706366	0.00152584398245279
NV.IND.MANF.KD	0.000513809348678183	0.00143379484045332	0.0011443829868396
SH.IMM.MEAS_rank	0.000505134845087308	0.000252711627484028	0.000190730497806599
trade_balance_ratio	0.000492640777155734	0.000597414516855548	0.000953652489032996
SP.POP.4549.MA.5Y_rank	0.000491770703314054	0.00822634502855959	0.00381460995613199
SE.TER.ENRR_lag1	0.000484611270006649	0.00309069492525446	0.00228876597367919
NY.ADJ.DKAP.GN.ZS_isNA_rank	0.000475339365909974	0.000522341188188745	0.0013351134846462
BM.TRF.PWKR.CD.DT_min2	0.000475290384264007	0.0015871136102658	0.00152584398245279
SP.DYN.IMRT.IN	0.000459477325888108	9.83354868452495e-05	0.000190730497806599
PA.NUS.FCRF	0.000456247996164623	0.0150178378458396	0.00762921991226397
EG.USE.ELEC.KH.PC_max2	0.000437138018882567	0.0168280567004532	0.00781995041007057
AG.LND.PRCP.MM_avg2	0.00042854745476513	0.000220990502695238	0.000190730497806599
TX.VAL.MRCH.RS.ZS_rank	0.000422528166124135	0.000317211247887902	0.000190730497806599
EN.GHG.CH4.WA.MT.CE.AR5_lag1	0.000418375875291433	6.34422495775804e-05	0.000190730497806599
BM.GSR.FCTY.CD_isNA_rank	0.000405012484137917	0.000856470369297335	0.000572191493419798
SP.POP.4549.MA.5Y	0.000366788273380487	0.00373992061259836	0.00190730497806599
NY.GDP.FRST.RT.ZS_rank	0.000360000978573608	0.00117368161718524	0.000762921991226397
SP.POP.5559.FE.5Y	0.000346098594850997	0.00430667137549141	0.00209803547587259
