Feature	Gain	Cover	Frequency
NE.CON.PRVT.PC.KD	0.42174026558079	0.000912604533450704	0.000658713313327966
NY.GDP.PCAP.KD	0.314198115012678	0.0030304384903169	0.00168337846739369
EN.URB.LCTY_max2	0.0871442275457414	0.000721074493838028	0.000878284417770621
NY.GDP.DEFL.ZS	0.0207970534494599	0.000333888094190141	0.000658713313327966
NY.GDP.DEFL.ZS_lag1	0.0203359146073031	0.000324260013204225	0.00080509404962307
SH.IMM.IDPT_rank	0.00779084361593711	0.00117015569982394	0.000951474785918173
SG.LAW.INDX_lag1	0.00648656046882938	0.000119663292253521	0.000146380736295104
FP.CPI.TOTL_max2	0.00587693763930898	8.80281690140845e-05	0.000292761472590207
EG.ELC.PETR.ZS_lag1	0.00572094332588331	0.000928422095070422	0.000878284417770621
EG.ELC.PETR.ZS_avg2	0.00563134532315535	0.000524730413732394	0.000731903681475518
PA.NUS.ATLS	0.00470162329180188	0.000388217979753521	0.000585522945180414
MS.MIL.XPND.GD.ZS_max2	0.00400764964473516	0.000133417693661972	0.000219571104442655
trade_balance_ratio	0.00375217700185049	0.00135412081866197	0.00219571104442655
SE.ENR.PRIM.FM.ZS	0.00369907606263193	0.000439453125	0.000585522945180414
SH.DYN.MORT.FE	0.00291870774090783	0.0014067314040493	0.000878284417770621
SP.POP.BRTH.MF_lag1	0.002712487427676	0.000478309308978873	0.000512332577032862
EN.GHG.CH4.MT.CE.AR5_min2	0.00242278496724415	4.50456646126761e-05	7.31903681475518e-05
EN.GHG.CH4.WA.MT.CE.AR5_max2	0.00230135094348691	5.08912852112676e-05	0.000219571104442655
NY.ADJ.DMIN.CD_lag1	0.0021753170613177	0.000221789722711268	0.000439142208885311
SM.POP.RHCR.EO_lag1	0.002097873325398	0.00115193111795775	0.000878284417770621
EG.ELC.PETR.ZS_max2	0.00206610766480916	0.000830765845070423	0.000731903681475518
EN.URB.LCTY_tend2	0.00188117366925363	0.000361396897007042	0.000439142208885311
BG.GSR.NFSV.GD.ZS_max2	0.00188050923019925	0.000303284551056338	0.000585522945180414
SH.IMM.MEAS_rank	0.00177435496249648	0.000362084617077465	0.000292761472590207
BG.GSR.NFSV.GD.ZS	0.00177204476848805	0.000301565250880282	0.000512332577032862
SM.POP.RHCR.EO	0.00172313502954649	0.00229560959507042	0.00190294957183635
FP.CPI.TOTL_min2	0.00171809305464055	0.000366554797535211	0.000512332577032862
FP.CPI.TOTL_rank	0.00170938328478337	0.00020356514084507	0.000439142208885311
AG.CON.FERT.ZS_min2	0.00170682468629563	0.000210098481514085	0.000365951840737759
FS.AST.CGOV.GD.ZS_lag1	0.00160250452494674	0.000569776078345071	0.000731903681475518
PA.NUS.ATLS_lag1	0.0015262859886396	0.000232105523767606	0.000439142208885311
ER.FSH.AQUA.MT_min2	0.00149548125320395	8.18386883802817e-05	0.000146380736295104
IT.CEL.SETS.P2_min2	0.0013996913739427	0.000406442561619718	0.000731903681475518
SP.DYN.CDRT.IN_rank	0.00139723586500987	0.000244484485035211	0.000512332577032862
SH.DYN.MORT.FE_lag1	0.00138276513120914	0.000347986355633803	0.000365951840737759
SP.DYN.AMRT.MA	0.00137150039030441	0.00488865812059859	0.00270804362145942
SP.POP.6064.MA.5Y_delta1	0.00116397148593417	0.00148719465228873	0.00161018809924614
SH.DYN.NMRT	0.00114167360552203	0.00031463193221831	0.000219571104442655
NE.TRD.GNFS.ZS	0.00111680598586522	0.0060577822403169	0.00373270877552514
SP.DYN.AMRT.MA_lag1	0.00106701615570602	0.00284853653169014	0.0019761399399839
SP.POP.4549.FE.5Y_lag1	0.00104710544902524	0.0074187802596831	0.00387908951182025
NV.SRV.TOTL.ZS_rank	0.00100389852218161	0.00049378301056338	0.000292761472590207
EN.GHG.CH4.WA.MT.CE.AR5_lag1	0.000988060871409517	2.44140625e-05	7.31903681475518e-05
EN.POP.DNST_tend2	0.000921380867617863	0.000223165162852113	0.000512332577032862
EN.GHG.CH4.WA.MT.CE.AR5_avg2	0.000889014702606254	1.82245818661972e-05	7.31903681475518e-05
TM.VAL.MRCH.R4.ZS_lag1	0.000878587135187098	4.57333846830986e-05	0.000146380736295104
EG.USE.ELEC.KH.PC_max2	0.00083623537317633	0.00667397942341549	0.00329356656663983
demographic_pressure_lag1	0.000815923831617799	0.000379621478873239	0.000292761472590207
SP.POP.6064.FE.5Y_delta1	0.000815350492508377	0.00213812169894366	0.00182975920368879
SP.POP.3539.FE.5Y_delta1	0.000793662506885359	0.00098206426056338	0.00109785552221328
TM.VAL.MRCH.RS.ZS_lag1	0.00078526954960224	0.00080016230193662	0.000658713313327966
AG.LND.ARBL.HA.PC_min2	0.000741124692975224	0.00497703014964789	0.00248847251701676
BX.GSR.CMCP.ZS_lag1	0.000705826281341055	0.00026580380721831	0.000658713313327966
IT.MLT.MAIN	0.000659807965129766	3.74807438380282e-05	0.000146380736295104
SP.DYN.LE00.FE.IN	0.000658960763849302	0.00018981073943662	0.000219571104442655
DT.ODA.ODAT.GN.ZS	0.000644150959953675	0.00103708186619718	0.000658713313327966
PA.NUS.FCRF	0.000625670194638924	0.00467580875880282	0.00270804362145942
SP.POP.2024.FE.5Y_rank	0.000613286742869573	0.000149579115316901	7.31903681475518e-05
SP.POP.1519.MA.5Y_delta1	0.000608490572030902	0.00023588798415493	0.000292761472590207
SH.DTH.MORT	0.000598803260757217	0.000128603653169014	0.000146380736295104
SH.DYN.NMRT_lag1	0.000598096433803046	0.00210373569542254	0.00139061699480348
SP.POP.3034.FE.5Y_delta1	0.000595940276791043	0.002490234375	0.00190294957183635
demographic_pressure	0.000590382321483243	0.000445986465669014	0.000439142208885311
