Feature	Gain	Cover	Frequency
NE.CON.PRVT.PC.KD	0.213456734683426	0.00207391939226871	0.00116790115868089
SP.URB.TOTL.IN.ZS	0.200021391636296	0.00126895148431147	0.000983495712573378
SP.URB.TOTL.IN.ZS_rank	0.0914083234231128	0.000632620549927212	0.000307342410179181
SP.RUR.TOTL.ZS	0.0879343627329268	0.00118676646858779	0.00110643267664505
NE.CON.PRVT.PC.KD_avg2	0.0631615968030732	0.000175315665595664	0.000122936964071672
NY.GDP.PCAP.KD	0.0601910838116802	0.0039793873301873	0.00190552294311092
EN.URB.LCTY_avg2	0.0446360113398441	0.000883442539223866	0.00095276147155546
SP.RUR.TOTL.ZS_rank	0.0342159838831917	0.000278649872724537	0.000215139687125426
NY.GDP.PCAP.KD_rank	0.0271877450104251	0.000920175345348671	0.000399545133232935
NY.GDP.DEFL.ZS	0.0146118233322857	0.00116858558474824	0.00175185173802133
EN.URB.LCTY_lag1	0.0146095739604587	0.000368997734253731	0.000399545133232935
TX.VAL.MRCH.OR.ZS_lag1	0.0143286519853888	0.000459531115005778	0.000983495712573378
EN.URB.LCTY_min2	0.0107158308951621	0.000227446567217232	0.000245873928143345
NY.GDP.DEFL.ZS_lag1	0.00671196627455333	0.00143925813089012	0.00224359959430802
TX.VAL.MRCH.OR.ZS	0.0052827144647113	0.00049811911335911	0.000891292989519624
EN.URB.LCTY	0.00438074315469984	0.000240247393594058	0.000307342410179181
SH.DTH.MORT	0.00416974982626571	0.000226704490325822	0.000338076651197099
EG.ELC.PETR.ZS_max2	0.00379865914078687	0.000245256412611077	0.000614684820358361
EN.GHG.CH4.WA.MT.CE.AR5_max2	0.00356377241413908	0.000106488033917366	0.000245873928143345
SP.POP.BRTH.MF_lag1	0.00301104343228494	0.00121941785180984	0.00138304084580631
FP.CPI.TOTL_rank	0.0026954368240116	0.000207224971926304	0.000491747856286689
trade_balance_ratio	0.00260300850676358	0.00153183222309354	0.0028890186556843
EG.ELC.PETR.ZS_avg2	0.00254577770238353	0.000129306898328231	0.000276608169161263
SH.IMM.MEAS_rank	0.00251468829919335	0.00109697516472716	0.000829824507483788
EN.GHG.CH4.WA.MT.CE.AR5_avg2	0.00219506789248451	0.00011836126417993	0.000307342410179181
SH.DTH.MORT_lag1	0.00205514717655822	0.00114038666287465	0.000706887543412115
SH.DTH.NMRT	0.00205133816117597	0.000669724394497723	0.000491747856286689
NE.IMP.GNFS.ZS	0.00161439454275192	0.00103760901341434	0.00107569843562713
DT.ODA.ODAT.GN.ZS	0.00149461599605813	0.000375119868607866	0.000276608169161263
SH.IMM.IDPT_rank	0.00141314130527051	0.00156615327932127	0.00122936964071672
PA.NUS.ATLS	0.00135527198858573	0.000247297124062455	0.000461013615268771
SP.RUR.TOTL_delta1	0.00131805174260779	0.000353414119534117	0.000676153302394197
demographic_pressure	0.0013099164344833	0.000385137906641904	0.000215139687125426
SP.POP.2024.MA.5Y	0.0012924945779763	0.00137061601843467	0.000737621784430033
NY.GDP.FRST.RT.ZS_lag1	0.00127996816424101	0.000452110346091676	0.000491747856286689
