Feature	Gain	Cover	Frequency
NE.CON.PRVT.PC.KD	0.421740520826404	0.00145691998490717	0.000985329537989928
NY.GDP.PCAP.KD	0.31419896611659	0.00523012713397966	0.00284650755419312
EN.URB.LCTY_max2	0.0871442734569826	0.00107651910089864	0.0013137727173199
NY.GDP.DEFL.ZS	0.0207645925661565	0.000257194119957186	0.000766367418436611
NY.GDP.DEFL.ZS_lag1	0.0203348091896057	0.000432763758730354	0.000985329537989928
SH.IMM.IDPT_rank	0.00779404647816921	0.0014271450169281	0.00109481059776659
SG.LAW.INDX_lag1	0.00648656388622203	0.000178649807874452	0.000218962119553317
FP.CPI.TOTL_max2	0.00587193043321873	0.00013450071742272	0.000328443179329976
EG.ELC.PETR.ZS_lag1	0.00572094617990914	0.000935858045273352	0.000875848478213269
EG.ELC.PETR.ZS_avg2	0.00563134817251857	0.000413769382605772	0.000547405298883293
PA.NUS.ATLS	0.00470192175394128	0.00035319272361386	0.000656886358659952
MS.MIL.XPND.GD.ZS_max2	0.00399901423029761	0.000150414924446019	0.000328443179329976
SE.ENR.PRIM.FM.ZS	0.00369907837033386	0.000350112554512576	0.000766367418436611
trade_balance_ratio	0.00368578751727239	0.00102877647982874	0.00197065907597986
SH.DYN.MORT.FE	0.00285164383709954	0.0021181296186494	0.0013137727173199
SP.POP.BRTH.MF_lag1	0.00271248879528428	0.000777229336557244	0.000656886358659952
EN.GHG.CH4.MT.CE.AR5_min2	0.00242278624366909	6.72503587113599e-05	0.000109481059776659
EN.GHG.CH4.WA.MT.CE.AR5_max2	0.00230124582359906	5.23628747218222e-05	0.000218962119553317
NY.ADJ.DMIN.CD_lag1	0.0021657169666447	0.00011807314888254	0.000328443179329976
SM.POP.RHCR.EO_lag1	0.0020983473153052	0.00088349517055153	0.000875848478213269
EG.ELC.PETR.ZS_max2	0.00206610505224683	0.0004209564438421	0.000547405298883293
EN.URB.LCTY_tend2	0.00188117433667796	0.0001006188573086	0.000328443179329976
BG.GSR.NFSV.GD.ZS_max2	0.00187954783418943	0.000459971919125027	0.000656886358659952
SH.IMM.MEAS_rank	0.00177414303055641	0.000170436023604363	0.000218962119553317
BG.GSR.NFSV.GD.ZS	0.0017715222392611	0.000530815808454551	0.000766367418436611
FP.CPI.TOTL_min2	0.00171826139353679	0.000444571073618608	0.000766367418436611
SM.POP.RHCR.EO	0.0017159109587032	0.00299238428189708	0.00251806437486315
FP.CPI.TOTL_rank	0.001708950086282	0.000114479618264376	0.000218962119553317
AG.CON.FERT.ZS_min2	0.00170698459382529	0.00039580172951495	0.000437924239106635
FS.AST.CGOV.GD.ZS_lag1	0.00162928998165153	0.000912756777013725	0.000875848478213269
PA.NUS.ATLS_lag1	0.00152628697272415	0.000421983166875862	0.000656886358659952
ER.FSH.AQUA.MT_min2	0.00149548216054188	0.000122180041017585	0.000218962119553317
IT.CEL.SETS.P2_min2	0.00140298187586283	0.000568804560703716	0.00109481059776659
SP.DYN.AMRT.MA	0.00139931532139826	0.00705718077255775	0.00394131815195971
SP.DYN.CDRT.IN_rank	0.00139723650705175	0.000291075980071306	0.000656886358659952
SH.DYN.MORT.FE_lag1	0.00138275772272946	0.000167355854503079	0.000218962119553317
TM.VAL.MRCH.RS.ZS_lag1	0.00121553282675154	0.000669423418012316	0.000656886358659952
SP.POP.6064.MA.5Y_delta1	0.00115502419455573	0.00224030965966698	0.00175169695642654
SH.DYN.NMRT	0.00114715113634427	0.00130753178349491	0.000766367418436611
NE.TRD.GNFS.ZS	0.00111911281408082	0.00742782778774555	0.00426976133128969
SP.DYN.AMRT.MA_lag1	0.00106633731143633	0.00502632261177805	0.00284650755419312
EN.GHG.CH4.WA.MT.CE.AR5_lag1	0.000988061391961507	3.64486676985233e-05	0.000109481059776659
EG.USE.ELEC.KH.PC_max2	0.000926335539385736	0.0107549237786488	0.00536457192905627
EN.POP.DNST_tend2	0.000921367358493623	0.000149388201412258	0.000437924239106635
EN.GHG.CH4.WA.MT.CE.AR5_avg2	0.000889015170976559	2.72081603946723e-05	0.000109481059776659
TM.VAL.MRCH.R4.ZS_lag1	0.000878588612280447	0.00016786921601996	0.000328443179329976
SP.POP.4549.FE.5Y_lag1	0.000854545590836296	0.0113755778525574	0.00602145828771623
demographic_pressure_lag1	0.000813302553044336	0.000401448706200637	0.000328443179329976
SP.POP.3539.FE.5Y_delta1	0.000788638952842501	0.000804437496951916	0.00109481059776659
SP.POP.6064.FE.5Y_delta1	0.000771878958587272	0.00184656137621955	0.00164221589664988
BX.GSR.CMCP.ZS_lag1	0.0007049958117866	0.000117046425848779	0.000437924239106635
AG.LND.ARBL.HA.PC_min2	0.000703765131669459	0.00796583065743643	0.00394131815195971
IT.MLT.MAIN	0.000659843189825144	0.00016838257753684	0.000218962119553317
SP.DYN.LE00.FE.IN	0.0006590016300477	0.000199184268549677	0.000328443179329976
SP.POP.3034.FE.5Y_delta1	0.000639735118376497	0.00389179365947191	0.00262754543463981
demographic_pressure	0.000628086729839598	0.00163864996188291	0.000985329537989928
SP.POP.2024.FE.5Y_rank	0.000613413697738343	0.000428143505078429	0.000328443179329976
NV.SRV.TOTL.ZS_rank	0.000612775587121592	0.000446624519686131	0.000218962119553317
SP.POP.1519.MA.5Y_delta1	0.000608525924851261	0.000388101306761741	0.000547405298883293
SH.DYN.NMRT_lag1	0.000601137433407622	0.002321934140851	0.0013137727173199
PA.NUS.FCRF	0.000599703623024119	0.00665675878939087	0.00394131815195971
SH.DTH.MORT	0.000599241541303292	0.000370647015187801	0.000437924239106635
MS.MIL.XPND.GD.ZS_lag1	0.000557334318481104	0.000275161773048007	0.000656886358659952
SP.DYN.TO65.FE.ZS	0.000538526458342667	0.000807004304536319	0.000875848478213269
year	0.000526766893838848	0.00160887499390383	0.00109481059776659
FP.CPI.TOTL	0.000502248908369403	0.000608846759020404	0.0013137727173199
NY.GDS.TOTL.ZS	0.000499126599041255	0.00115352332843073	0.000985329537989928
NY.GNP.PCAP.CD	0.000492624905230832	0.00117251770455531	0.000985329537989928
SP.DYN.AMRT.FE	0.000458255329461882	0.00190713803521147	0.0013137727173199
ER.FSH.AQUA.MT_max2	0.000454253039022996	8.26512042177782e-05	0.000109481059776659
SE.SEC.ENRL_delta1	0.000442941146492015	0.00033676515507368	0.000547405298883293
AG.LND.AGRI.K2	0.000423389230772144	0.000446624519686131	0.000218962119553317
BX.GRT.EXTA.CD.WD_max2	0.000419890388555907	0.000152468370513541	0.000218962119553317
DT.ODA.ODAT.GN.ZS	0.000415163431171242	0.000618087266324255	0.000437924239106635
TX.VAL.MRCH.HI.ZS_lag1	0.000411325019221277	0.000139120971074645	0.000328443179329976
EG.USE.PCAP.KG.OE	0.00040850900859967	0.00374137873502589	0.00240858331508649
TM.VAL.MRCH.WR.ZS_lag1	0.000391133200446936	0.00034497893934377	0.000328443179329976
NY.ADJ.DRES.GN.ZS	0.000371316129026288	0.000314177248330933	0.000437924239106635
SP.POP.5054.MA.5Y_lag1	0.000368367210808581	0.00300316487375157	0.00229910225530983
AG.LND.AGRI.ZS	0.000365100604084701	0.000498474032891072	0.000656886358659952
SP.DYN.IMRT.IN	0.000356765887276587	0.000618087266324255	0.000328443179329976
SH.DTH.IMRT	0.000339046725169274	0.000157088624165467	0.000437924239106635
SP.POP.3539.FE.5Y	0.000316764872365927	0.000397855175582473	0.000766367418436611
TM.VAL.MRCH.R1.ZS	0.00031080531325734	0.00122744738686154	0.00142325377709656
SP.DYN.TO65.MA.ZS_lag1	0.000309898253430591	0.000335225070523038	0.000328443179329976
EN.GHG.CH4.MT.CE.AR5_tend2	0.000301093989133068	0.000415822828673294	0.000547405298883293
BM.TRF.PWKR.CD.DT	0.000296961253276513	0.000444057712101728	0.000656886358659952
BM.GSR.CMCP.ZS_min2	0.000290522083170163	0.00063092130424627	0.000766367418436611
TX.VAL.MRCH.OR.ZS_lag1	0.000286661995881522	0.000139634332591526	0.000328443179329976
IT.CEL.SETS.P2	0.000286193115882521	0.000559564053399865	0.000656886358659952
SP.POP.2529.FE.5Y	0.00027657983640552	0.000741807391892482	0.000875848478213269
NY.GNP.ATLS.CD_delta1	0.000261452392071301	0.000291075980071306	0.000437924239106635
NY.GDP.FCST.KD	0.000261001855524119	0.000253600589339021	0.000328443179329976
SP.POP.4044.FE.5Y_delta1	0.000258360956242269	0.00271054880912962	0.0018611780162032
SH.DTH.IMRT_lag1	0.000255649407948347	0.000192510568830229	0.000218962119553317
SP.POP.1564.FE.ZS_rank	0.000252692563172938	2.87482449453142e-05	0.000109481059776659
SP.POP.5559.FE.5Y_lag1	0.000230397397052187	0.00521729309605764	0.00295598861396978
EN.GHG.CO2.BU.MT.CE.AR5	0.000227845723039161	0.000444057712101728	0.000437924239106635
SP.POP.TOTL_delta1	0.000211713623752398	5.18495132049416e-05	0.000218962119553317
NE.EXP.GNFS.ZS	0.000207234532589613	0.00112888197562046	0.000766367418436611
EG.USE.PCAP.KG.OE_min2	0.000206934819298768	0.00151646992086532	0.000875848478213269
SP.POP.80UP.FE.5Y_delta1	0.000202943253595022	0.00363819307013288	0.00197065907597986
EN.GHG.N2O.BU.MT.CE.AR5_ratioavg2	0.000197693011647176	0.000643241980651404	0.000985329537989928
SP.POP.0509.FE.5Y_lag1	0.000194794600879476	0.0033358231366902	0.00175169695642654
TX.VAL.MRCH.R1.ZS_rank	0.000191446405752561	0.00024384672051829	0.000218962119553317
NY.GSR.NFCY.CN	0.000185840634325599	0.00448934646512094	0.00295598861396978
SP.POP.4549.MA.5Y_delta1	0.000184333602022158	0.00130188480680923	0.00109481059776659
NY.ADJ.NNTY.PC.CD	0.000179320087888847	0.00110218717674267	0.0013137727173199
SE.SEC.ENRL.GC.FE.ZS_lag1	0.000166047188345549	2.77215219115529e-05	0.000109481059776659
SE.SEC.ENRR	0.000162400365387508	0.000444571073618608	0.000766367418436611
SP.POP.4549.MA.5Y	0.000156806271661573	0.0014800212531668	0.000875848478213269
NE.IMP.GNFS.CN_delta1	0.000153006012989267	0.000757721598915781	0.000875848478213269
NY.ADJ.NNTY.PC.CD_lag1	0.000150897180828013	0.000498987394407953	0.000547405298883293
ER.H2O.INTR.PC_min2	0.000147344389347362	7.13572508464048e-05	0.000109481059776659
FM.AST.DOMS.CN_tend2	0.000146818896729457	0.00347853763838301	0.00229910225530983
IS.AIR.GOOD.MT.K1_max2	0.000145776457168557	0.0067116884716971	0.00339391285307642
EN.GHG.CO2.IC.MT.CE.AR5_avg2	0.000145044377021897	4.72292595530161e-05	0.000109481059776659
TX.VAL.MRCH.WR.ZS	0.000142228533181178	6.9817166295763e-05	0.000218962119553317
SP.POP.0509.MA.5Y_lag1	0.00014071112975873	0.00177828429447443	0.00120429165754325
EN.GHG.N2O.WA.MT.CE.AR5	0.000139452837608297	0.000101645580342361	0.000218962119553317
SE.ENR.PRIM.FM.ZS_lag1	0.000139262145468266	2.31012682596275e-05	0.000109481059776659
NV.IND.TOTL.ZS_rank	0.000137396658002459	0.000606793312952881	0.000875848478213269
FM.AST.DOMS.CN_lag1	0.000136002754707631	0.000401448706200637	0.000328443179329976
NY.ADJ.DKAP.GN.ZS_lag1	0.000135568870912458	0.00016786921601996	0.000547405298883293
NV.SRV.TOTL.KD_lag1	0.00012566455558626	0.000123206764051346	0.000218962119553317
TX.VAL.MMTL.ZS.UN_lag1	0.000124928735107502	0.000264894542710395	0.000437924239106635
NE.IMP.GNFS.KD.ZG_delta1	0.000122939435207993	0.000306476825577724	0.000985329537989928
SP.POP.4549.FE.5Y	0.000122328483471876	0.00127364992338079	0.000875848478213269
FI.RES.TOTL.MO_avg2	0.00011723321833177	0.000132447271355197	0.000109481059776659
AG.YLD.CREL.KG_min2	0.00011624349291671	0.00227675832736551	0.0018611780162032
NV.AGR.TOTL.ZS_rank	0.000110999332763645	3.64486676985233e-05	0.000109481059776659
NV.IND.TOTL.CN_delta1	0.000108374621838634	0.00221053469168791	0.00164221589664988
EG.USE.ELEC.KH.PC_avg2	0.000106991796093696	0.00441644912972389	0.00229910225530983
SP.POP.0509.MA.5Y	0.000106966190047262	0.00312893844538732	0.00175169695642654
NY.ADJ.DKAP.CD_delta1	0.000106439934036023	0.000245900166585812	0.000328443179329976
