Feature	Gain	Cover	Frequency
SP.URB.TOTL.IN.ZS	0.371425169404404	0.0030047729914705	0.00123724095267553
SP.RUR.TOTL.ZS	0.239044161797242	0.00246875112352145	0.00092793071450665
NE.CON.PRVT.PC.KD	0.0980906205950737	0.0028010411026362	0.00123724095267553
NY.GDP.PCAP.KD_rank	0.0609219759546097	0.00284788854231468	0.00108258583359109
EN.URB.LCTY_lag2	0.0389864788831049	0.00116029123854825	0.00108258583359109
SP.URB.TOTL.IN.ZS_rank	0.0389698976057804	0.00211902953894493	0.000773275595422209
SP.RUR.TOTL.ZS_rank	0.0171233522166893	0.000423805907788986	0.000154655119084442
SH.DTH.MORT_lag2	0.0165898624820984	0.000306142570922121	0.000309310238168883
EN.URB.LCTY_avg2	0.012433881597131	0.000300695194215322	0.000309310238168883
NY.GDP.DEFL.ZS	0.00735703728712241	0.000284353064094924	0.000618620476337767
SH.MMR.DTHS_lag1	0.00493046676974307	0.000166689727228059	0.000154655119084442
TX.VAL.MRCH.OR.ZS_lag1	0.00426806141745619	0.000345363683211076	0.000618620476337767
NE.TRD.GNFS.ZS	0.00344743884413648	0.00127686510007376	0.00170120630992886
EN.GHG.CO2.FE.MT.CE.AR5_min2	0.00319876652670656	8.28001259433495e-05	0.000154655119084442
SH.IMM.IDPT_rank	0.00317803256011426	0.00205039259243926	0.00092793071450665
EG.ELC.PETR.ZS_max2	0.00283776334180863	0.00063080622264736	0.000463965357253325
SP.POP.5054.FE.5Y_delta1	0.00280434624432902	0.000793138048509979	0.00123724095267553
trade_balance_ratio_lag1	0.0024820470317276	0.00202424518424662	0.00154655119084442
SP.POP.0509.MA.5Y_lag2	0.00232184220621625	0.0070380107051847	0.00262913702443551
NY.GDP.PCAP.KD	0.00211743649546798	0.00257660918231607	0.00108258583359109
TX.VAL.MRCH.WR.ZS_lag1	0.00205114403731096	0.000347542633893796	0.000463965357253325
EG.ELC.PETR.ZS_min2	0.00204585498065031	8.71580273087889e-05	0.000154655119084442
NY.GDP.DEFL.ZS_lag2	0.0020168643512108	0.000509874459756415	0.000463965357253325
NE.IMP.GNFS.ZS	0.00190560323605807	0.000689637891080792	0.000618620476337767
EN.GHG.CH4.WA.MT.CE.AR5_max2	0.00169129766631697	8.71580273087889e-05	0.000154655119084442
TX.VAL.MRCH.WR.ZS	0.00165774004728498	0.000260384606585007	0.000463965357253325
TX.VAL.MRCH.OR.ZS_lag2	0.001499378749962	0.000351900535259235	0.000618620476337767
EN.GHG.CO2.PC.CE.AR5	0.00137553718296626	0.000419448006423547	0.000773275595422209
EN.GHG.CH4.WA.MT.CE.AR5_min2	0.00134892428442298	8.49790766260692e-05	0.000154655119084442
FS.AST.CGOV.GD.ZS_min2	0.00116631640297846	0.0013977968629647	0.00108258583359109
EN.GHG.CH4.FE.MT.CE.AR5_avg2	0.00115857719455289	0.000166689727228059	0.000154655119084442
SP.POP.1014.FE.5Y_delta1	0.00115394899744678	8.82475026501488e-05	0.000154655119084442
SH.IMM.MEAS_rank	0.00113526310465957	0.000433611185861225	0.000309310238168883
BG.GSR.NFSV.GD.ZS_rank	0.00113106396086097	0.0004695638721261	0.000618620476337767
EN.GHG.CH4.WA.MT.CE.AR5_lag2	0.0011287201116436	0.000211358216223813	0.000309310238168883
SH.IMM.IDPT	0.00104620367116154	0.00154923393541372	0.00108258583359109
NY.ADJ.DMIN.CD_lag1	0.000962558504566006	0.00023532667373373	0.000463965357253325
