Feature	Gain	Cover	Frequency
NE.CON.PRVT.PC.KD	0.329235092014534	0.00171037603491011	0.000933358222885944
NY.GDP.PCAP.KD	0.316275121995086	0.00479809606539602	0.00280007466865783
EN.URB.LCTY_lag2	0.101806698676862	0.00106518080465932	0.00130670151204032
SP.URB.TOTL.IN.ZS	0.0923114168732912	0.000538242382109484	0.000466679111442972
NY.GDP.DEFL.ZS	0.0188191312164977	0.000441723958177089	0.00102669404517454
NY.GDP.DEFL.ZS_lag1	0.0103791801128294	0.0004912874731694	0.000746686578308755
SH.IMM.IDPT_rank	0.00755669762122369	0.000676063735202139	0.000560014933731566
EG.ELC.PETR.ZS_lag1	0.00624412848432961	0.000116952504674839	0.000280007466865783
EG.ELC.PETR.ZS_lag2	0.00543291191947785	0.00024173082750636	0.000466679111442972
NY.GDP.DEFL.ZS_lag2	0.00535095059086557	0.000108691918842788	0.000186671644577189
FP.CPI.TOTL_rank	0.00485876315192299	0.000457810362165821	0.000840022400597349
EG.ELC.PETR.ZS_avg2	0.00381915770981739	0.000127821696559118	0.000280007466865783
SP.POP.BRTH.MF_lag2	0.00351876376859112	0.000820841371100732	0.000746686578308755
SE.ENR.PRIM.FM.ZS	0.0033450863034015	0.000172167999446976	0.000560014933731566
SH.DTH.MORT	0.00315905706580797	0.000583458220348084	0.000560014933731566
EN.GHG.CH4.WA.MT.CE.AR5_min2	0.00269929185360517	3.95638584587747e-05	9.33358222885944e-05
FP.CPI.TOTL_max2	0.00265234714665929	9.47793532309108e-05	0.000186671644577189
PA.NUS.ATLS	0.00265197555971164	0.000233905009349679	0.000373343289154377
NE.TRD.GNFS.ZS	0.00256514358843417	0.003655961382196	0.00214672391263767
SM.POP.RHCR.EO_lag2	0.00232713396095743	0.000465201412647131	0.000560014933731566
SE.SEC.ENRL_delta2	0.00231857846213809	0.000806928805488855	0.000840022400597349
EN.GHG.CH4.WA.MT.CE.AR5_lag2	0.00204350855975116	9.17359795033127e-05	0.000280007466865783
EN.URB.LCTY_tend2	0.0019992715432039	9.17359795033127e-05	0.000280007466865783
AG.LND.ARBL.HA.PC_lag2	0.00182346008310261	0.000411290220901108	0.000373343289154377
SP.ADO.TFRT_lag2	0.00178801760363023	0.00078605995707104	0.00121336568975173
PA.NUS.ATLS_lag1	0.00176294268019632	0.000146516706600078	0.000373343289154377
FP.CPI.TOTL_min2	0.00174654816268222	0.000216949070010204	0.000466679111442972
TM.VAL.MRCH.RS.ZS_lag1	0.00167575655218289	0.000788668563123267	0.000560014933731566
NY.ADJ.DMIN.CD_lag1	0.00163496094176157	0.000148255777301562	0.000373343289154377
SH.MMR.RISK_lag2	0.00154090135684592	0.000496939452949225	0.000466679111442972
ER.FSH.AQUA.MT_min2	0.00151374075980994	4.26072321863727e-05	9.33358222885944e-05
SP.POP.0014.FE.IN	0.00143450773782617	9.73879592831377e-05	0.000373343289154377
TM.VAL.MRCH.WR.ZS	0.00141665285311396	0.000211297090230379	0.000280007466865783
SG.LAW.INDX	0.00139760229502938	7.69538785406936e-05	9.33358222885944e-05
SM.POP.RHCR.EA_delta2	0.00133627513302467	0.000112604827921128	0.000186671644577189
TM.VAL.MRCH.RS.ZS_lag2	0.00124549029046964	0.000167385555017893	0.000373343289154377
ER.FSH.AQUA.MT_lag1	0.0011263361688508	0.000140864726820253	0.000186671644577189
SP.POP.5054.MA.5Y_delta2	0.00111943584458217	0.00197297571083428	0.00149337315661751
IT.CEL.SETS.P2_min2	0.00106188016551133	0.000536938079083371	0.000653350756020161
TM.VAL.MRCH.R4.ZS_lag2	0.00100555651759708	0.000167385555017893	0.000373343289154377
AG.PRD.CROP.XD_rank	0.000996520404153127	5.56502624475072e-05	0.000186671644577189
SE.ENR.PRIM.FM.ZS_lag1	0.000970483212182116	0.000269121191054742	0.000653350756020161
BM.GSR.TRAN.ZS_tend2	0.000939978593721624	0.000101300868361478	0.000466679111442972
NE.CON.PRVT.KD.ZG_lag2	0.000931820897408072	0.000152168686379903	0.000560014933731566
SM.POP.RHCR.EO	0.000895860367706199	0.00215166522541182	0.00186671644577189
NE.EXP.GNFS.ZS	0.000893877267424759	0.00201993061977436	0.0016800448011947
AG.CON.FERT.ZS_lag2	0.000893854192725211	0.00477505337860134	0.00298674631323502
SP.DYN.AMRT.MA	0.000892142988612807	0.00278686079912907	0.00149337315661751
SP.POP.7074.MA.5Y_delta2	0.000872718688113032	0.00039302997853552	0.000373343289154377
SH.DYN.MORT	0.00075931792928872	0.000723453411817594	0.000466679111442972
TM.VAL.MRCH.R4.ZS_lag1	0.000742589720364701	0.000243035130532473	0.000373343289154377
SH.DTH.NMRT_lag2	0.000729107385620029	0.00684802565477099	0.00354676124696659
IT.MLT.MAIN	0.000659807943941098	1.7390707014846e-05	9.33358222885944e-05
SP.DYN.AMRT.MA_lag2	0.000653917980288401	0.00102605171387591	0.000746686578308755
BG.GSR.NFSV.GD.ZS_rank	0.000647417958574464	0.000312597958591857	0.000373343289154377
FS.AST.CGOV.GD.ZS_lag2	0.000633474000108382	0.000787799027772524	0.000746686578308755
DC.DAC.JPNL.CD_avg2	0.00060800027049728	9.2605514854055e-05	9.33358222885944e-05
NV.SRV.TOTL.ZS_rank	0.000595859973901827	0.000452593150061368	0.000280007466865783
NY.GDP.PCAP.KD_lag1	0.000578219938454777	0.000632152199989653	0.000466679111442972
SP.DYN.AMRT.FE	0.000561194365992469	0.000446506402606171	0.000280007466865783
TX.VAL.MRCH.R1.ZS_lag2	0.000541773174628007	0.00122039286476682	0.000933358222885944
SP.DYN.CDRT.IN_rank	0.000527412684125907	0.000185645797383481	0.000373343289154377
NY.GNP.PCAP.CD	0.000519190051581211	0.000334771110035786	0.000373343289154377
SP.DYN.TO65.MA.ZS_lag2	0.000503580079486988	0.000625630684859085	0.000560014933731566
TX.VAL.MRCH.HI.ZS_lag2	0.000498376805470249	0.000119995878402437	0.000186671644577189
NE.EXP.GNFS.CN	0.00049472430876765	0.00233035473998937	0.0015867089789061
FI.RES.TOTL.MO_min2	0.000481433757290099	0.000579545311269743	0.000653350756020161
SP.POP.6064.MA.5Y_delta1	0.000477356894258555	0.000904751532447364	0.000746686578308755
AG.LND.ARBL.HA.PC_min2	0.000476615065235245	0.0060024025261741	0.00308008213552361
SP.POP.4549.FE.5Y_lag1	0.000455800643059283	0.00462418899524756	0.00252006720179205
PA.NUS.FCRF	0.000437771092672951	0.00422289843087998	0.00270673884636924
SP.POP.1519.FE.5Y_delta2	0.00042333180356346	0.000174776605499202	0.000373343289154377
FP.CPI.TOTL	0.000408849260515771	0.00083910161346632	0.00102669404517454
trade_balance_ratio	0.000403024985533233	0.000306945978812032	0.000560014933731566
EN.GHG.CH4.WA.MT.CE.AR5	0.000395486089588661	3.26075756528363e-05	9.33358222885944e-05
SP.POP.6064.FE.5Y_delta2	0.000394553503486585	0.00128039080396804	0.00149337315661751
SP.POP.5054.FE.5Y_delta2	0.000384505422260801	0.000869100583066929	0.000746686578308755
AG.LND.AGRI.K2	0.000379717992759492	0.000378247877572901	0.000186671644577189
NY.GDS.TOTL.ZS	0.000360593048366686	0.000771277856108421	0.000466679111442972
SP.DYN.TO65.FE.ZS	0.00035293047822305	0.000455201756113594	0.000466679111442972
SP.DYN.LE00.MA.IN	0.000345074895797034	7.91277169175494e-05	0.000186671644577189
NY.ADJ.DRES.GN.ZS	0.000338295885439276	0.000447810705632285	0.000466679111442972
SP.POP.0509.FE.5Y_lag2	0.000329944530862148	0.00189167415553987	0.00112002986746313
BM.GSR.CMCP.ZS_min2	0.000298950192473604	0.000201297433696843	0.000280007466865783
BG.GSR.NFSV.GD.ZS	0.000290662546837923	0.000134343211689685	0.000373343289154377
FP.CPI.TOTL_lag2	0.000290145908871664	0.000447810705632285	0.000653350756020161
SM.POP.NETM_lag2	0.000264813419915184	0.000454766988438223	0.000466679111442972
BM.GSR.TRAN.ZS_lag2	0.000264252123636526	9.825749463388e-05	0.000186671644577189
EN.GHG.CH4.WA.MT.CE.AR5_delta2	0.000261919753461234	9.78227269585088e-05	9.33358222885944e-05
SP.POP.3034.FE.5Y_delta1	0.000259579908446115	0.00295424635414697	0.00186671644577189
SP.POP.0509.MA.5Y	0.000256900042733195	0.00612109410155043	0.00354676124696659
