Feature	Gain	Cover	Frequency
NY.GDP.PCAP.KD	0.17995931922265	0.00179138042406096	0.00125174181053825
NE.CON.PRVT.PC.KD	0.172889164496312	0.000475373679355907	0.000448737630192957
SP.RUR.TOTL.ZS_rank	0.153439919644649	0.000392083264227749	0.000283413240121868
SP.URB.TOTL.IN.ZS	0.145790869846272	0.00045736985599851	0.000401502090172646
SP.RUR.TOTL.ZS	0.0607412212255014	0.000754432941395555	0.000637679790274202
NY.GDP.PCAP.CD	0.0430445327844396	0.00101121474524044	0.000755768640324981
EN.URB.LCTY_min2	0.0258468785931877	0.000281696185662701	0.000425119860182802
SP.URB.TOTL.IN.ZS_rank	0.0215714980518572	5.31021860642406e-05	4.72355400203113e-05
NY.GNP.PCAP.CD	0.0165472370892365	0.000276876980420569	0.000165324390071089
SP.POP.2024.FE.5Y_rank	0.0156161164630976	0.00169435982041277	0.001062799650457
SH.DTH.MORT_lag1	0.0151579823532433	0.00040999615918435	0.000566826480243735
TX.VAL.MRCH.R2.ZS	0.0147578497046251	0.000609220285326047	0.001062799650457
NY.GDP.DEFL.ZS_lag1	0.0138681883440355	0.00104740424875683	0.00181856829078198
SH.DTH.NMRT_delta1	0.00761222032598265	0.000596308452413167	0.000873857490375759
SH.IMM.IDPT_rank	0.00517251928240167	0.00058621539992493	0.000590444250253891
FP.CPI.TOTL_rank	0.00499921986406855	0.000317976617579879	0.000732150870314825
SP.RUR.TOTL_rank	0.00461279578888212	0.000233413204840592	0.000448737630192957
EN.URB.LCTY_avg2	0.00408050190450314	3.1006584671072e-05	4.72355400203113e-05
DT.ODA.ODAT.GN.ZS_rank	0.00350415306298105	0.00136992728637645	0.00108641742046716
DT.ODA.ODAT.GN.ZS	0.00324969460077791	0.000890098115381594	0.000850239720365603
BG.GSR.NFSV.GD.ZS	0.00299129230401244	0.000798987857785071	0.000755768640324981
BG.GSR.NFSV.GD.ZS_max2	0.00288260903173222	0.000199405982943287	0.000495973170213268
SP.POP.80UP.MA.5Y_lag1	0.002526919208702	0.000536477564690101	0.000448737630192957
EG.ELC.PETR.ZS_avg2	0.00223527739339206	7.59252146637686e-05	0.000212559930091401
FP.CPI.TOTL_max2	0.00220999219308326	0.000170308894688908	0.00037788432016249
SP.POP.4044.MA.5Y	0.00185687837198781	0.00130518626501046	0.000944710800406226
EG.ELC.PETR.ZS_max2	0.00172693422331327	4.00084963497703e-05	0.000118088850050778
SH.IMM.MEAS_rank	0.00145332578162876	0.000452550650756379	0.000472355400203113
MS.MIL.XPND.GD.ZS_max2	0.0014493295367901	0.000241323975709751	0.000401502090172646
EN.GHG.CH4.WA.MT.CE.AR5_lag1	0.00143074327158216	3.79171431314868e-05	9.44710800406226e-05
SP.POP.7579.MA.5Y	0.00139134108116954	5.73758209016024e-05	0.000118088850050778
TX.VAL.MRCH.RS.ZS_rank	0.00133783806266341	0.000452823435958764	0.000472355400203113
TX.VAL.MRCH.OR.ZS_lag1	0.00132532845681476	0.00022159251273725	0.000401502090172646
EG.ELC.PETR.ZS_min2	0.00129787796881729	0.000160488627403056	0.000354266550152335
SP.DYN.AMRT.FE_lag1	0.00117025515341442	0.00977443937185206	0.00666021114286389
SP.DYN.LE00.FE.IN	0.00114588025478696	0.000534931781876588	0.000401502090172646
NE.EXP.GNFS.ZS	0.001095796273707	0.000899100027060292	0.000708533100304669
FM.AST.NFRG.CN	0.0010817873096012	0.0109819685344088	0.00765215748329043
TX.VAL.MRCH.OR.ZS	0.00107127441246728	0.00111032670210692	0.00162962613070074
SH.MMR.DTHS_lag1	0.00106411699828168	0.0150740193553831	0.00904560591388961
year	0.000994348473303767	0.00136410786872558	0.00111003519047732
AG.PRD.CROP.XD_max2	0.000894182553441132	0.000201224550959186	0.000401502090172646
SP.POP.80UP.FE.5Y_lag1	0.000858800907601055	4.61006992030308e-05	0.000118088850050778
ER.FSH.AQUA.MT_min2	0.000810165545454673	0.0176622962840109	0.0105807609645497
MS.MIL.XPND.GD.ZS_lag1	0.000807451228157623	0.000172309319506397	0.000330648780142179
FP.CPI.TOTL_lag1	0.000802627288516227	3.14612266750466e-05	7.08533100304669e-05
