Feature	Gain	Cover	Frequency
NE.CON.PRVT.PC.KD	0.484503639786311	0.00049250021970463	0.000502368307736472
SP.RUR.TOTL.ZS_rank	0.171990433698031	8.12380669539886e-05	5.87183736315357e-05
NY.GDP.PCAP.KD	0.047760529680564	0.000626532649264715	0.000456698461578611
BG.GSR.NFSV.GD.ZS_max2	0.0436582436489639	0.000170246989527526	0.000306640395631353
SG.LAW.INDX_lag1	0.0351177274866145	5.23494662920007e-05	6.5242637368373e-05
NY.GDP.DEFL.ZS	0.020875184533249	0.00024077788518893	0.000489319780262797
SP.POP.2024.FE.5Y_rank	0.0158628084433619	0.00070014815937052	0.000515416835210147
SG.LAW.INDX	0.0149909801236684	0.00010650817759466	0.00016963085715777
SH.IMM.IDPT_rank	0.0133604387802596	0.000705516574893949	0.000678523428631079
SP.POP.4044.FE.5Y	0.00908286475432679	0.000636023770632104	0.000437125670368099
TM.VAL.MRCH.AL.ZS_lag1	0.00892430042885036	0.00211135926768406	0.00170935709905137
EN.URB.LCTY_lag1	0.00774059072936958	1.71136782155719e-05	1.95727912105119e-05
NY.GDP.DEFL.ZS_lag1	0.00576702707606055	0.000235142531877043	0.000515416835210147
SP.POP.2529.FE.5Y_delta1	0.00501276584206766	0.000409838484545533	0.000495844043999635
SE.PRM.ENRR	0.00490539117306534	0.00022588868854384	0.000508892571473309
SE.ENR.PRIM.FM.ZS	0.00477653754688975	0.00118354283451331	0.00157234756057779
SP.DYN.CDRT.IN_rank	0.00451667912636092	5.59976160675906e-05	8.48154285788849e-05
SM.POP.RHCR.EO_lag1	0.00425383376823451	0.000521181202086706	0.000417552879157587
TM.VAL.MANF.ZS.UN	0.00398392598892159	0.000598622820493739	0.00065242637368373
SP.DYN.LE00.FE.IN_lag1	0.0039603643005302	0.00135358220576093	0.000756814593473127
EN.GHG.N2O.PI.MT.CE.AR5_max2	0.00340302276220145	5.10740968582579e-05	5.87183736315357e-05
EN.URB.LCTY_tend2	0.00338317646278551	0.000114990867316763	0.000163106593420932
FI.RES.TOTL.MO_min2	0.0032718700364411	0.000288203832271598	0.000267494813210329
EG.ELC.PETR.ZS_avg2	0.00302985162250808	4.2710046153247e-05	6.5242637368373e-05
SP.POP.1564.FE.ZS_lag1	0.00299250593915508	0.00044735807370099	0.000254446285736655
TX.VAL.FUEL.ZS.UN_lag1	0.00255036476453436	0.000231850299152731	0.000391455824210238
SH.DTH.MORT_lag1	0.00234512414239196	0.0193255543904875	0.00890562000078291
year	0.0022262502784082	0.000306652199429459	0.000274019076947166
SP.DYN.AMRT.FE	0.00203084344361613	0.000347434361554955	0.000326213186841865
NY.GSR.NFCY.CN_lag1	0.00191862098427868	0.00486399208250656	0.00289677309915576
SP.RUR.TOTL.ZS	0.0016507724777239	0.00130841040000301	0.00102430940668346
FP.CPI.TOTL_max2	0.00149916188136905	5.18749102236313e-05	0.000117436747263071
SE.PRM.ENRL.FE.ZS	0.00141460765957081	6.03872597000076e-05	0.000208776439578794
SP.POP.6064.MA.5Y_delta1	0.00139115782440546	0.000972395043843197	0.00101126087920978
NE.CON.PRVT.PC.KD_avg2	0.00136747447724896	1.36138272113475e-05	1.95727912105119e-05
SP.POP.3034.FE.5Y_lag1	0.00136122443103229	0.000154171402711513	0.000228349230789305
SP.POP.1519.MA.5Y_delta1	0.00135831618859687	0.00022829112863996	0.000371883032999726
TM.VAL.FOOD.ZS.UN	0.00131403235855121	0.000366624222569643	0.00041102861542075
EN.GHG.N2O.BU.MT.CE.AR5_max2	0.0012511104464248	1.59272880446484e-05	3.26213186841865e-05
FS.AST.CGOV.GD.ZS_lag1	0.00106249357469979	0.000204355706941578	0.000287067604420841
TX.VAL.MANF.ZS.UN	0.000997441252923536	0.000382165933808742	0.000391455824210238
NE.GDI.TOTL.ZS_rank	0.00096063179427118	0.000100546566985769	9.13396923157222e-05
SP.POP.2024.MA.5Y_rank	0.000957946995791364	0.000121130436451292	0.000150058065947258
BX.GRT.TECH.CD.WD	0.000902174635562545	0.00045168839782486	0.000371883032999726
SP.POP.4549.FE.5Y	0.000901345737758231	0.000499173664416075	0.000358834505526051
ER.H2O.INTR.PC_min2	0.000882879314971745	1.15673041665044e-05	3.91455824210238e-05
BX.TRF.PWKR.DT.GD.ZS_max2	0.000835374523691165	0.00017220453330955	0.000163106593420932
SE.SEC.ENRL	0.000824755463275861	0.000239176258458183	0.000371883032999726
IT.CEL.SETS.P2_max2	0.000806193556093824	0.00031175367716443	0.00033926171431554
DT.ODA.ALLD.CD_lag1	0.000789122745948521	9.56527075307095e-05	0.000150058065947258
FP.CPI.TOTL	0.000773557802690682	0.000354671341597589	0.000639377846210055
TX.VAL.MRCH.R2.ZS	0.0007642271509683	0.000573323050098795	0.0012069887913149
EG.USE.ELEC.KH.PC_ratioavg2	0.000712203820834761	0.000392873105101326	0.000561086681368008
DC.DAC.DEUL.CD_min2	0.000691001391021861	0.00015568405017944	0.000182679384631444
TX.VAL.MRCH.HI.ZS_lag1	0.000676826871849756	0.000147023401931698	0.000208776439578794
AG.LND.AGRI.ZS_max2	0.000674701497160643	3.40790576597784e-05	2.60970549473492e-05
SH.DYN.NMRT	0.000659280758581421	0.000400406682686691	0.000319688923105028
SH.DYN.MORT.FE	0.000653098415018359	0.000138540712209595	0.00016963085715777
PA.NUS.ATLS_lag1	0.000632324527489643	0.000183831156984601	0.000123961010999909
SP.DYN.AMRT.MA	0.000628397663800661	0.00284092990329348	0.00153320197815677
SP.POP.1564.MA.ZS_delta1	0.000623337420765553	0.000571751083122322	0.000632853582473218
SP.POP.5054.FE.5Y_lag1	0.000623288553232209	0.00212004957568607	0.00113522189020969
