Feature	Gain	Cover	Frequency
NE.CON.PRVT.PC.KD	0.229657942770993	0.000628958993823496	0.00074252708909668
SP.URB.TOTL.IN.ZS	0.112470614670472	0.000216205270869384	0.000210273157974281
NE.CON.PRVT.PC.KD_avg2	0.0877239687890359	0.000146261730936833	0.000124849687547229
urban_health_access	0.0726917471066173	9.55802945522982e-05	8.54234704270516e-05
NY.GDP.PCAP.KD	0.0573524619054289	0.00013280194136742	0.000111707615173837
NE.CON.PRVT.PC.KD_min2	0.0558490566137155	0.000153307397910851	0.000170846940854103
SP.RUR.TOTL.ZS_rank	0.048620928986137	2.5755169190739e-05	1.97131085600888e-05
NY.GNP.PCAP.CD	0.043055754538348	9.68039117858812e-05	7.88524342403554e-05
SP.POP.2024.FE.5Y_rank	0.0307010440361949	0.000475158201866845	0.000400833207388473
SP.RUR.TOTL.ZS	0.0302872594445845	0.000406102771216733	0.000453401496882043
NY.GDP.PCAP.CD	0.0184500878504767	4.74250356822574e-05	3.94262171201777e-05
TX.VAL.MRCH.R2.ZS	0.0170006237611218	0.000181865045281732	0.000341693881708207
SH.DTH.MORT_lag1	0.0124920808680733	0.000124532657159819	0.000170846940854103
FP.CPI.TOTL_rank	0.010585102707435	0.000139156856677319	0.000341693881708207
TX.VAL.MRCH.OR.ZS	0.009621610945004	0.000177503441916864	0.000321980773148118
EN.URB.LCTY_min2	0.00869474840248748	1.94594611663362e-05	3.94262171201777e-05
SE.TER.ENRR_lag1	0.00683147792165514	0.000398465031387756	0.000486256677815525
BG.GSR.NFSV.GD.ZS_max2	0.0063339473123121	0.000112849086155284	0.00022998626653437
SH.DTH.MORT	0.0058036317855725	5.81020828333607e-05	5.25682894935702e-05
SH.IMM.MEAS_rank	0.00488679644991885	0.00123133391645931	0.000992226464191138
SH.DTH.NMRT_delta1	0.00339843693830383	0.000552068465726087	0.000683387763416413
SP.POP.65UP.MA.ZS	0.00331198497054612	0.000111605733159869	8.54234704270516e-05
SH.DTH.IMRT_lag1	0.00324495570633678	4.63000972578343e-05	4.5997253306874e-05
year	0.00316938710803157	0.00259128579277766	0.0021158736521162
DT.ODA.ODAT.GN.ZS	0.00310459562589165	7.62392479569539e-05	9.19945066137479e-05
EN.GHG.N2O.PI.MT.CE.AR5_max2	0.00283678679903232	0.00239834898510818	0.00191874256651531
NY.GDP.DEFL.ZS_lag1	0.00269019059728884	0.000186759514216064	0.000289125592214636
TX.VAL.MRCH.OR.ZS_lag1	0.00260590417777936	3.72611183387857e-05	9.19945066137479e-05
SH.DTH.IMRT	0.00235224175495032	5.36418006593323e-05	7.88524342403554e-05
SP.POP.5054.FE.5Y_rank	0.00233982151896632	3.51691275845954e-05	3.94262171201777e-05
IT.CEL.SETS.P2_min2	0.00203605856546259	0.00151006208081242	0.00120249962216542
DT.ODA.ALLD.CD_rank	0.00203162071970699	0.00019666686665572	0.000170846940854103
SP.POP.4549.FE.5Y_lag1	0.00194254425464939	0.000398741332053403	0.000374549062641688
EN.URB.LCTY_avg2	0.00190923053169002	3.35507951143727e-06	6.57103618669628e-06
TX.VAL.MRCH.RS.ZS_rank	0.00184354310043084	0.00522597052582385	0.00480342745247498
NY.GDP.PCAP.KD_rank	0.0017120181115593	4.75237144914173e-05	5.25682894935702e-05
TM.VAL.MANF.ZS.UN	0.00171024469504261	0.000354552961311591	0.000433688388321955
