Feature	Gain	Cover	Frequency
NE.CON.PRVT.PC.KD	0.480633608995695	0.00709384463918722	0.00391083300743058
SP.RUR.TOTL.ZS_rank	0.151501806174612	0.00323247221421539	0.00156433320297223
NY.GDP.PCAP.KD	0.0772081284346994	0.00910595096824428	0.00430191630817364
BG.GSR.NFSV.GD.ZS_max2	0.0429718329968709	0.00222735491309572	0.00273758310520141
SG.LAW.INDX_lag1	0.03512859201477	0.00069628237619463	0.000782166601486117
NY.GDP.DEFL.ZS	0.0204623638245477	0.00190541790044659	0.00391083300743058
SG.LAW.INDX	0.0147698230272838	0.00103132147656785	0.00156433320297223
SH.IMM.IDPT_rank	0.0125536976785807	0.0040092388435723	0.00312866640594447
SP.POP.2024.FE.5Y_rank	0.0101674024905013	0.0108036071919231	0.0046929996089167
EN.URB.LCTY_lag1	0.00999189926693106	0.00184177918864386	0.00195541650371529
SP.POP.4044.FE.5Y	0.00908386051915494	0.0005240835089637	0.000782166601486117
TM.VAL.MRCH.AL.ZS_lag1	0.00888556050592043	0.0005240835089637	0.000782166601486117
NY.GDP.DEFL.ZS_lag1	0.00529034418122657	0.00163214578505838	0.00351974970668752
SP.POP.2529.FE.5Y_delta1	0.00506007299703101	0.00954580677041024	0.00703949941337505
SE.PRM.ENRR	0.00495261137133261	0.000889070238420562	0.00234649980445835
SE.ENR.PRIM.FM.ZS	0.00477916113135043	0.000467931704431875	0.00195541650371529
SP.DYN.CDRT.IN_rank	0.00451807648468398	0.000454829616707782	0.000782166601486117
SP.DYN.LE00.FE.IN_lag1	0.00448784107893315	0.0005989525816728	0.00117324990222917
SM.POP.RHCR.EO_lag1	0.0041416302180634	0.00275331014887715	0.00234649980445835
EN.URB.LCTY_tend2	0.0040079498238565	0.000773023175721457	0.00156433320297223
EN.GHG.N2O.PI.MT.CE.AR5_max2	0.00369982915379562	0.00148240763964018	0.00156433320297223
FI.RES.TOTL.MO_min2	0.00365124868279453	0.00218430519628799	0.00156433320297223
