Feature	Gain	Cover	Frequency
urban_wealth_interaction	0.295914675317036	0.00164373390420197	0.000847314014573801
NE.CON.PRVT.PC.KD	0.206044034536255	0.0008890908980512	0.000847314014573801
SP.URB.TOTL.IN.ZS	0.1793593991437	0.00121957249039999	0.000677851211659041
rural_poverty_interaction	0.0708892873577677	0.00185624831398007	0.00101677681748856
economic_capacity_index	0.0674907918855627	0.00113109710347197	0.00118623962040332
SP.POP.2024.FE.5Y_rank	0.0251303643258258	0.00203406649359031	0.00101677681748856
SH.DTH.MORT_lag1	0.0199657142156353	0.000148326383967566	0.00016946280291476
SH.DTH.NMRT_delta1	0.0123155375214944	0.000888223492297003	0.00101677681748856
EN.URB.LCTY_min2	0.00966162173440587	0.000145724166704977	0.00016946280291476
BG.GSR.NFSV.GD.ZS_max2	0.0085452502357125	0.00232378001549187	0.00152516522623284
YearsSinceFirst	0.0077913867865391	0.000217718844303269	0.000508388408744281
NY.GDP.DEFL.ZS	0.0061899102898186	0.000567283363244375	0.00101677681748856
SP.DYN.LE00.FE.IN	0.00516174290458548	0.000169144122068277	0.000677851211659041
SE.TER.ENRR_lag1	0.00457043370022892	0.00855869257665482	0.00508388408744281
BG.GSR.NFSV.GD.ZS	0.00433593045394365	0.000690454980340249	0.000847314014573801
EN.URB.LCTY	0.00382077277730392	7.63317063692737e-05	0.00016946280291476
EN.GHG.N2O.BU.MT.CE.AR5_min2	0.00338941218472385	0.000117967182570696	0.00033892560582952
NY.GDP.PCAP.CD	0.00323581460170956	0.000377321503075387	0.00016946280291476
SH.IMM.MEAS_rank	0.00321035776045072	0.000938533026040388	0.000847314014573801
EG.ELC.PETR.ZS_avg2	0.00293358318533743	0.000418956979276809	0.00033892560582952
EN.GHG.N2O.PI.MT.CE.AR5_max2	0.00275968027646818	0.000275835029834421	0.00033892560582952
SP.POP.6569.FE.5Y_delta1	0.00258584079980515	0.00215376848766939	0.00186409083206236
ER.FSH.AQUA.MT_min2	0.00251102199102681	0.000182155208381221	0.00033892560582952
FP.CPI.TOTL_rank	0.00222286747099211	0.000351299330449498	0.000677851211659041
SP.POP.2024.MA.5Y_lag1	0.00214564451886741	0.00200630950945602	0.00101677681748856
DT.ODA.ODAT.GN.ZS	0.00209592028200857	0.0011232904516842	0.000677851211659041
SP.POP.5054.FE.5Y_lag1	0.00192644519625399	0.00120222437531606	0.000847314014573801
NV.AGR.TOTL.KD_lag1	0.0018647197339751	0.00023159733637041	0.00016946280291476
BX.GSR.CMCP.ZS_avg2	0.00147215591086449	0.000138784920671407	0.00033892560582952
NV.SRV.TOTL.ZS_rank	0.00143279719653591	0.000150928601230155	0.00016946280291476
SP.DYN.IMRT.IN	0.00140322058304048	0.00039293480665092	0.000508388408744281
NE.CON.PRVT.PC.KD_min2	0.00138296093081125	8.50057639112366e-05	0.00016946280291476
NE.TRD.GNFS.ZS_lag1	0.00135844871565413	0.00202365762453995	0.00118623962040332
SP.DYN.LE00.MA.IN	0.00124772455889866	0.000226392901845232	0.00033892560582952
NV.IND.TOTL.CN_lag1	0.00112123167519348	0.000228995119107821	0.00016946280291476
TX.VAL.MRCH.WR.ZS_rank	0.00109242742166347	8.58731696654329e-05	0.00016946280291476
EN.GHG.CH4.WA.MT.CE.AR5_max2	0.0010341129867624	0.000155265630001136	0.00033892560582952
EN.GHG.N2O.PI.MT.CE.AR5	0.00101327736322727	8.58731696654329e-05	0.00016946280291476
FP.CPI.TOTL	0.000924976555759861	0.00224224387459742	0.00288086764955092
SP.POP.5559.MA.5Y	0.000856926965397078	0.0050769258793109	0.00271140484663616
NE.EXP.GNFS.CN_lag1	0.000811317239479719	0.000136182703408818	0.00033892560582952
SP.POP.0014.MA.ZS	0.000789206471004634	0.0101876805830355	0.00457549567869853
SE.PRM.TCHR_rank	0.000655742900643453	0.00033221640385718	0.000847314014573801
SP.POP.4549.FE.5Y_rank	0.000651975619243772	0.000379923720337976	0.00033892560582952
SE.TER.ENRR	0.000633591329164661	0.0120057630438309	0.00711743772241993
AG.LND.AGRI.ZS	0.000631476901762932	0.000564681145981786	0.000677851211659041
economic_capacity_index_lag1	0.000623400375823614	0.000196901106202558	0.000508388408744281
SP.POP.4549.MA.5Y_lag1	0.000622809559794496	0.0064578358399914	0.00305033045246568
TX.VAL.MRCH.RS.ZS_rank	0.00060843511243792	0.000280172058605402	0.00016946280291476
SH.MMR.RISK_lag1	0.000567357539197394	0.000552537465423038	0.00033892560582952
FP.CPI.TOTL_min2	0.000541554218013029	0.00112676007470098	0.00186409083206236
NY.ADJ.NNTY.PC.CD	0.000521211503285636	0.00332650106734278	0.0025419420437214
SP.DYN.LE00.MA.IN_lag1	0.000497056731400726	0.000677443894027304	0.000677851211659041
FM.AST.NFRG.CN	0.000493038390225621	0.000824035466486478	0.000847314014573801
BX.GRT.EXTA.CD.WD_min2	0.000492033590606513	0.000195166294694166	0.00016946280291476
SP.POP.0509.MA.5Y	0.00045621487146356	0.0109570694870076	0.00525334689035757
NE.CON.PRVT.PC.KD_lag1	0.000441824943958467	4.33702877098146e-05	0.00016946280291476
EG.USE.PCAP.KG.OE	0.000441150852708046	0.00894121851425538	0.00423657007286901
FI.RES.TOTL.CD_lag1	0.000425123619209382	0.000425028819556183	0.000508388408744281
IT.CEL.SETS.P2_lag1	0.000405075921190982	0.00217892325454109	0.0016946280291476
BM.GSR.NFSV.CD_max2	0.000392652149453921	6.07184027937405e-05	0.00033892560582952
BM.TRF.PWKR.CD.DT_min2	0.000380940435306041	0.000686985357323464	0.000677851211659041
SM.POP.RHCR.EA_delta1	0.000354198407168195	0.00124993169179686	0.00203355363497712
TM.VAL.MRCH.R5.ZS_delta1	0.0003355943274856	0.000652289127155612	0.00135570242331808
DT.ODA.ALLD.CD_min2	0.000331744064401991	0.000182155208381221	0.00016946280291476
TX.VAL.MRCH.RS.ZS	0.000293935652713612	0.000583764072574105	0.00033892560582952
