Feature	Gain	Cover	Frequency
urban_wealth_interaction	0.481243973757417	0.000725248039688117	0.000374681520707399
rural_poverty_interaction	0.222513778304679	0.000468186919652499	0.000274766448518759
BG.GSR.NFSV.GD.ZS_max2	0.0478024450431489	0.000167840593837688	0.000249787680471599
SG.LAW.INDX_lag1	0.0359598883916744	0.000134603739400094	0.00014987260828296
NY.GDP.DEFL.ZS	0.0178170017667858	0.000392548230982225	0.000724384273367638
SP.POP.2024.FE.5Y_rank	0.0157436162479283	0.000889555147339749	0.000524554128990358
SG.LAW.INDX	0.0141096705873449	0.000133499524966951	0.0001248938402358
SP.POP.4044.FE.5Y	0.00918382388592169	0.000169607336930717	0.000224808912424439
EN.URB.LCTY_lag1	0.00902911690430284	0.000107660907231412	0.0001248938402358
NY.GDP.DEFL.ZS_lag1	0.00850579033252619	0.000494908908934552	0.000774341809461957
SP.DYN.CDRT.IN_rank	0.00793134620305345	7.98347035162163e-05	0.000174851376330119
SH.IMM.IDPT_rank	0.00669373130920329	0.000120138530325924	0.0001248938402358
TM.VAL.MRCH.AL.ZS_lag1	0.00660559642171942	8.35890325889014e-05	0.000199830144377279
EN.URB.LCTY_tend2	0.00576578261063596	0.000433404165008505	0.000474596592896038
SP.DYN.LE00.FE.IN_lag1	0.00493493708016725	0.000427662249956163	0.000374681520707399
ER.FSH.AQUA.MT_min2	0.00464050311770872	4.17393055727936e-05	7.49363041414797e-05
SE.ENR.PRIM.FM.ZS	0.00462090463676659	0.000260705027664988	0.000599490433131838
FI.RES.TOTL.MO_min2	0.00404088833125664	0.000370463942319372	0.000349702752660239
TM.VAL.MANF.ZS.UN	0.00376391868704744	0.000390450223559254	0.000499575360943198
ER.FSH.AQUA.MT_max2	0.00345315907060082	2.15321814462824e-05	4.99575360943198e-05
SM.POP.RHCR.EO_lag1	0.00331688840800012	0.00397826375972647	0.00359694259879103
EG.ELC.PETR.ZS_avg2	0.00318163623145785	0.000121794851975638	0.000199830144377279
NE.CON.PRVT.PC.KD_avg2	0.00305697077235834	5.34439785641061e-05	9.99150721886397e-05
year	0.00231832864673076	0.00128983287935397	0.000874256881650597
EN.GHG.N2O.MT.CE.AR5	0.00214225758984352	1.61215307238832e-05	2.49787680471599e-05
SP.POP.TOTL.FE.ZS_lag1	0.00214117351279187	5.54315645437629e-05	0.0001248938402358
EN.GHG.N2O.PI.MT.CE.AR5	0.00180781095137595	7.29885740307316e-05	9.99150721886397e-05
EN.URB.LCTY_min2	0.00178397925024894	5.96275793897051e-06	2.49787680471599e-05
SH.DYN.NMRT	0.00177350780930956	0.000282016366224642	0.000274766448518759
EN.GHG.N2O.BU.MT.CE.AR5_max2	0.00177312788028168	4.83645921716497e-05	9.99150721886397e-05
SP.URB.TOTL.IN.ZS	0.00155718363321889	6.7798766194961e-05	9.99150721886397e-05
EG.ELC.HYRO.ZS_max2	0.00153460818349631	6.80196090815895e-05	9.99150721886397e-05
SP.DYN.AMRT.FE	0.00148416208794229	0.00583996929400504	0.00304740970175351
IT.CEL.SETS.P2_max2	0.00142719737778859	7.50865814537027e-05	0.000174851376330119
NY.GSR.NFCY.CN_lag1	0.00139171274940796	0.00656433396214665	0.00397162411949843
SE.PRM.ENRL.FE.ZS	0.0012540743807131	0.000126653395481466	0.000399660288754559
SP.POP.1564.FE.ZS_delta1	0.00124968735018506	0.000608311731218306	0.000649447969226158
SP.POP.1519.MA.5Y_delta1	0.00122764124143944	0.000273624336532758	0.000474596592896038
SP.POP.1519.FE.5Y_delta1	0.00108481323986438	0.000143879140638492	0.000324723984613079
TX.VAL.MANF.ZS.UN	0.00105521771743156	0.000317351228085208	0.000399660288754559
NE.GDI.TOTL.ZS_rank	0.000970567249182075	7.14426738243319e-05	0.000174851376330119
SP.POP.0509.MA.5Y_delta1	0.000966610202977931	0.000146197990948092	0.000324723984613079
FM.AST.NFRG.CN	0.000915092219622311	0.00100339965539676	0.000924214417744917
BX.TRF.PWKR.DT.GD.ZS_max2	0.000904429027199026	0.000224597215701223	0.000224808912424439
SP.DYN.TO65.MA.ZS_lag1	0.000883344441560196	0.000124665809501809	0.0001248938402358
SH.DTH.MORT_lag1	0.00087931957026329	4.69291134085642e-05	0.0001248938402358
SP.DYN.TO65.FE.ZS	0.000846825630040364	0.000791942591449935	0.000599490433131838
EN.GHG.N2O.BU.MT.CE.AR5_lag1	0.000828101153139349	1.11525657747411e-05	2.49787680471599e-05
PA.NUS.ATLS_lag1	0.000827417021127977	5.54315645437629e-05	9.99150721886397e-05
NY.GDP.PCAP.CN_delta1	0.00081087834966477	0.00458094399733575	0.00239796173252735
BX.GRT.TECH.CD.WD	0.000784716271947195	0.000311830155919495	0.000324723984613079
TX.VAL.MRCH.R2.ZS	0.000764568936138303	0.000191470782706942	0.000449617824848878
MS.MIL.XPND.GD.ZS_max2	0.000757707286868915	6.60320231019327e-05	0.000174851376330119
FP.CPI.TOTL	0.000755223634116907	0.000415736734078222	0.000724384273367638
EN.GHG.N2O.PI.MT.CE.AR5_max2	0.000752120991790762	3.02554754681096e-05	4.99575360943198e-05
IT.CEL.SETS.P2_rank	0.000752064621800148	4.46102630989646e-05	9.99150721886397e-05
FP.CPI.TOTL_max2	0.000741778428595326	3.32368544375949e-05	7.49363041414797e-05
AG.LND.AGRI.ZS_max2	0.000681949314462619	7.13322523810176e-05	4.99575360943198e-05
DC.DAC.DEUL.CD_min2	0.000670667181748623	0.00043870439428759	0.000449617824848878
FS.AST.CGOV.GD.ZS_max2	0.000669587290069314	0.000419491063150907	0.000424639056801719
NY.GSR.NFCY.CN	0.000655289786516082	0.00209105087204231	0.00167357745915971
SH.DYN.MORT.FE	0.000610688559278873	0.000248448247457105	0.000299745216565919
SP.DYN.AMRT.MA	0.000580953565954168	0.00288995001442104	0.00152370485087675
NV.AGR.TOTL.ZS_lag1	0.000545605454072258	0.000142774926205349	0.00014987260828296
DT.ODA.ALLD.CD_lag1	0.000540527527661282	0.000224597215701223	0.000199830144377279
economic_capacity_index	0.000488166091732786	0.000181753695695286	0.000274766448518759
IT.CEL.SETS.P2	0.00048071237487389	7.48657385670742e-05	0.000224808912424439
EN.GHG.N2O.FE.MT.CE.AR5_max2	0.000474540882258754	1.08213014447983e-05	4.99575360943198e-05
IT.CEL.SETS.P2_lag1	0.000466731796493166	0.000263023877974588	0.000324723984613079
SH.IMM.MEAS_lag1	0.000463696791646915	0.000188599825180771	0.000349702752660239
BX.GSR.CMCP.ZS	0.000452089157112436	0.000298027475505211	0.000624469201178998
BX.TRF.PWKR.DT.GD.ZS_lag1	0.00045084390739153	0.000403259110983709	0.000424639056801719
SP.POP.0014.MA.ZS	0.000433349047481609	0.000787636155160679	0.000399660288754559
EN.GHG.N2O.IP.MT.CE.AR5_max2	0.000431544784187622	3.16909542311951e-05	0.0001248938402358
SP.POP.4549.MA.5Y_lag1	0.000429181351903469	0.0010834552017996	0.000749363041414797
EN.GHG.ALL.PC.CE.AR5_max2	0.000425525476409218	0.00088182564630775	0.000449617824848878
EN.GHG.N2O.BU.MT.CE.AR5_avg2	0.000386088542478654	8.41411398054727e-05	9.99150721886397e-05
SP.URB.GROW	0.000381251563626279	0.000191581204150256	0.000274766448518759
NE.CON.PRVT.PC.KD	0.000380929419283534	0.000127426345584666	0.000174851376330119
BX.GSR.CMCP.ZS_min2	0.000366742257719059	0.000126874238368095	0.000249787680471599
BM.GSR.INSF.ZS_min2	0.000359223892391722	0.000142112397545464	0.000324723984613079
DT.NFL.UNDP.CD_max2	0.000357379457129142	0.000161436150125461	0.000274766448518759
TG.VAL.TOTL.GD.ZS_rank	0.000352547381302055	8.88892618679863e-05	0.00014987260828296
DC.DAC.DEUL.CD_avg2	0.000351131630974867	5.66462004202198e-05	0.0001248938402358
SP.POP.0004.MA.5Y	0.0003194602744119	0.0044629034744328	0.00227306789229155
DT.ODA.ODAT.GN.ZS	0.0003082990644756	0.000401161103560738	0.000349702752660239
BM.TRF.PWKR.CD.DT	0.000302568742052441	0.000283010159214471	0.000399660288754559
SP.POP.5559.FE.5Y_delta1	0.000299804242550638	0.000418386848717764	0.000549532897037518
NE.CON.PRVT.PC.KD_min2	0.000294482520562763	5.48794573271916e-05	9.99150721886397e-05
NY.GSR.NFCY.CD	0.000291181564195813	0.00158002043238387	0.0013738322425938
DC.DAC.TOTL.CD_max2	0.000288181541105036	8.70120973316437e-05	9.99150721886397e-05
SE.SEC.ENRR.MA	0.000285798507877188	0.000452507074701873	0.000574511665084678
SM.POP.RHCR.EO	0.000282762719403672	0.0022210169108232	0.00149872608282959
NV.AGR.TOTL.ZS	0.000278892547477275	0.000165853007858032	0.000249787680471599
IS.AIR.GOOD.MT.K1_avg2	0.000274362377090759	0.00485710802706474	0.00244791926862167
SP.POP.2529.FE.5Y	0.000272865056331705	0.00112497366448577	0.00132387470649948
SP.POP.5054.FE.5Y	0.000263091961596494	0.00137275938328299	0.000949193185792077
NY.GDP.PCAP.KD	0.000261675376079692	0.000195887640439513	0.00014987260828296
SP.DYN.LE00.FE.IN_rank	0.000260508917833083	8.74537831049008e-05	7.49363041414797e-05
SP.POP.5054.MA.5Y_lag1	0.000258599785226209	0.00177623933715333	0.00117400209821652
AG.LND.AGRI.K2	0.000255193584513121	0.000148295998371063	0.0001248938402358
SP.DYN.AMRT.MA_lag1	0.000254956720290954	0.000939686482604427	0.000574511665084678
TM.VAL.MRCH.RS.ZS_lag1	0.00025018262386365	7.63012173301597e-05	0.000249787680471599
SP.POP.5559.MA.5Y_lag1	0.000246576775526548	0.000667828889164697	0.000399660288754559
SP.POP.0509.MA.5Y	0.000244741592087042	0.00150040657175428	0.000774341809461957
TM.VAL.MRCH.RS.ZS	0.000244189671179465	8.55766185685583e-05	0.00014987260828296
TM.VAL.MMTL.ZS.UN_lag1	0.000233761930503245	0.000336454137778577	0.000474596592896038
FS.AST.CGOV.GD.ZS_lag1	0.000232871784915952	0.000131953624760551	0.000199830144377279
BX.KLT.DINV.WD.GD.ZS_lag1	0.000224501351354934	0.000327178736540178	0.000624469201178998
BM.KLT.DINV.WD.GD.ZS_min2	0.000215735476388708	0.000249662883333562	0.000424639056801719
NY.GDP.FCST.CN_lag1	0.00020983096673098	0.000662970345658869	0.000399660288754559
SP.DYN.LE00.MA.IN	0.00020776619092327	0.000187164346417685	0.0001248938402358
EN.GHG.CH4.FE.MT.CE.AR5_min2	0.000203245489846475	0.000152160748887062	0.00014987260828296
NY.GDP.PCAP.CN	0.0002010980106251	0.000476910213674327	0.000524554128990358
SP.POP.0509.MA.5Y_lag1	0.000199089182769524	0.00516010446751909	0.00252285557276315
NY.GDP.MKTP.CN_delta1	0.000196771494407196	0.00028919376004007	0.000274766448518759
SE.TER.ENRR	0.000190967861339887	0.000288310388493556	0.000699405505320478
SH.DYN.MORT_delta1	0.000188873075705009	0.000197543962089227	0.000174851376330119
SP.RUR.TOTL.ZS_delta1	0.000180374778936144	0.00129049540801386	0.000849278113603437
AG.CON.FERT.ZS_max2	0.000179655263830756	0.000530243770795118	0.000299745216565919
SP.POP.1519.FE.5Y	0.000179038043137291	0.000473487148931584	0.000374681520707399
IT.CEL.SETS	0.000178732060047608	5.69774647501627e-05	9.99150721886397e-05
EN.GHG.N2O.FE.MT.CE.AR5_min2	0.000174517151499679	6.7798766194961e-05	0.0001248938402358
NE.EXP.GNFS.KD.ZG_delta1	0.000166344759562564	0.001498198142888	0.00119898086626368
SP.POP.5559.FE.5Y_rank	0.000165641641791235	0.00122821771398461	0.000724384273367638
NY.GNP.PCAP.CD_lag1	0.000161696072696041	0.000248669090343733	0.000174851376330119
NY.ADJ.DRES.GN.ZS	0.000161646339901709	0.00441398677504458	0.00394664535145127
NE.IMP.GNFS.KD_delta1	0.000161332749469874	0.000147633469711177	0.000449617824848878
SP.POP.2024.MA.5Y_delta1	0.000159240857822303	0.000327951686643378	0.000624469201178998
BM.GSR.INSF.ZS_rank	0.000152992159998626	0.000124886652388438	0.000249787680471599
SE.ENR.PRIM.FM.ZS_isNA_rank	0.000150664277784882	0.000289414602926698	0.000699405505320478
FM.AST.NFRG.CN_min2	0.000147740943557331	0.000485743929139468	0.000424639056801719
SP.DYN.CBRT.IN	0.000146247372868534	0.00110852086943194	0.000699405505320478
