Feature	Gain	Cover	Frequency
NE.CON.PRVT.PC.KD	0.425291903450372	0.0017884871960983	0.00140671707402849
SP.URB.TOTL.IN.ZS	0.241193107803836	0.000603928041167463	0.000351679268507122
NY.GDP.PCAP.KD	0.095952522214969	0.00190676390445751	0.00123087743977493
NY.GDP.PCAP.KD_rank	0.0551462365937641	0.000697115750783807	0.000351679268507122
EN.URB.LCTY_lag2	0.0482300767671035	0.000685467287081764	0.000879198171267804
NY.GDP.PCAP.CD	0.0151441486750585	0.000761630318979738	0.000527518902760682
SH.DTH.MORT_lag2	0.0105505142335758	0.000137093457416353	0.000175839634253561
EN.URB.LCTY_avg2	0.00795839980330528	0.000137093457416353	0.000175839634253561
NY.GDP.DEFL.ZS	0.00534431011734011	0.000401423979885791	0.000703358537014243
NE.TRD.GNFS.ZS	0.00420097535171146	0.00057077472140011	0.000879198171267804
EG.ELC.PETR.ZS_avg2	0.00408135645600315	0.000166662634506154	0.000351679268507122
NY.GDP.DEFL.ZS_lag1	0.00380222422462731	0.00135928611046149	0.00140671707402849
SH.IMM.MEAS_rank	0.00362717004352125	0.000497299796510299	0.000527518902760682
SP.URB.TOTL.IN.ZS_rank	0.00341946999961802	0.000348557875391904	0.000175839634253561
EG.ELC.PETR.ZS_max2	0.0030009056622421	0.00014246967143268	0.000351679268507122
SP.POP.0509.MA.5Y_lag2	0.00279515345590032	0.00076073428331035	0.000527518902760682
SH.DYN.MORT.FE	0.00276209731942409	0.00220603981803308	0.00123087743977493
SP.POP.5054.FE.5Y_delta1	0.00270195533237403	0.00754014015789941	0.0040443115878319
BG.GSR.NFSV.GD.ZS	0.00260415768894846	0.000872738741983841	0.00158255670828205
NY.GDP.FRST.RT.ZS_lag2	0.0022753724345557	0.000525972937930713	0.000703358537014243
BG.GSR.NFSV.GD.ZS_rank	0.00211797320997998	0.000139781564424517	0.000175839634253561
SP.POP.5054.MA.5Y_delta1	0.00204839244447939	0.000496403760840912	0.000703358537014243
NY.GNP.PCAP.CD	0.00182459348748607	0.000563606436045006	0.000527518902760682
TX.VAL.MRCH.OR.ZS_lag1	0.00175408409241765	0.000110212387334715	0.000351679268507122
MS.MIL.XPND.GD.ZS_lag2	0.001710266230471	0.00122040058170636	0.00158255670828205
SH.DYN.NMRT_lag2	0.00159626409161965	0.000524180866591937	0.000527518902760682
SP.DYN.TO65.FE.ZS	0.0015333142953602	4.21136764612326e-05	0.000175839634253561
SP.POP.2024.MA.5Y_lag1	0.00145331898213602	0.000678299001726661	0.000351679268507122
EN.GHG.CH4.WA.MT.CE.AR5_max2	0.00143732812875947	7.52669962285859e-05	0.000175839634253561
SP.DYN.AMRT.FE_lag2	0.00138318757738174	0.000408592265240895	0.000527518902760682
SP.ADO.TFRT_lag2	0.00131370938803773	0.00843348772027917	0.00474767012484614
SH.IMM.IDPT_rank	0.00124755594963972	0.000211464417975551	0.000175839634253561
EN.GHG.CO2.TR.MT.CE.AR5	0.00114926837823528	0.00012096481536737	0.000175839634253561
NY.ADJ.DMIN.CD_lag1	0.00110528072528254	7.25788892204221e-05	0.000175839634253561
SE.ENR.PRIM.FM.ZS	0.00108253021227031	0.000966822487269573	0.00123087743977493
BX.GRT.TECH.CD.WD_rank	0.00106413490749338	0.000642457574951144	0.000351679268507122
SH.DTH.IMRT_lag2	0.00101205530163566	0.0207342653896366	0.0105503780552136
SP.POP.2024.MA.5Y	0.000908245957339953	0.000444433692016412	0.000527518902760682
NY.GDP.FCST.CN_lag2	0.000901809783560993	0.000154118135134723	0.000351679268507122
SP.DYN.AMRT.FE_lag1	0.000858829767844237	0.000404112086893955	0.000527518902760682
SE.SEC.ENRL_delta1	0.000830756036488728	0.00424362493022122	0.0049235097590997
SP.POP.6064.MA.5Y_delta1	0.000807102437284831	0.00166931445206971	0.00105503780552136
IT.CEL.SETS_lag2	0.000754611627615586	0.00017741506253881	0.000527518902760682
SP.POP.3539.FE.5Y_delta1	0.000745001370913132	0.00195335775926568	0.00140671707402849
SP.POP.0004.MA.5Y	0.000687285727458125	0.00752490755151981	0.00386847195357834
SP.DYN.LE00.MA.IN	0.000650953246726207	6.89947465428704e-05	0.000175839634253561
SM.POP.RHCR.EO_lag1	0.000641112380837929	0.00167289859474726	0.00123087743977493
SP.POP.2024.FE.5Y	0.000634133591697805	0.000475794940444989	0.000351679268507122
EN.GHG.CO2.BU.MT.CE.AR5	0.000615608367456903	0.000208776310967387	0.000175839634253561
NY.GDP.DEFL.ZS_lag2	0.00057754677342842	0.000575254899747049	0.000703358537014243
AG.LND.AGRI.ZS	0.00057290509070281	0.000804640031110358	0.00105503780552136
BM.GSR.FCTY.CD_isNA_rank	0.000570897372795611	0.000218632703330654	0.000527518902760682
year	0.000569315395322305	0.00185658590697179	0.00123087743977493
FM.AST.NFRG.CN	0.00054616026170839	0.00101341634207775	0.00123087743977493
SP.RUR.TOTL.ZG_lag2	0.000538751957257885	0.000336909411689861	0.000527518902760682
SP.POP.7074.MA.5Y_delta1	0.000527163179825958	0.000491027546824584	0.000703358537014243
TX.VAL.MRCH.RS.ZS_lag2	0.000526370684482572	0.000538517437302144	0.000527518902760682
TX.VAL.MRCH.RS.ZS	0.000513148833642926	0.000781343103706272	0.000703358537014243
SP.POP.80UP.FE.5Y_delta1	0.00050797531748923	0.0106968738211531	0.00580270793036751
EN.GHG.N2O.FE.MT.CE.AR5_avg2	0.000423009018065566	9.31877096163444e-05	0.000351679268507122
AG.CON.FERT.ZS	0.000413654807389374	0.000606616148175627	0.000351679268507122
YearsSinceFirst_lag2	0.000394295835081078	7.25788892204221e-05	0.000175839634253561
NY.GDS.TOTL.ZS	0.000393390426836659	0.0124593759828391	0.00650606646738175
SM.POP.RHCR.EO	0.000389862181604546	0.000421136764612326	0.000527518902760682
SH.DYN.NMRT_lag1	0.000382623615688136	5.37621401632756e-05	0.000175839634253561
SP.RUR.TOTL.ZS_lag1	0.000377689262537235	0.000491923582493972	0.000351679268507122
SP.URB.TOTL_delta1	0.000366116660135538	0.000148741921118396	0.000351679268507122
SP.DYN.CBRT.IN_lag2	0.00034834971109154	0.00348557875391904	0.00175839634253561
NY.GDS.TOTL.ZS_lag1	0.000340677646980638	0.00822023123096484	0.00474767012484614
SE.TER.ENRR_lag1	0.000323905436210363	0.000877218920330781	0.000527518902760682
DC.DAC.DEUL.CD_lag2	0.000313763692742358	8.87075312694048e-05	0.000175839634253561
SP.POP.3539.FE.5Y_lag1	0.000301920371682896	0.000174726955530646	0.000175839634253561
NY.ADJ.NNTY.PC.CD_lag1	0.000298261514119111	0.000208776310967387	0.000175839634253561
SP.POP.1564.TO_delta1	0.000281558399476876	7.97471745755255e-05	0.000175839634253561
FD.AST.PRVT.GD.ZS_avg2	0.000276733016164749	0.000969510594277737	0.000527518902760682
NE.RSB.GNFS.CN_lag2	0.000267590482921632	0.0010761388389349	0.00123087743977493
NE.TRD.GNFS.ZS_rank	0.000266144845369521	7.97471745755255e-05	0.000175839634253561
TX.VAL.MRCH.OR.ZS_lag2	0.000262955866130032	0.000350349946730679	0.000703358537014243
FP.CPI.TOTL	0.000256833368841913	0.00162630473993909	0.00175839634253561
SP.POP.4549.MA.5Y_lag1	0.000256738456834666	0.0032875548709843	0.00175839634253561
NY.ADJ.NNTY.PC.CD	0.000255101346054295	0.00039783983720824	0.000527518902760682
SP.URB.GROW	0.000254298903934406	0.000169350741514318	0.000351679268507122
SP.POP.0014.MA.ZS	0.000237452479072401	0.0101081783863652	0.00509934939335326
IT.MLT.MAIN.P2_isNA_rank	0.000234375706308324	0.00142200860731864	0.00175839634253561
SP.DYN.TO65.FE.ZS_lag1	0.000233961417721036	0.0013135882913227	0.000703358537014243
EN.GHG.CO2.PC.CE.AR5_max2	0.000231933914424025	0.0233533776512575	0.0117812554949886
SH.IMM.IDPT	0.000221365290824351	0.000477587011783765	0.000527518902760682
NV.IND.MANF.KD	0.000214669746726218	0.000263434486800051	0.000175839634253561
BM.GSR.MRCH.CD_max2	0.000208337772165711	7.347492488981e-05	0.000351679268507122
