Feature	Gain	Cover	Frequency
NE.CON.PRVT.PC.KD	0.329303978743116	0.000862637355491987	0.00055933625431155
NY.GDP.PCAP.KD	0.314707846431357	0.00418660883384001	0.00233056772629813
EN.URB.LCTY_lag2	0.101926446298208	0.0010793804096357	0.00139834063577888
SP.URB.TOTL.IN.ZS	0.0923041239948106	0.000577403496238858	0.000466113545259625
NY.GDP.DEFL.ZS	0.0199554355571894	0.000648061731889709	0.00130511792672695
NY.GDP.DEFL.ZS_lag1	0.00798211843189132	0.000232348554042063	0.000466113545259625
SH.IMM.IDPT_rank	0.00756275909990678	0.0011483047008534	0.00130511792672695
FP.CPI.TOTL_rank	0.00734100353928607	0.000224545804092889	0.00055933625431155
EG.ELC.PETR.ZS_lag1	0.00624411786639087	7.8460985600025e-05	0.00018644541810385
EG.ELC.PETR.ZS_lag2	0.00542152894475305	0.000212841679169129	0.000466113545259625
NY.GDP.DEFL.ZS_lag2	0.00497625388848129	0.000363261358744867	0.000652558963363475
SE.ENR.PRIM.FM.ZS	0.00431921263630524	0.000245353137290686	0.000745781672415401
SH.DYN.MORT.FE	0.00345062128621573	0.00216006127759627	0.00139834063577888
SP.POP.BRTH.MF_lag2	0.00342848742126453	0.000671036495628943	0.00055933625431155
PA.NUS.ATLS	0.0032590315397952	0.000908153396862167	0.000932227090519251
SH.DTH.MORT	0.00320147675199317	0.000442589316561467	0.000652558963363475
EG.ELC.PETR.ZS_avg2	0.00302768730092514	8.49632772243364e-05	0.00018644541810385
NE.TRD.GNFS.ZS	0.00302444099468793	0.00262909324676327	0.0018644541810385
EN.GHG.CH4.WA.MT.CE.AR5_min2	0.00269929160447326	3.94472358541562e-05	9.32227090519251e-05
FP.CPI.TOTL_avg2	0.00267636894163899	0.000115307304804457	0.000279668127155775
SM.POP.RHCR.EO_lag2	0.00229825309920885	0.00136201335223911	0.00102544979957118
TM.VAL.MRCH.RS.ZS_lag1	0.00215375040196182	0.0010243276738832	0.000932227090519251
EN.GHG.CH4.WA.MT.CE.AR5_lag2	0.00198941409287824	0.000215876081927141	0.000466113545259625
SP.POP.0014.FE.IN	0.00165606568951014	7.45596106254381e-05	0.000279668127155775
NY.ADJ.DMIN.CD_lag1	0.00164634302765191	8.49632772243364e-05	0.00018644541810385
FP.CPI.TOTL_lag2	0.00158499264189181	0.000407910427898472	0.000652558963363475
ER.FSH.AQUA.MT_min2	0.00148101566800032	4.24816386121682e-05	9.32227090519251e-05
SP.POP.1564.MA.ZS_lag2	0.00147246214371578	0.00040487602514046	0.000279668127155775
TM.VAL.MRCH.RS.ZS_lag2	0.00144098586311061	0.000164291235040936	0.0003728908362077
TM.VAL.MRCH.WR.ZS	0.00142139786499014	0.000252722401131572	0.0003728908362077
FI.RES.TOTL.MO_avg2	0.00137954281378161	0.000838362133427891	0.000745781672415401
IT.CEL.SETS.P2_min2	0.00137899923937711	0.000428717761096269	0.000839004381467326
AG.LND.ARBL.HA.PC_lag2	0.00130448529427832	0.00015345408233375	0.00018644541810385
EN.GHG.N2O.FE.MT.CE.AR5_avg2	0.00130139981859023	3.46788886629945e-05	0.00018644541810385
EN.URB.LCTY_tend2	0.00114055108432814	5.6353194077366e-05	0.00018644541810385
EN.URB.LCTY_max2	0.00113096472118882	7.67270411668753e-05	9.32227090519251e-05
ER.FSH.AQUA.MT_lag1	0.00110283653596362	4.24816386121682e-05	9.32227090519251e-05
SP.ADO.TFRT_lag2	0.00109961781691957	0.00467211327512193	0.00307634939871353
SP.POP.6064.MA.5Y_delta1	0.00102516710184149	0.00168235958626352	0.00177123147198658
TM.VAL.MRCH.R4.ZS_lag2	0.00101406851586808	0.000301706331368052	0.000652558963363475
AG.PRD.CROP.XD_rank	0.000996521291682742	0.000237116901233225	0.000279668127155775
TX.VAL.MRCH.HI.ZS_lag2	0.000995898764080074	0.000482036552415623	0.0003728908362077
SP.POP.1564.FE.ZS_lag2	0.000954437195555666	0.000214142137493991	0.0003728908362077
