fecha	cols	rows	min_gain_to_split	max_depth	max_bin	seed	extra_trees	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	bagging_fraction	num_iterations	ganancia	iteracion_bayesiana
20251128 211652	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.119522282329105	0.362005779790759	325	8	3.21357513873539	3.99570562319631	0.888863197624284	209	56.4161056322973	1
20251128 211726	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0862685140461794	0.455076599570124	448	191	2.86457601826571	3.86563124118506	0.64143124243045	6043	98.4166316024514	2
20251128 211959	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.148441460961143	0.568948191958147	1418	102	4.52048065323782	6.19469018012751	0.755135719301844	15905	72.1671959009954	3
20251128 212033	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.134375564789849	0.586204172359846	875	173	1.77711723010621	5.86251101423321	0.813535175788482	4369	100.61320460144	4
20251128 212244	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0806964550888266	0.624750219691279	504	136	3.37903506392779	5.59490385764678	0.777967579536406	11053	89.4652576970218	5
20251128 212300	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.155416065019256	0.709098904491735	152	215	4.40483955067715	3.17913620882401	0.663964087595897	1604	127.489454125836	6
20251128 212658	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.100786378241277	0.422530157596339	1266	115	1.81493379965624	0.990076638824706	0.836382783353994	32154	83.5820439857846	7
20251128 213333	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.113266454701495	0.842896876938175	665	120	2.32404920251741	8.77573254185596	0.76452817355083	28188	86.3206060328907	8
20251128 214513	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0346367382071081	0.607318801146799	813	93	0.288935632270295	1.4253498780142	0.866972312291286	44970	78.0961778925754	9
20251128 215000	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0592710187914781	0.396302700598192	733	156	2.06562128529185	5.17020890281336	0.619099985415648	48289	95.6323945068624	10
20251128 215151	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.068013344969035	0.517046665578216	923	185	4.21887972762176	2.51131862609847	0.81703252193651	16994	96.4807653180363	11
20251128 215533	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0169781741167286	0.737467135028315	254	54	0.499364905616468	8.26039167403776	0.873858862499973	10181	73.6876955280767	12
20251128 215535	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.143984689769235	0.813622849738957	790	229	2.68094655716725	1.97474938127146	0.955430757267667	1	274.470777350186	13
20251128 215607	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.162177420776653	0.764325957281315	1381	37	0.765503580540618	7.25862991721702	0.728898105051901	998	56.3002731897815	14
20251128 215616	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.176381038006761	0.476623125685312	435	16	3.87997291075798	4.82042191367197	0.604549683390983	352	85.2118714512991	15
20251128 215628	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.181143801539272	0.319478966664922	591	167	3.58207309053146	0.566721109041412	0.931415427978417	3221	98.0124574212271	16
20251128 215722	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0510257185202291	0.82175896071962	1094	23	2.62924935606342	4.61005348022029	0.904133551171981	1632	73.5553869449455	17
20251128 215843	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.043532772237252	0.88751584779072	1309	203	0.589143312245142	9.10041643032205	0.792243533478385	7691	106.412651518806	18
20251128 220349	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0717078474244668	0.663423728838097	1187	143	4.87461141181744	8.15290137318828	0.644475520688242	29516	96.1516901345467	19
20251128 220418	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.186926692503787	0.778406972037296	977	59	1.60094655917159	1.54736233392863	0.965462867716061	1137	85.3162935386119	20
20251128 220419	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0470731750099055	0.699498281115666	79	250	1.22711277109504	7.50824113750631	0.971528095296318	1	274.470777350186	21
20251128 220446	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.106647074545451	0.324687760642597	62	42	0.89571789123251	6.89768546077955	0.848926344264432	3439	66.8530735264982	22
20251128 220536	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.168777852541534	0.384632697317284	1455	79	3.93765177049707	3.48704546507049	0.691576430577386	6762	68.7627198728411	23
20251128 221646	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.126473952765477	0.862169972052133	343	146	4.68222209709763	6.77548989728426	0.918741769992214	63066	98.4790106000429	24
20251128 221649	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0964473610116069	0.679432742540458	646	241	0.100688467708616	2.42016222560778	0.677897573242496	1	274.470777350186	25
20251128 223145	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0124130745368477	0.540416713000741	1141	92	1.34913083382084	9.58030102491778	0.995230862568133	70801	78.6118705403287	26
20251128 223207	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.196623732854163	0.448260361970668	1026	218	2.159073910651	9.79911338945385	0.707339297278252	1	274.470777350186	27
20251128 223532	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0255829474166135	0.507296367809509	204	73	3.41110014364988	0.324106289689163	0.727802578689131	22753	74.196662489446	28
20251128 224436	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0150544866055166	0.899493745632666	48	186	4.86763743089637	3.02207271032634	0.603308689834419	54351	98.2116553983142	29
20251128 224513	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0903967156087579	0.304419381284611	1459	41	1.03176762659343	8.12796566843183	0.789136893236745	4089	68.900415190917	30
20251128 224540	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.118434083131418	0.510820058624519	602	5	0.0254213276982663	9.07031207305875	0.846450669816932	208	54.5792572553615	31
20251128 224608	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0566166864894425	0.41876087111232	79	5	0.00300115285974863	1.70508651654365	0.915584594654727	242	62.1600987628087	32
20251128 224626	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.159721138840239	0.418040101170218	1326	5	0.0426796268970764	3.32343590739319	0.900845498311283	82	61.7285887443357	33
20251128 224646	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.15851449549075	0.60474476475703	312	11	0.38930146660448	6.83874608973021	0.999911523742566	242	63.7703252975264	34
20251128 225120	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.106328004092799	0.855088351968862	1453	73	0.0129179177491301	8.67099440194897	0.612915896990244	15985	72.0928235621062	35
20251128 225142	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0592524232893968	0.300247086891015	572	5	1.90749513173411	7.74172318506429	0.991371422314576	622	57.7184166518605	36
20251128 225205	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.131564334905762	0.600245489528233	1354	5	2.88854796532762	9.79629483848118	0.864801957469213	339	63.4781962030801	37
20251128 225306	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.158183609179903	0.327166024402099	353	83	2.15024036039732	9.44437730964278	0.749802987981895	12226	72.8879972798798	38
20251128 225333	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.152251381175468	0.545034935520828	1043	29	0.00604116501906109	9.97760530238729	0.857105232703473	989	64.7022721124711	39
20251128 225611	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0649824965364748	0.715399052578128	1456	7	0.00698748335636552	7.48756123777386	0.715808615350923	2396	53.1337256211312	40
20251128 225644	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0727097056649602	0.640412001823055	823	5	0.740630377299048	5.17203812205611	0.782352773044982	326	67.9115218499923	41
20251128 225655	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0585529636772453	0.322927226902898	10	5	1.75016284596974	9.975647481474	0.854372054737354	427	57.8430713968795	42
20251128 225717	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.133011875888462	0.455034338696052	1500	11	0.00321109514580307	8.65818707107906	0.695020977323794	343	68.9530471404774	43
20251128 225823	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0501817822150154	0.818656265069628	1500	5	0.0225776174948646	9.18060382353934	0.914135509459083	510	64.2553834101632	44
20251128 230045	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0401280583022249	0.813319949285512	1500	47	4.97666814314762	8.54142193197645	0.681707610651083	6671	75.3350757095832	45
20251128 230517	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0511275455663221	0.721596152514187	1499	34	0.0089424060175583	1.09661173736731	0.730057665937833	10800	66.7721129731142	46
20251128 230531	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0792191302780336	0.358722820921937	70	5	4.87870722069428	8.05912042907044	0.985542314223397	341	53.4095538852773	47
20251128 230546	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.10219152779814	0.301984611943345	302	33	4.98476849207292	9.5641662472049	0.997144406652128	1813	63.845160868171	48
20251128 230556	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.148132223518586	0.306901752764672	190	5	0.963367337792279	8.4473237511904	0.954697168035771	189	60.5035874868056	49
20251128 230724	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0102785342312207	0.395234284594618	272	12	4.36906407795848	8.84323233655257	0.897431112008256	4476	65.9113413729024	50
20251128 230802	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0977311300793233	0.301192136632089	460	82	4.98663693648363	4.12449223602976	0.991073210900925	7470	78.0937426665042	51
20251128 230826	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.148299108139516	0.898636044475012	1495	5	0.202394035143014	2.64884065644809	0.710419687355001	108	75.8972662551045	52
20251128 230943	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0624032054406254	0.851759851985833	1339	34	0.00162173559064601	8.73192078938285	0.656346812252598	2100	63.7350157098026	53
20251128 230959	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.170319687922946	0.481776813622069	1398	35	4.95421201235061	3.97069514632394	0.924406334824227	679	65.0251532221549	54
20251128 231058	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.147980520227091	0.71071397312409	10	38	4.48275479311693	8.05886904486577	0.851348212247252	3511	59.6909727594215	55
20251128 231112	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0987984822730584	0.491227977463966	93	5	3.21494673087977	8.1250814373212	0.966947682042199	250	54.6495755041702	56
20251128 231214	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0392106843577948	0.522601813163266	1380	5	0.000945940850334141	7.07738247909199	0.80254039660114	595	51.6098870343416	57
20251128 231226	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0831200620149663	0.331433311282201	1272	5	4.65754115582395	0.30325034786726	0.967640933240036	140	74.3451194715056	58
20251128 231538	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.199430224116491	0.659250395114011	10	95	4.93048833197602	0.929951378798187	0.642270390228714	14086	76.4404641463337	59
20251128 233525	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0424735332330501	0.881847543550711	1491	169	0.00331152633803699	5.54846882255704	0.803211143778834	88762	90.7603727096097	60
20251128 233654	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.10709008448762	0.480684079958266	60	27	4.45536994343707	2.12098698786063	0.993402257362862	1734	69.6485471924819	61
