Feature	Gain	Cover	Frequency
SP.URB.TOTL.IN.ZS	0.335890363446506	0.0042269821454177	0.00125470514429109
NE.CON.PRVT.PC.KD	0.327284591698046	0.00586816572760158	0.00205900331370846
SP.RUR.TOTL.ZS	0.0636672226091892	0.00461434224556048	0.00138339285139787
NY.GDP.PCAP.KD	0.0544797928648633	0.00634285174505725	0.00170511211916482
EN.URB.LCTY_min2	0.0208563426514908	0.000430173584895403	0.000257375414213557
SP.RUR.TOTL.ZS_rank	0.0199949126471811	0.00143798942438969	0.000353891194543641
BG.GSR.NFSV.GD.ZS_max2	0.012782472970405	0.000860686959352334	0.00090081394974745
NY.GDP.DEFL.ZS_lag1	0.0119815068280117	0.000683656597795853	0.0011903612907377
SH.DTH.MORT_lag1	0.0113499281079327	0.000259599225007968	0.000160859633883473
SP.URB.TOTL.IN.ZS_rank	0.0106179514360093	0.000783554728885307	0.000225203487436863
EN.URB.LCTY_avg2	0.00991263924934874	0.000173292676379665	9.6515780330084e-05
NY.GDP.DEFL.ZS	0.00757651968785295	0.000500849813693383	0.00106167358363092
EN.GHG.N2O.BU.MT.CE.AR5_min2	0.00601927696106803	0.000262997120623256	0.000353891194543641
EN.URB.LCTY_lag1	0.00527439796499214	0.000115868240481305	6.43438535533893e-05
TX.VAL.MRCH.WR.ZS	0.0052662656217644	0.000634726900935713	0.000804298169417366
BG.GSR.NFSV.GD.ZS	0.00520373341531	0.000727829240794591	0.00106167358363092
SH.DTH.NMRT_delta1	0.00470928882521822	0.000450900748148657	0.000579094681980504
SH.IMM.IDPT_rank	0.00445183579540506	0.000909956445774003	0.000450406974873725
EN.GHG.N2O.PI.MT.CE.AR5	0.00414254102788639	0.000146789090580422	0.000546922755203809
SP.DYN.LE00.FE.IN_lag1	0.00378721079856409	0.000319741977398558	0.000418235048097031
NY.GDP.PCAP.KD_rank	0.00369235131627795	0.0014689102744888	0.000450406974873725
SP.POP.2024.FE.5Y_rank	0.0033562744201174	0.00386000941896665	0.00090081394974745
BG.GSR.NFSV.GD.ZS_min2	0.00252470996002607	0.000795787153100342	0.000804298169417366
EN.URB.LCTY_tend2	0.00230664808845992	0.00066258964498107	0.000643438535533893
TX.VAL.MRCH.OR.ZS_lag1	0.00214279080171288	0.000182127204979412	0.000353891194543641
NE.CON.PRVT.PC.KD_avg2	0.00199862363653577	0.000429494005772345	0.000386063121320336
BG.GSR.NFSV.GD.ZS_avg2	0.00189103067138586	0.000412164738134379	0.000353891194543641
TX.VAL.MRCH.OR.ZS	0.00185278557220563	0.000219843846309104	0.000611266608757199
SH.IMM.MEAS_rank	0.00182224619589562	0.000604485629959653	0.000418235048097031
SP.DYN.LE00.FE.IN	0.00174031990275942	0.000568807725999134	0.00048257890165042
SP.POP.1564.FE.ZS_lag1	0.00166371512725412	0.00933096114914111	0.00221986294759193
SP.POP.5054.FE.5Y	0.00154341782433126	0.00487665978706068	0.00138339285139787
NE.CON.PRVT.PC.KD_min2	0.00152624299400984	0.000194359629194447	0.000257375414213557
BG.GSR.NFSV.GD.ZS_lag1	0.00151510278567487	0.000864764434090679	0.000707782389087283
TX.VAL.MRCH.WR.ZS_lag1	0.00127469378934741	0.000540265402830719	0.000450406974873725
SH.DYN.MORT.FE	0.00125874824286224	0.00277676029681298	0.00096515780330084
EN.GHG.N2O.BU.MT.CE.AR5_max2	0.00124879755399186	3.56779039605192e-05	9.6515780330084e-05
NE.CON.PRVT.PC.KD_max2	0.00122078697362298	0.000385321362773607	0.000289547340990252
EN.GHG.N2O.BU.MT.CE.AR5_avg2	0.00118120342704547	0.000103975605827799	9.6515780330084e-05
FM.AST.NFRG.CN	0.00109867298555716	0.00790996120282786	0.00279895762957244
year	0.00106937035092856	0.00943867444014573	0.00321719267766947
EN.GHG.ALL.PC.CE.AR5_max2	0.0010647979015407	0.00348760005953113	0.00112601743718431
FM.AST.DOMS.CN	0.00105119625088888	0.000480462440001658	0.000450406974873725
SP.POP.2024.MA.5Y_lag1	0.000919623086237817	0.00189500638464586	0.000611266608757199
SP.DYN.TO65.FE.ZS_lag1	0.000867647987210809	0.000948352666226752	0.000353891194543641
SP.POP.5054.MA.5Y	0.000861351533612646	0.0185813921721999	0.00443972589518386
SP.POP.5559.FE.5Y	0.000807839333721196	0.00787666182579805	0.00225203487436863
BM.GSR.INSF.ZS_min2	0.000801555499901183	0.000219504056747575	0.000611266608757199
NY.ADJ.NNTY.PC.CD	0.000789478249203459	0.00385966962940512	0.00176945597271821
SH.IMM.IDPT_lag1	0.000613237984893646	0.000221882583678276	0.000225203487436863
SE.PRM.ENRL_rank	0.000563821963925044	0.000414883054626609	0.000418235048097031
FP.CPI.TOTL_rank	0.000530695102440752	0.000199796262178907	0.000546922755203809
TM.VAL.MRCH.OR.ZS	0.000523615826254978	0.000576622885914296	0.000675610462310588
SP.POP.1564.FE.ZS	0.000514994954410843	0.000341148719774869	0.000353891194543641
NY.GDP.FCST.CN	0.000504645832756011	0.00134250855760011	0.000643438535533893
FM.AST.DOMS.CN_max2	0.000462167570199938	0.00123275652922632	0.000353891194543641
SP.RUR.TOTL_lag1	0.00044809617198121	0.000167516253833676	0.000225203487436863
SH.IMM.IDPT	0.000440008375522457	0.00027828765089205	0.000450406974873725
NE.CON.PRVT.PC.KD_lag1	0.000439657332997275	8.93646546820623e-05	0.000193031560660168
FP.CPI.TOTL	0.000425220905092862	0.00121202936597307	0.00189814367982498
YearsSinceFirst	0.000424250730251977	0.00034896387969003	0.000579094681980504
FM.AST.NFRG.CN_avg2	0.000422266600239694	0.000734625032025166	0.000321719267766947
FP.CPI.TOTL_min2	0.000409236355131819	0.000345226194513214	0.000579094681980504
SP.DYN.IMRT.FE.IN	0.000404059530349773	0.00162861136840732	0.000643438535533893
SP.DYN.LE00.MA.IN_lag1	0.000398508609175107	0.000520557608262051	0.000353891194543641
