Feature	Gain	Cover	Frequency
NE.CON.PRVT.PC.KD	0.492726389318778	0.000320196292602336	0.000302161149513985
SP.RUR.TOTL.ZS_rank	0.171915111181267	7.76152427069185e-05	6.04322299027971e-05
BG.GSR.NFSV.GD.ZS_max2	0.0437976043240425	0.000186151827801094	0.000264972084958418
NY.GDP.PCAP.KD	0.0388836753005759	0.00820631931543534	0.00583403450215464
SG.LAW.INDX_lag1	0.0351177307476782	3.92977290858221e-05	4.64863306944593e-05
NY.GDP.DEFL.ZS	0.0204919833438032	0.000268133484850881	0.000608970932097417
SP.POP.2024.FE.5Y_rank	0.015730632773829	0.000929578424922958	0.000488106472291823
SG.LAW.INDX	0.0147283625435038	0.000113125775679028	0.000134810359013932
SH.IMM.IDPT_rank	0.0131388354917159	0.00120158821638435	0.00105988833983367
SP.POP.4044.FE.5Y	0.00908585972485296	0.000232957116241747	0.000190593955847283
TM.VAL.MRCH.AL.ZS_lag1	0.00888852686094244	0.0002784480248547	0.000367242012486228
EN.URB.LCTY_lag1	0.00745649576083865	1.27205234172361e-05	1.39458992083378e-05
NY.GDP.DEFL.ZS_lag1	0.00630096272642352	0.00034786510185664	0.000660105895861322
SP.POP.2529.FE.5Y_delta1	0.00501914347035375	0.000441297457744359	0.000641511363583538
SE.PRM.ENRR	0.00490704455851608	0.000173453582008056	0.000413728343180688
SE.ENR.PRIM.FM.ZS	0.00478722358743814	0.000582426207040665	0.000743781291111349
SP.DYN.CDRT.IN_rank	0.0045228908195179	2.98520164257379e-05	4.18376976250134e-05
SP.DYN.LE00.FE.IN_lag1	0.00421523266080835	0.00114159457441829	0.000655457262791876
SM.POP.RHCR.EO_lag1	0.00409093510815404	0.00185641670206952	0.00128767136023652
EN.URB.LCTY_tend2	0.00384899964107736	0.000108781638960357	0.00014875625822227
TM.VAL.MANF.ZS.UN	0.00369599713667277	0.000659462231518427	0.000757727190319686
FI.RES.TOTL.MO_min2	0.00351033837167707	0.000822979993134036	0.000683349061208552
SP.POP.1564.FE.ZS_lag1	0.00299084333082364	0.000417259901234381	0.000213837121194513
SH.DTH.MORT_lag1	0.00255184987323718	0.0500463040418962	0.0217741972972847
TX.VAL.FUEL.ZS.UN_lag1	0.00250867416726746	0.00047348862471092	0.00054853870219462
SP.POP.6064.MA.5Y_delta1	0.00222556495089355	0.000502961921525287	0.000529944169916836
TM.VAL.FOOD.ZS.UN	0.00210106425164121	0.000257952610592253	0.000288215250305648
EN.GHG.N2O.PI.MT.CE.AR5_max2	0.00204995939608262	3.3861988781434e-05	3.71890645555674e-05
NY.GSR.NFCY.CN_lag1	0.00197531663060786	0.000804422732176843	0.000678700428139106
year	0.00189162635352401	0.000422495142920984	0.000413728343180688
FP.CPI.TOTL_max2	0.00185406179647061	5.78772676672142e-05	0.00012551309287504
EN.GHG.N2O.BU.MT.CE.AR5_max2	0.00183616359277182	2.80698064898729e-05	4.18376976250134e-05
SP.RUR.TOTL.ZS	0.00165975290623395	0.000667504453854018	0.000767024456458578
SP.DYN.AMRT.MA	0.00141785894896022	0.00185597114958556	0.00106918560597256
SP.POP.1519.MA.5Y_delta1	0.00137101546713465	0.00155310684860951	0.00155264344519494
NE.CON.PRVT.PC.KD_avg2	0.001367474498953	0.000252917867523434	0.000213837121194513
SP.POP.3034.FE.5Y_lag1	0.00136708766869789	0.00034363235325896	0.000395133810902904
EG.ELC.PETR.ZS_avg2	0.00134014486175701	1.32329087737972e-05	3.25404314861215e-05
ER.H2O.INTR.PC_min2	0.00129343062661319	2.38147802679954e-05	3.71890645555674e-05
SP.POP.2024.MA.5Y_rank	0.00126118776076758	0.000150685850077381	0.000139458992083378
SP.DYN.AMRT.FE	0.0012507289346817	0.000376291350333685	0.000404431077041796
EN.GHG.N2O.PI.MT.CE.AR5	0.00122462820857247	9.59942826705257e-05	0.000153404891291716
SE.PRM.ENRL.FE.ZS	0.00118321968725637	0.000155765148394596	0.000413728343180688
SP.POP.DPND	0.0011544741275134	0.000162225659412107	8.83240283194727e-05
PA.NUS.ATLS_lag1	0.00104221082639162	4.03670550473411e-05	4.64863306944593e-05
NE.GDI.TOTL.ZS_rank	0.000960631764897196	4.40428630400625e-05	9.76212944583645e-05
BX.TRF.PWKR.DT.GD.ZS_lag1	0.000894176601926792	8.37415893614542e-05	0.000111567193666702
FP.CPI.TOTL	0.00087935042818543	0.000271920680964594	0.000520646903777944
IT.CEL.SETS.P2_max2	0.000845196448345233	0.000234850714298603	0.000292863883375094
SE.SEC.ENRL	0.000824286236134553	0.000169020334792592	0.000357944746347337
DC.DAC.DEUL.CD_min2	0.000788914130118209	0.0002573288371147	0.000320755681791769
DT.NFL.UNDP.CD_max2	0.000771524987991461	0.000149928410854639	0.000209188488125067
EG.USE.ELEC.KH.PC_ratioavg2	0.000711679871820281	0.000208028454763836	0.000334701581000107
SP.DYN.TO65.MA.ZS_lag1	0.000680016924602045	0.000169064890040989	0.000185945322777837
TX.VAL.MRCH.HI.ZS_lag1	0.000675309103082714	0.00013143798277004	0.000255674818819526
SP.POP.0509.MA.5Y_delta1	0.00063354823082573	0.00016443114420774	0.000302161149513985
BM.TRF.PWKR.CD.DT	0.000624327991761236	0.000528291580238767	0.000627565464375201
BX.GRT.TECH.CD.WD	0.00060312265870139	0.000113816382029175	0.000185945322777837
SP.POP.DPND_delta1	0.000578040303218952	0.000340001100514635	0.000330052947930661
SP.POP.0509.MA.5Y_lag1	0.000543644345675055	0.00116881783118863	0.000571781867541849
