Feature	Gain	Cover	Frequency
SP.RUR.TOTL.ZS	0.387081516601191	0.0043785014345191	0.00143855322646938
SP.URB.TOTL.IN.ZS	0.170084838823093	0.00774481606943531	0.00226058364159474
SP.URB.TOTL.IN.ZS_rank	0.11657220411042	0.000767075362068388	0.00020550760378134
SP.RUR.TOTL.ZS_rank	0.0629126900252085	0.00172459702092617	0.00082203041512536
NE.CON.PRVT.PC.KD	0.0547950898810805	0.00494984032488728	0.00246609124537608
NY.GDP.PCAP.CD	0.0258154987537558	0.00473999672009156	0.00164406083025072
EN.URB.LCTY_avg2	0.0210315551724324	0.000596026373285322	0.00041101520756268
SH.DYN.NMRT_lag2	0.013341004014615	0.000301539969916539	0.00020550760378134
EN.URB.LCTY_lag1	0.0107452225106583	0.000301539969916539	0.00020550760378134
NY.GDP.DEFL.ZS_lag1	0.00956347177797533	0.00100689662469207	0.00143855322646938
BG.GSR.NFSV.GD.ZS_max2	0.00951923037694398	0.00118499918002289	0.00082203041512536
FM.AST.DOMS.CN_lag2	0.00824623002062705	0.00125553484550044	0.00082203041512536
NY.GDP.DEFL.ZS	0.00818631103443336	0.00032975423610756	0.00061652281134402
SH.DTH.IMRT_lag2	0.00756698050136147	0.000430267559413073	0.00041101520756268
NY.GDP.PCAP.KD	0.00532277116089223	0.00612073237181465	0.00246609124537608
SP.POP.2024.FE.5Y_rank	0.0051923459799951	0.00218660562980414	0.0010275380189067
EN.GHG.N2O.BU.MT.CE.AR5_max2	0.00467325086879688	0.000148124897502861	0.00020550760378134
SH.DTH.NMRT_delta1	0.0046122329878312	0.000596026373285322	0.00041101520756268
NY.GDP.DEFL.ZS_lag2	0.00406236414683733	0.000978682358501047	0.00082203041512536
TX.VAL.MRCH.WR.ZS	0.00310102089937292	0.000560758540546546	0.00082203041512536
EN.GHG.N2O.BU.MT.CE.AR5_min2	0.00299241624840111	0.000259218570630007	0.00041101520756268
SH.DYN.MORT.FE	0.00290811071688253	0.00245816794189272	0.0010275380189067
TX.VAL.MRCH.OR.ZS_lag2	0.00274831704352588	0.00116031169710575	0.00082203041512536
SP.POP.2024.MA.5Y_lag1	0.0027432200381424	0.00356028771497948	0.00123304562268804
EN.GHG.CH4.TR.MT.CE.AR5_delta1	0.00223722250337397	0.000259218570630007	0.00041101520756268
SH.IMM.MEAS_rank	0.00211630810733093	0.000693012913316957	0.00041101520756268
NY.GDP.FCST.CN_lag2	0.00190396890648887	0.000264508745540823	0.00020550760378134
TX.VAL.MRCH.WR.ZS_lag1	0.00184536959881606	0.000386182768489602	0.00061652281134402
SP.POP.6064.MA.5Y_delta1	0.00178123330755758	0.0019802888082823	0.00164406083025072
EN.URB.LCTY_min2	0.00174672724591094	0.0002997765782796	0.00020550760378134
SH.DTH.MORT_lag1	0.0017164676885671	0.000234531087712863	0.00020550760378134
FP.CPI.TOTL	0.00166685881857106	0.00111446351454534	0.00184956843403206
AG.CON.FERT.ZS_lag2	0.00150969409799672	0.000488459483432054	0.00041101520756268
EG.ELC.FOSL.ZS_lag2	0.00149386588158893	0.000137544547681228	0.00020550760378134
NY.GDP.MINR.RT.ZS_lag2	0.00148320260734547	0.000252165004082252	0.00041101520756268
EN.GHG.N2O.BU.MT.CE.AR5_lag1	0.0014115795754982	0.000142834722592045	0.00020550760378134
SP.DYN.LE00.MA.IN_lag2	0.00125740074405545	0.000340334585929193	0.00041101520756268
SH.IMM.IDPT_rank	0.00115453720465896	0.00175457467875413	0.00061652281134402
SP.DYN.TO65.FE.ZS	0.00110048329995458	0.00428504167776134	0.00164406083025072
NY.GDP.PCAP.KD_lag1	0.00101475247930385	0.000502566616527564	0.00020550760378134
DT.ODA.ODAT.GN.ZS_rank	0.000995264663832547	0.00153415072413678	0.00041101520756268
SP.DYN.AMRT.FE_lag1	0.000913226413112693	0.00237528853495659	0.0010275380189067
EN.GHG.CH4.TR.MT.CE.AR5_lag2	0.000897862590573561	0.00055370497399879	0.00061652281134402
MS.MIL.XPND.GD.ZS_max2	0.000835584679552822	0.000172812380420005	0.00041101520756268
SP.DYN.LE00.FE.IN	0.000751824488494899	0.000280379270273273	0.00041101520756268
EG.ELC.HYRO.ZS_lag2	0.000749737736360012	0.000137544547681228	0.00020550760378134
NY.GDP.PCAP.CN	0.000657702139521106	0.000650691514030426	0.00041101520756268
SP.DYN.TO65.FE.ZS_lag1	0.000638028375834919	0.000160468638961433	0.00041101520756268
FM.AST.NFRG.CN_rank	0.000636257024649308	0.000472588958699605	0.00020550760378134
ER.FSH.AQUA.MT_lag1	0.000588683266848937	0.000199263254974087	0.00020550760378134
EN.GHG.ALL.PC.CE.AR5_lag2	0.000585275910791617	0.00169814614637209	0.00082203041512536
SE.TER.ENRR_lag2	0.000557037478772999	0.010721421152588	0.00328812166050144
EN.GHG.CO2.PI.MT.CE.AR5	0.000543400467272238	0.000516673749623075	0.00061652281134402
FM.AST.NFRG.CN	0.000541750946712433	0.00132078033606718	0.00123304562268804
FM.AST.DOMS.CN_avg2	0.000535387183766131	0.00116383848037962	0.00061652281134402
