Feature	Gain	Cover	Frequency
NE.CON.PRVT.PC.KD	0.367805459607427	0.00370107118143077	0.0023720772619451
NY.GDP.PCAP.KD	0.193143045333182	0.0110703360084167	0.00508302270416808
SP.RUR.TOTL.ZS_rank	0.14836788583399	0.00150610426249425	0.000677736360555744
EN.URB.LCTY_lag2	0.0713952960790926	0.00301690531582787	0.00338868180277872
SG.LAW.INDX_lag2	0.0294486972620596	0.000583967661029474	0.000677736360555744
NY.GDP.DEFL.ZS_lag2	0.0152650674979568	0.00185836357544768	0.00338868180277872
SP.POP.2024.FE.5Y_rank	0.0116630408498678	0.00982568643598118	0.00508302270416808
SH.IMM.IDPT_rank	0.0103490586206381	0.00295897822880886	0.0023720772619451
NY.GDP.DEFL.ZS_lag1	0.00963123873000609	0.000904915035053716	0.00135547272111149
TX.VAL.MRCH.WR.ZS_lag2	0.00774343577181418	0.000922136601464772	0.00169434090138936
MS.MIL.XPND.GD.ZS_lag2	0.00676720967429249	0.000308422598452564	0.000677736360555744
EN.GHG.N2O.MT.CE.AR5_max2	0.00510706688846686	0.00022231476639728	0.000338868180277872
FP.CPI.TOTL_avg2	0.00484292783499524	0.000278676256469829	0.000677736360555744
PA.NUS.ATLS_lag1	0.00471537447861131	0.000305291404559645	0.00135547272111149
FP.CPI.TOTL_rank	0.0046677544396247	0.000139338128234915	0.000338868180277872
TM.VAL.MRCH.AL.ZS_lag1	0.00451281636704959	0.000223880363343739	0.000338868180277872
EN.URB.LCTY_tend2	0.00373792996401849	0.000599623630494071	0.00169434090138936
SM.POP.RHCR.EO_lag2	0.00355457032495208	0.00117889450068417	0.00101660454083362
BG.GSR.NFSV.GD.ZS_max2	0.00339740011912464	0.000619976390798047	0.000677736360555744
NY.GDP.DEFL.ZS	0.00336098962595394	0.000884562274749739	0.00203320908166723
SP.RUR.TOTL.ZS	0.00320662091079009	0.0026192436914271	0.00372754998305659
EN.GHG.N2O.PI.MT.CE.AR5_max2	0.00288917510908595	0.000929964586197071	0.00101660454083362
FI.RES.TOTL.MO_min2	0.00284824128252146	0.00262394048226648	0.00203320908166723
SH.DTH.MORT_lag2	0.00271311372405672	0.000836028769409488	0.00101660454083362
SE.ENR.PRIM.FM.ZS	0.00261911665507352	0.000335037746542379	0.00135547272111149
