Feature	Gain	Cover	Frequency
SP.URB.TOTL.IN.ZS	0.203856921909645	0.000470063686687677	0.000270587174167944
NE.CON.PRVT.PC.KD	0.203829198316972	0.00161580260234133	0.00108234869667178
SP.RUR.TOTL.ZS_rank	0.177837664971993	0.000680303141493137	0.000270587174167944
SP.URB.TOTL.IN.ZS_rank	0.14018017504722	0.000453535427662091	0.000180391449445296
NY.GDP.PCAP.KD_rank	0.0789035322376245	0.000690881227269512	0.000360782898890593
NY.GDP.PCAP.KD	0.027134637665601	0.00193512856671566	0.000811761522503833
SH.DTH.MORT_lag1	0.0255862776296302	0.000266435535492453	0.000270587174167944
SP.RUR.TOTL.ZS	0.0208015374107261	0.000491219858240428	0.000270587174167944
SH.DTH.MORT	0.0151395153095928	0.000364943959284948	0.000360782898890593
EN.URB.LCTY_avg2	0.0110183389453668	8.92525987381666e-05	9.01957247226481e-05
SP.DYN.AMRT.FE_lag1	0.00588734198080473	0.0050986373442129	0.0024352845675115
SH.DTH.IMRT	0.00482928584075434	0.000251229537188913	0.000270587174167944
AG.PRD.FOOD.XD_min2	0.00462475347299821	0.00100029023622849	0.00126274014611707
SH.DTH.IMRT_lag1	0.00401143865504977	0.00105318066511037	0.000721565797781185
TM.VAL.MANF.ZS.UN	0.00370574165028316	0.000489897597518381	0.000811761522503833
EN.GHG.CH4.FE.MT.CE.AR5_avg2	0.00330661891446128	0.000266435535492453	0.000270587174167944
EN.GHG.N2O.MT.CE.AR5_lag1	0.00242291749672435	0.0002677577962145	0.000270587174167944
SH.IMM.IDPT_rank	0.00234584944832195	0.000277674751629852	0.000180391449445296
SP.POP.0509.MA.5Y_lag1	0.0018598961770817	0.0167265981338934	0.00676467935419861
DT.ODA.ODAT.KD_isNA_rank	0.00182102356352389	0.000979795195036762	0.000450978623613241
SH.IMM.MEAS_rank	0.00181932646868763	0.000137515115092879	9.01957247226481e-05
EN.GHG.CO2.FE.MT.CE.AR5	0.00169973070324576	0.000173216154588146	0.000270587174167944
EG.ELC.PETR.ZS_min2	0.00164087770265473	4.4956864549595e-05	9.01957247226481e-05
EN.GHG.CO2.PC.CE.AR5	0.0014824564384414	0.000833685385250578	0.000631370073058537
IT.CEL.SETS.P2_min2	0.00146601189117227	0.000431056995387293	0.000631370073058537
EG.ELC.HYRO.ZS_rank	0.00138638629993325	8.85914683771431e-05	0.000180391449445296
SH.DYN.NMRT	0.00138346088186266	0.00103136336319659	0.000631370073058537
NE.RSB.GNFS.CN_lag1	0.00125788501547502	0.000385439000476675	0.000450978623613241
NY.GDP.FRST.RT.ZS_rank	0.00124878208381306	0.00078608399925689	0.000541174348335889
TX.VAL.MRCH.OR.ZS	0.00118625729695272	0.000185116501086568	0.000450978623613241
BX.TRF.PWKR.CD.DT_avg2	0.00113165405103113	3.23953876901494e-05	9.01957247226481e-05
SP.POP.BRTH.MF_rank	0.000992882564847701	0.00249708937358559	0.00162352304500767
EN.GHG.CO2.FE.MT.CE.AR5_rank	0.00096985400206987	9.98306845145419e-05	0.000270587174167944
TX.VAL.MRCH.OR.ZS_lag1	0.000932144569139925	0.000331887441233775	0.000721565797781185
EN.GHG.CH4.FE.MT.CE.AR5_max2	0.000901724687941308	0.000662452621745503	0.000721565797781185
SP.POP.4549.MA.5Y_lag1	0.00087345902642923	0.000971861630704481	0.000631370073058537
NY.GDP.DEFL.ZS	0.000850821095458281	0.000909715376768276	0.000992152971949129
NY.GDP.FRST.RT.ZS_lag1	0.000826574564481666	0.000344448918093221	0.000450978623613241
SM.POP.RHCR.EA_delta1	0.000783325121832851	0.000442957341885716	0.000631370073058537
EN.GHG.N2O.PI.MT.CE.AR5_tend2	0.000781043202180798	0.00153845035010158	0.00108234869667178
EG.ELC.FOSL.ZS_delta1	0.000770706568191396	0.000302797705348743	0.000721565797781185
NY.GDS.TOTL.ZS_isNA_rank	0.000734963083258096	0.000626751582250237	0.00171371876973031
SP.POP.0014.FE.ZS_delta1	0.000724112013431801	0.000395355955892027	0.000541174348335889
TX.VAL.MRCH.R6.ZS_lag1	0.000626168779157167	0.00119334030164734	0.00135293587083972
SP.DYN.TO65.FE.ZS	0.000625898120096726	0.00173678945840862	0.00108234869667178
SP.POP.65UP.FE.IN_delta1	0.000620755160744932	9.1235989821237e-05	0.000180391449445296
BX.TRF.PWKR.CD.DT_min2	0.000584017407799043	0.00014346528834209	0.000360782898890593
EN.GHG.N2O.AG.MT.CE.AR5_lag1	0.000562677496011175	8.92525987381666e-05	9.01957247226481e-05
SP.POP.5054.MA.5Y_delta1	0.000555617987462166	0.000565266458675055	0.000450978623613241
year	0.000540889402745718	0.000363621698562901	0.000631370073058537
SP.POP.DPND.YG_delta1	0.000515870315334569	0.000316020312569212	0.000270587174167944
FI.RES.TOTL.CD_avg2	0.000487308827736068	5.81794717700642e-05	0.000180391449445296
EN.GHG.N2O.BU.MT.CE.AR5_ratioavg2	0.000457130104911078	0.0166598239674301	0.00739604942725715
NE.TRD.GNFS.ZS	0.000455487531628642	0.00121052969103395	0.000631370073058537
DC.DAC.DEUL.CD_rank	0.000449279380179069	0.000271063448019617	0.000180391449445296
SP.POP.4549.FE.5Y	0.00044156184022876	0.0111995483157373	0.00450978623613241
IT.CEL.SETS_rank	0.000438652493417552	6.34685146582518e-05	9.01957247226481e-05
NY.GDP.PETR.RT.ZS_lag1	0.000421084520001824	0.00012429250787241	0.000360782898890593
FM.AST.NFRG.CN_rank	0.000408758091105364	0.000583116978422688	0.000360782898890593
SP.POP.2024.MA.5Y	0.000397221860158572	0.000266435535492453	0.000180391449445296
SP.POP.1014.FE.5Y_delta1	0.00037958309342061	0.000279658142712922	0.000631370073058537
FM.AST.NFRG.CN	0.000360895154583442	0.0044983309764036	0.00207450166862091
AG.LND.ARBL.HA_tend2	0.000357496289524342	0.000161976938450747	0.000360782898890593
TX.VAL.MRCH.WR.ZS_lag1	0.000356829886274116	0.000414528736361707	0.000721565797781185
NY.ADJ.DNGY.GN.ZS	0.000356136064128678	0.000163299199172794	0.000631370073058537
SM.POP.RHCR.EO_rank	0.0003494224818307	8.06579040448617e-05	9.01957247226481e-05
EG.ELC.HYRO.ZS_min2	0.000345359010238495	8.92525987381666e-05	9.01957247226481e-05
BM.GSR.TRVL.ZS_avg2	0.000345332638846556	0.000652535666330151	0.000992152971949129
TX.VAL.MRCH.RS.ZS	0.000343688277632699	0.00086277512113561	0.000631370073058537
NY.ADJ.DMIN.CD	0.000343498056723075	0.000169910502783028	0.000721565797781185
