Feature	Gain	Cover	Frequency
NE.CON.PRVT.PC.KD	0.418726314364804	0.000180760201986593	0.000150670483652253
NY.GDP.PCAP.KD	0.338142738013693	0.000597535798354685	0.000331475064034956
EN.URB.LCTY_max2	0.0885421018772261	0.000266979294597369	0.000301340967304505
NY.GDP.DEFL.ZS	0.0248290831229077	0.000346375832923293	0.000512279644417659
TX.VAL.MRCH.OR.ZS_lag1	0.0136055013272868	0.000225519157020187	0.000467078499321983
EG.ELC.PETR.ZS	0.00625339269173412	6.89003009646117e-05	0.000150670483652253
EN.GHG.CH4.WA.MT.CE.AR5	0.00559903043375182	2.75151365114391e-05	7.53352418261263e-05
EG.ELC.PETR.ZS_max2	0.00512731422010766	5.06068587063253e-05	0.000135603435287027
SP.ADO.TFRT_lag1	0.00466544491218046	0.000392784196685093	0.000527346692782884
SP.POP.BRTH.MF_lag1	0.00438298105530158	0.000229567705716693	0.000331475064034956
NY.GDP.DEFL.ZS_lag1	0.00422613293570086	0.000239913996829986	0.000512279644417659
EN.GHG.CH4.WA.MT.CE.AR5_max2	0.00365643907309253	1.34201891976774e-05	4.52011450956758e-05
SP.POP.2024.MA.5Y	0.00342550585487665	0.000244187464898521	0.000195871628747928
SH.IMM.IDPT_rank	0.00307544624309112	0.000175362137057918	0.000210938677113154
FP.CPI.TOTL_rank	0.00295334266817846	0.000317736099551713	0.000512279644417659
FM.AST.DOMS.CN_min2	0.00241118076507421	0.00243175327724394	0.00153683893325298
SH.IMM.MEAS_rank	0.00237520180307999	0.000659538571910434	0.000497212596052433
AG.CON.FERT.ZS_avg2	0.00236822386475388	0.00012385560086348	0.000165737532017478
SP.POP.7074.MA.5Y_delta1	0.0023471943621475	0.000949909481198727	0.000934156998643966
SP.POP.TOTL.MA.ZS_rank	0.00216808049495065	5.2181294310522e-05	0.000105469338556577
FP.CPI.TOTL	0.00169626816030156	0.000630823865414846	0.000873888805183065
FS.AST.CGOV.GD.ZS_lag1	0.00166707947233126	0.000314212362723273	0.000406810305861082
TM.VAL.MRCH.RS.ZS	0.00164925630623331	0.00242965402977168	0.00158204007834865
SP.POP.6064.MA.5Y_delta1	0.00163169956905297	0.00113704239872612	0.00111496157902667
SP.DYN.TO65.MA.ZS	0.00151709579680294	0.000165090819068634	0.000150670483652253
SP.POP.1014.FE.5Y_delta1	0.00150022169910151	9.33415393916666e-05	0.000165737532017478
SP.URB.TOTL_delta1	0.00145041646493609	0.000198678778624832	0.00028627391893928
EN.GHG.N2O.BU.MT.CE.AR5_ratioavg2	0.00138342781999273	0.0165743085247516	0.0116920295314148
SM.POP.RHCR.EA_delta1	0.00137536627275373	0.000781894710293727	0.00102455928883532
SH.DYN.NMRT_lag1	0.00124485464047877	0.00710602766673217	0.00393249962332379
BG.GSR.NFSV.GD.ZS_rank	0.00115740523889354	0.000120106944663012	0.000195871628747928
SP.POP.4549.MA.5Y	0.00115546905178324	0.00142561395303818	0.000843754708452614
SP.POP.4549.MA.5Y_lag1	0.000943168766219593	0.00110217989606176	0.000768419466626488
EN.GHG.CH4.MT.CE.AR5_min2	0.000942946883416888	9.82147924522757e-06	1.50670483652253e-05
SE.ENR.PRIM.FM.ZS	0.000942195342365421	0.000397432530373674	0.00060268193460901
AG.LND.ARBL.HA.PC_min2	0.000890698100639805	0.00470711261780433	0.00257646527045352
TX.VAL.MRCH.RS.ZS	0.000853165106081629	0.000514615523200321	0.000436944402591532
PA.NUS.ATLS	0.000828146209015454	0.000161866974736231	0.000226005725478379
NY.GDP.FRST.RT.ZS	0.000825335040049753	0.000188632380007577	0.000210938677113154
BG.GSR.NFSV.GD.ZS_max2	0.000782844357355928	0.000757528444990682	0.000693084224800362
FD.AST.PRVT.GD.ZS_max2	0.000766197254505195	0.000199203590492898	0.000210938677113154
SH.DYN.MORT.FE	0.000756508005667676	0.000173337862709665	0.000150670483652253
